"node_id","community_id"
"aannestad2018",1
"lund2016",2
"moen2020",3
"lund2021",4
"ambrosiani2015",5
"croix2015",6
"price2018",7
"vonholstein2014",8
"warmlander2015",5
"amundsen2017",9
"lund2019",10
"solli2018",11
"anchukaitis2017",12
"fabech2013",13
"dobat2006",14
"price2006",15
"zachrisson2017",16
"fahlander2016",17
"strand2011",18
"eriksen2013",19
"jorgensenndb",18
"jorgensennd",18
"zachrissonnd",18
"andrennd",20
"lund2008",21
"lund2020",22
"lund2005",23
"lund2004",23
"lundborgnd",24
"lund2017",25
"raffield2018",26
"zoega2017",27
"williams2016",28
"andren2013",29
"glorstad2012",30
"larsson2007",18
"lund2015",25
"lund2013",31
"ljungkvist2011a",23
"lund2010",21
"skre2019",32
"jessen2016",33
"pricendb",34
"mannering2013",35
"oehrl2017",36
"magnell2010",37
"price2008a",38
"zachrisson2014a",39
"gardela2018",40
"gustafsson2016",41
"raffield2019",42
"androshchuk2018",34
"burstrom2015",43
"glorstad2017",44
"odeback2018",45
"edberg2019",46
"feveile2011",47
"hilberg2014",48
"hilberg2018",49
"arneborg2012",50
"dugmore2012",51
"smith2018",50
"hartman2017",52
"jackson2018",53
"lynnerupnd",54
"frei2015",55
"arwillnordbladhnd",20
"artelius2005",56
"artelius2013",57
"pedersen2006",20
"wickholm2006",58
"harris2017",59
"tummuscheitnd",60
"fahlander2018",17
"osullivan2015",61
"raffield2016",62
"price2019",63
"glorstad2015",64
"ashby2015",65
"baug2019",66
"croix2019",67
"heenpettersen2019",30
"hennius2018",68
"heenpettersen2018",4
"loftsgarden2019",69
"pilo2020",70
"perry2016",71
"thend",65
"sindbaek2018",72
"raja2018",73
"rosvold2019",74
"sindbaek2017",72
"griffiths2019",75
"backdanielsson2016",76
"price2014",77
"barndon2018",78
"pedersenndb",78
"barrett2010",30
"krzewinska2015",79
"naumann2014",80
"montgomery2014",81
"price2014a",82
"raninen2014",83
"sheehannd",84
"sindbaeknd",85
"sindbaek2011",86
"star2017",87
"pilo2018",88
"mainland2018",89
"sindbaek2016",90
"bergstol2004",91
"kemmers2011",92
"nielsen2011",93
"baug2017",94
"bill2019",95
"svendsen2019",96
"beck2018",97
"grupe2013",98
"zachrisson2018",99
"rasmussen2014",100
"jahnsen2016",101
"stene2017",88
"kristjansdottir2015",102
"bill2017",95
"billnd",103
"bill2016",104
"gardelanda",34
"fredriksen2014",105
"gullbekk2014",106
"pedersen2015",107
"macphail2013",108
"axelsen2014",109
"williams2014",28
"gardela2015",110
"jagodzinski2014",111
"sanmark2013",112
"richards2018",113
"helama2017",114
"eriksen2017",43
"ellingsen2019",115
"price2010",38
"catlin2016",116
"jarman2018",117
"peschel2017",118
"raffield2015",77
