"node_id","community_id"
"lund2021",1
"aannestad2018",2
"heenpettersen2019",3
"heenpettersen2018",4
"lund2016",5
"moen2020",6
"ambrosiani2015",7
"croix2015",8
"price2018",9
"vonholstein2014",10
"warmlander2015",7
"amundsen2017",11
"lund2019",12
"solli2018",13
"anchukaitis2017",14
"fabech2013",15
"dobat2006",16
"gustafssonnd",17
"kalmring2013",18
"larsson2007",19
"price2006",20
"zachrisson2017",21
"zachrissonnd",22
"fahlander2016",23
"NOAUTHOR21",24
"strand2011",25
"eriksen2013",26
"jorgensenndb",27
"jorgensennd",27
"andrennd",28
"lund2008",29
"lund2020",5
"lund2005",30
"lund2004",30
"lundborgnd",31
"lund2017",32
"raffield2018",33
"zoega2017",34
"williams2016",24
"andren2013",35
"glorstad2012",36
"lund2015",32
"lund2013",37
"ljungkvist2011a",38
"lund2010",29
"skre2019",39
"jessen2016",40
"pricendb",41
"mannering2013",25
"oehrl2017",42
"magnell2010",43
"price2008a",44
"zachrisson2014a",45
"gardela2018",46
"gustafsson2016",47
"raffield2019",48
"androshchuk2018",49
"billnd",50
"bill2019",51
"burstrom2015",52
"glorstad2017",53
"odeback2018",54
"edberg2019",55
"feveile2011",56
"gardelanda",57
"hilberg2013",58
"hedenstiernajonson2015",55
"hilberg2014",59
"hilberg2018",60
"kalmring2010",61
"ulriksen2011a",62
"voncarnapbornheim2014",60
"arneborg2012",63
"dugmore2012",64
"smith2018",65
"hartman2017",66
"jackson2018",67
"lynnerupnd",68
"frei2015",69
"arwillnordbladhnd",70
"artelius2005",71
"artelius2013",72
"pedersen2006",73
"wickholm2006",74
"harris2017",75
"tummuscheitnd",76
"fahlander2018",23
"pricend",41
"osullivan2015",77
"raffield2016",78
"price2019",79
"glorstad2015",80
"arwillnordbladh2012",81
"arwillnordbladh2013",81
"ashby2015",82
"baug2019",83
"croix2019",84
"hennius2018",85
"loftsgarden2019",86
"pilo2020",87
"perry2016",88
"thend",89
"sindbaek2018",90
"raja2018",91
"rosvold2019",92
"sindbaek2017",93
"griffiths2019",3
"backdanielsson2016",94
"gardela2007",95
"price2014",96
"barndon2018",97
"pedersenndb",98
"barrett2010",99
"krzewinska2015",100
"naumann2014",101
"montgomery2014",102
"price2014a",103
"raninen2014",104
"sheehannd",105
"sindbaeknd",106
"sindbaek2011",107
"star2017",108
"pilo2018",87
"downham2015",109
"mainland2018",110
"sindbaek2016",111
"bergstol2004",112
"kemmers2011",113
"nielsen2011",114
"baug2017",115
"svendsen2019",116
"beck2018",117
"grupe2013",118
"zachrisson2018",119
"rasmussen2014",120
"jahnsen2016",121
"stene2017",122
"kristjansdottir2015",123
"bill2017",124
"bill2016",125
"fredriksen2014",126
"gullbekk2014",127
"pedersen2015",128
"macphail2013",129
"axelsen2014",130
"williams2014",24
"gardela2015",131
"jagodzinski2014",132
"iversennd",133
"sanmark2013",134
"richards2018",135
"helama2017",136
"eriksen2017",137
"ellingsen2019",138
"price2010",44
"catlin2016",139
"jarman2018",140
"peschel2017",141
"raffield2015",142
"stott2019",143
"ulriksen2018",44
"pedersen2019",144
"NOAUTHOR28",145
"devos2013",146
"wouters2016",146
"dugmore2007",64
"keller2016",147
"tainter2006",148
"carver2015",149
"pluskowskind",150
"runge2018",144
"domeijlundborg2012",151
"tonning2020",152
"schneidhofer2017",153
"barrett2008",99
"vesteinssonnd",154
"schmid2017",155
"beck2017",156
"spangennd",157
"hillerdal2010",158
"dobat2013",159
"christiansen2019",160
"feveile2009",8
"baug2015",161
"martin2020",162
"frei2012",25
"henriksen2017",163
"price2012",164
"furholt2019",165
"frieman2019",166
"milek2012",167
"hedenstiernajonson2017",168
"kastholm2016",169
"toplak2018",170
"toplak2015",171
"gardeland",172
"forest2011",173
"gustin2017",174
"pedersen2017",175
"christensen2018",176
"heenpettersen2014",177
"ijssennagger2015",178
"kershaw2017",179
"raffield2014",180
"rogers2020",181
"svendsen2016",182
"skre2017",183
"williams2015",184
"hadley2018",135
"hadley2016",185
"mcleod2011",186
"williams2017",187
"buckberry2014",188
"leonard2011",189
"price2020",190
"hrnjic2018",191
"harrison2015",192
"kelly2015",193
"lund2006",194
"NOAUTHOR18",52
"eriksen2016",126
"hedeager2010",195
"kalmring2018",196
"draganits2014",197
"linderholm2008",198
"price2011",199
"kalmring2017",200
"kalmring2012",201
"krzewinska2018",202
"helmbrecht2012",203
"oehrl2019",42
"sindbaek2014",204
"jessen2014",205
"holst2014",206
"holst2013",205
"tveiten2017",207
"bonde2016",208
"glorstad2014",209
"roslund2005",210
"baastrup2014",211
"gotfredsen2013",212
"henriksen2014",213
"borake2018",214
"kershaw2016",215
"vesteinsson2016",216
"knudson2012",217
"hardhnd",218
"poulsen2011",219
"bill2012",220
"gustavsson2015",221
"androshchuk2010",222
"graslundnd",223
"lindholm2016",224
"ljungkvist2018",223
"ljungkvist2015",225
"chenery2014",226
"lucas2007",227
"ijssennagger2013",178
"becket2013",228
"cannellnd",229
"macphail2016",230
"magi2015",231
"gotfredsen2014",232
"milek2013",233
"burstrom2014",234
"ingvardson2012",235
"abrams2012",236
"pedersennd",237
"roesdahlnd",238
"pedersennda",130
"perry2019",178
"skre2011b",50
"frei2011",239
"becker2012",240
"olend",241
"rosengren2010",242
"NOAUTHOR33",243
"leslie2015",244
"reiter2019",245
"pricenda",246
"imer2014",203
"tummuscheit2014",76
"feveile2017",247
"goodchild2017",176
"roslund2015",248
"roslund2017",249
"roslund2013",98
"sanmarkndb",250
"sindbaek2007",251
"skre2015",252
"knappett2025",253
"sindbaeknda",204
"skrend",254
"skre2011a",50
"smith2013",255
"oye2014",256
"fallgren2008",257
"rundkvist2014",258
"christensen2013",259
"ahfeldt2015",260
"steinforth2015",261
"sutherland2015",262
"halstadmcguire2010",263
"kershaw2009",264
"vesteinsson2012",155
"holst2010",206
"fischer2011",265
"lemm2014",266
"brewer2018",267
"neiss2016",268
"pollard2012",226
"myrberg2007",269
"kershaw2018",270
"rundkvist2010",271
"furholt2018",272
"oye2016",273
"storli2010c",274
"price2016",190
"gullbekk2011",275
"svensson2018",276
"andren2000",277
"staeckernd",278
"rohdesloth2012",279
"mulk2007",280
"naum2004",281
"solli2011",282
"zachrisson2004a",283
"trinks2014",284
"kovalenko2013",285
"gustafsson2011",286
"ibsen2010",287
"buntgen2016",288
"zori2013",289
"bitzthorsen2018",290
"ravn2012a",291
"myrberg2008",292
"feveile2012",293
"benderjorgensen2009",294
"boyd2013",295
"sutherland2009",296
"fontaine2017",297
"sanmarknd",298
"arwillnordbladh2007",299
"magi2011",300
"richards2012",301
"majchczack2018",302
"naum2007",281
"halewood2001",303
"nosov2018",304
"wicker2012",305
"kitzlerahfeldt2013",305
"gardela2013",169
"svensson2009",306
"sanmarknda",275
"skorokhod2020",307
"pluskowski2010",123
"kitzlerahfeld2015a",308
"aannestad2015",6
"ahola2014",1
"ambrosiani2013",7
"andersson2004",20
"andersson2016",1
"andersson2008",27
"andren2002",30
"andren2004",19
"androshchuk2013",47
"androshchuk2014",49
"androshchuk2012",33
"androshchuk2016",1
"arents2010",61
"armbruster2010",17
"artelius2004",28
"artelius2007",23
"arwillnordbladh1998",41
"arwillnordbladh2008",28
"ashby2014",24
"s2019",1
"backdanielsson2007",12
"barndon2005",12
"ed2012",110
"barth1969",113
"e2014",8
"bergstol2008",122
"beroniusjorpeland2018",1
"bhabha1994",11
"bill2020",1
"bjerg2013",8
"blaszczyk2017",1
"d2016",1
"bogucki2012",131
"borake2019",1
"brather2013",1
"brink2011",134
"callmer2017",1
"cannell2016",138
"clarke2017",39
"croix2012",144
"croix2016",309
"croix2020",1
"crumlinpedersen2010",144
"diamond2005",64
"dobat2014",310
"domeijlundborg2004",151
"draganits2015",39
"englert2015",58
"eriksen2019",1
"eriksen1994",112
"eriksson2018",1
"forster2009",115
"frog2014",8
"gardela2008",57
"gardela2012",172
"gerds2015",311
"gjerpe2008",120
"gjerpe2017",1
"gossler2018",1
"grahamcampbell2013",1
"grahamcampbell2011",3
"graslund2007",21
"graslund2018",51
"griffiths2003",3
"gruszczynski2018",1
"hadley2013",186
"hall2014",312
"hallansstenholm2012",23
"hansen2017",1
"hansson2018",1
"hardh2010",160
"hardh2016",191
"harrison2014",75
"hedjakobsson2003",97
"hedeager2003",151
"hedeager2004",97
"hedeager2011",37
"hedenstiernajonson2006",55
"hedenstiernajonson2012",201
"helmbrecht2011",81
"hillerdal2009",1
"n2017",313
"hodges2012",93
"holmquist2013",1
"iversen2013",133
"iversen2015",165
"jackson2019",1
"jankowiak2018",1
"janowski2015",1
"jennbert2015",1
"jensen2010",57
"jesch2015",24
"jones1997",209
"jorgensen2009",144
"jorgensen2010",214
"kastholmhansen2015",1
"kershaw2013",135
"kershaw2019",1
"kirpichnikov2018",1
"kleingartner2013",8
"lia2002",220
"ljungkvist2006",223
"ljungkvist2011",225
"loe2014",54
"lund2009",5
"madsen2010",1
"magi2018",1
"magi2019",1
"mehler2015",1
"melheim2016",9
"merkel2016",191
"mikhaylov2016",1
"moen2011",57
"moen2019",6
"moesgaard2015",314
"mozdzioch2013",1
"myhre2015",152
"myrberg2009",52
"naum2008",131
"nordahl2018",1
"nordeide2016",1
"norstein2020",1
"opedal2010",51
"oye2013",67
"paterson2014",75
"pearson2018",1
"pedersen2004",23
"pedersen2009",17
"pedersen2014",6
"pedersen2016",175
"pilo2005",126
"price2000",41
"price2002",44
"price2001",158
"price2008",97
"raffield2017",78
"ravn2012",1
"rebkowski2019",1
"roesdahl2014",176
"roslund2007",50
"rundberget2017",1
"rundkvist2015",200
"russel2014",185
"said1978",114
"sanmark2017",21
"schietzel2014",54
"schultze2008",60
"semple2013",1
"sharples2020",1
"sindbaek2013",82
"skre2008",127
"skre2011",252
"soderberg2005",144
"solli2002",37
"spangen2006",1
"staecker2004",29
"stanislawski2013",131
"stanislawski2014",1
"stidsing2014",160
"svanberg2003",44
"thate2007",126
"toplak2016",1
"tummuscheit2011",76
"turner2006",1
"ulriksen2019",1
"vedeler2014",1
"vesteinsson2014",315
"vonholstein2016",1
"wallace2016",316
"wickham2005",206
"williams2020",78
"wilson2018",1
"zachrisson2004",19
"zachrisson2011",225
"zori2014",1
"strand2001",1
"andren2014",39
"birkett2020",1
"brorsson2010",1
"cooijmans2020",1
"christiansen2014",160
"dobat2010",266
"gardela2016",46
"gjerde2009",11
"glorstad2010",12
"graslund2010",24
"grundvad2017",1
"gustafsson2013",160
"laroche1997",1
"lemm2013",176
"lynnerup2014",67
"mcanany2010",1
"morawiec2009",131
"nordeide2011",24
"olsson2004",201
"price2015",236
"ratican2020",1
"roesdahl2009",1
"rundkvist2011",24
"rostad2016",83
"sheehan2013",4
"sindbaek2009",160
"steinforth2018",1
"sveinbjarnardottir2016",155
"ulriksen2011",169
"williams2010",75
"zachrisson2014",115
"ambrosiani2001",203
"graslund1984",9
"hraundal2013",7
"ilisch1990",270
"jansson1986",174
"jansson1987",20
"jansson1989",7
"wikander1978",7
"aannestad2016",2
"andren2011",170
"baastrup2012",2
"baastrup2010",2
"bagge1991",2
"bakka1963",2
"bakka1961",2
"bakka1971",271
"blackburn2002",185
"blindheim1973",194
"blindheim1999",50
"blindheim1995",12
"boe1940",192
"callmer1992",44
"callmer2008",204
"cramp1997",2
"downham2008",78
"dumville2008",3
"ekengren2009",2
"gaut2001",177
"gaut2011",130
"geber1991",2
"gosden1999",29
"grahamcampbell2000",107
"gustin2004",50
"hahn2013",2
"hedeager2002",30
"hedeager1992",112
"helms1993",32
"heyerdahllarsen1981",2
"hines1984",83
"hodder1982",174
"hodder1986",41
"hagg1974",2
"jansson1984",266
"vidar2010",2
"kopytoff2010",2
"krag1994",172
"kristiansen2005",36
"maran2012",2
"marstrander1963",2
"mauss1950",2
"mikkelsen2002",36
"myhre1992",112
"croinin1989",2
"pedersen2008",50
"peets2012",142
"petersen1940",177
"raven2005",99
"rogers2006",264
"simonsen1981",62
"skaare1963",2
"skaare1976",183
"solli1995",2
"thomas1991",2
"waller1982",2
"wamers1985",3
"wamers2011",83
"williams2008",187
"wilson1984",2
"wilson2006",237
"amundsen2001",112
"amundsen2011",11
"amundsen2015",11
"amundsen2007",276
"apel2001",11
"apel2005",11
"aronsson1991",11
"askeladden2015",11
"bakka1973",271
"bakka1976",11
"barth1976",11
"barth1996",122
"baudou1987",11
"bergman2016",11
"bergsland1992",11
"bergstol1997",122
"bergstol2009",11
"bjorn1934",11
"boaz1997",11
"bolstad1980",11
"braseth2014",11
"brendalsmo2003",11
"brogger1942",11
"bull2002",11
"byggstoyl2012",11
"damm2010",11
"fjellheim1999",11
"fjellheim2012",11
"forsberg2005",11
"fossum2006",11
"fredriksen1983",11
"fuglesang1980",278
"fuglestvedt2006",11
"gjerde2016",11
"gjessing1945",11
"grandell1986",11
"grimbe2013",11
"gustafson1988",11
"gustavsen2014",11
"hagen1946",11
"hagstrom2010",11
"hallgren2008",11
"hansen2004",157
"hansen2014",11
"hedman2003",11
"helstad2001",11
"hildre2012",11
"hole2013",11
"holm1991",11
"holm2016",11
"holseng2004",11
"hougen1947",53
"indreko1956",11
"jenkins2008",11
"johansen1981",11
"kleppe1977",11
"lannerbro1976",11
"marstrander1977",11
"mathiesen2005",11
"melheim2015",11
"mikkelsen1994",279
"mikkelsen1975",11
"mjaerum2012",173
"mulk1994",11
"myhre1962",11
"norell1987",11
"nou2007",11
"nyland2016",11
"odner1983",112
"odner2000",11
"ojala2009",11
"olsen1985",11
"olsen1991",11
"pareli1991",11
"prescott2009",11
"schanche1985",11
"scheen1979",11
"serning1966",11
"sjurseike1994",11
"skandfer1996",11
"skjolsvold1980",122
"skjolsvold1981",11
"skjolsvold1984",11
"smith2006",11
"soborg1988",11
"solberg1986",11
"sommerseth2011",11
"spangberg2014",11
"spangen2010",11
"stene2010",11
"stenvik1988",11
"svensson2006",11
"swensen2017",11
"trigger2006",11
"vorren1965",11
"wegraeus1971",11
"zachrisson1997",41
"zachrisson2015",11
"abrams2004",215
"phil2010",236
"fanning1994",177
"sheehan1998",99
"sheehan2009",236
"omeadhra1979",181
"blackburn1981",236
"glorstad1987",236
"grahamcampbell1984",177
"jensen1968",236
"davidson1962",32
"grinsell1961",46
"bjorn1940",46
"kovalev2004",248
"arbman1940",44
"arne1914",7
"bearman2014",7
"anonymous2012",236
"ljung2010",163
"lang2001",188
"cohen2004",236
"jesch2002",186
"whaley2004",236
"tweddle1995",236
"coatsworth2008",236
"grahamcampbell1980",192
"wamers2009",3
"grahamcampbell2007",105
"brunning2013",137
"sonderso2005",222
"stenalt1960",222
"kolindsund1936",222
"luhm1903",222
"androshchuk2001",222
"androshchuk2002",180
"androshchuk2003",222
"androshchuk2009",222
"androshchuk2004",222
"appadurai1937",222
"arbman1937",286
"arbman1966",222
"arrhenius1985",80
"bazelmans1999",150
"bergman1976",222
"behmer1939",222
"behrend1936",222
"brondsted1936",237
"chase1979",222
"colmo1953",222
"cross1914",222
"falk1914",222
"gameson2001",222
"gansum1991",222
"geibig1992",222
"grahamcampbell1968",222
"gurevich1968",18
"habbe2005",29
"hakonarherdibreids1991",222
"harke2000",121
"jacobsen1942",94
"nasman1991",222
"jorgensen1966",144
"lavrsen1960",222
"maixner1990",181
"mauss1980",222
"menghin1980",222
"mullerwille1978",51
"mullerwille1984",30
"mullerwille1980",222
"north1980",222
"nasman1989",222
"ostergren1976",113
"olsson1975",222
"owencrocker1966",222
"ornes1966",208
"paulsen1953",268
"pedersen1995",222
"pedersen1997",44
"pedersen2002",51
"peirce1919",30
"petersen1919",30
"rydbeck1932",222
"schulzedorrlamm1987",222
"handelderwikingerzeitzwischennordundwesteuropaaufgrundarchaologischerzeugnisse1987",222
"klaesoe2005",222
"smidt1991",222
"stocklund1985",222
"strid1961",222
"stromberg1946",222
"svanberg1995",222
"thunmarknylen1995",222
"thunmarknylen2001",222
"bergman2005",222
"thalinbergman2000",222
"theuws2000",222
"turvillepetre1960",222
"wamers1930",208
"whitelock1955",222
"willemsen2004",178
"wilson1955",211
"wrenn1958",222
"zachrisson1984",194
"zachrisson2012",11
"ammann2007",317
"ammann2003",318
"anchukaitis2014",319
"anchukaitis2012",320
"anchukaitis2010",321
"anchukaitis2013",322
"anchukaitis2006",323
"andreuhayles2011",324
"andronova2000",325
"autin2015",326
"biondi1999",327
"bowman1997",328
"bradley2001",329
"breitenmoser2012",330
"briffa1993",331
"briffa1994",332
"briffa1995",333
"briffa2000",334
"briffa1996",335
"briffa1998",336
"briffa2011",337
"briffa2013",338
"briffa2004",339
"briffa2002",340
"brohan2012",341
"buckley2010",10
"buntgen2006",342
"buntgen2013",343
"buntgen2011",288
"buntgen2014",288
"campbell2007",230
"coledai2013",344
"cook1990",345
"cook1987",346
"cook2010",347
"cook1994",348
"cook1995",349
"cook2013",288
"cook1999",350
"cowtan2014",351
"crowley2000",352
"crowley2008",353
"darrigo2011",354
"darrigo2003",355
"darrigo1992",356
"darrigo2004",357
"darrigo2013",358
"darrigo2008",359
"darrigo2015",360
"darrigo2009",361
"darrigo2006",362
"davi2003",363
"delaygue2011",364
"doradolinan2012",365
"edwards2007",366
"emilegeay2013",367
"esper2013",368
"esper2002",369
