"node_id","community_id"
"lund2021",1
"aannestad2018",2
"heenpettersen2019",3
"heenpettersen2018",4
"lund2016",5
"moen2020",6
"ambrosiani2015",7
"croix2015",8
"price2018",9
"vonholstein2014",10
"warmlander2015",7
"amundsen2017",11
"lund2019",12
"solli2018",13
"anchukaitis2017",14
"fabech2013",15
"dobat2006",16
"gustafssonnd",17
"kalmring2013",18
"larsson2007",19
"price2006",20
"zachrisson2017",21
"zachrissonnd",22
"fahlander2016",23
"NOAUTHOR21",24
"strand2011",25
"eriksen2013",26
"jorgensenndb",27
"jorgensennd",28
"andrennd",29
"lund2008",30
"lund2020",5
"lund2005",31
"lund2004",31
"lundborgnd",32
"lund2017",33
"raffield2018",34
"zoega2017",35
"williams2016",24
"andren2013",36
"glorstad2012",37
"lund2015",33
"lund2013",38
"ljungkvist2011a",39
"lund2010",30
"skre2019",40
"jessen2016",41
"pricendb",42
"mannering2013",43
"oehrl2017",44
"magnell2010",45
"price2008a",46
"zachrisson2014a",47
"gardela2018",48
"gustafsson2016",49
"raffield2019",50
"androshchuk2018",51
"billnd",52
"bill2019",53
"burstrom2015",54
"glorstad2017",55
"odeback2018",56
"edberg2019",57
"feveile2011",58
"gardelanda",59
"hilberg2013",60
"hedenstiernajonson2015",57
"hilberg2014",61
"hilberg2018",62
"kalmring2010",63
"ulriksen2011a",64
"voncarnapbornheim2014",62
"arneborg2012",65
"dugmore2012",66
"smith2018",67
"hartman2017",68
"jackson2018",69
"lynnerupnd",70
"frei2015",71
"arwillnordbladhnd",72
"artelius2005",73
"artelius2013",74
"pedersen2006",75
"wickholm2006",76
"harris2017",77
"tummuscheitnd",78
"fahlander2018",23
"pricend",42
"osullivan2015",79
"raffield2016",80
"price2019",81
"glorstad2015",82
"arwillnordbladh2012",83
"arwillnordbladh2013",83
"ashby2015",84
"baug2019",85
"croix2019",86
"hennius2018",87
"loftsgarden2019",88
"pilo2020",89
"perry2016",90
"thend",91
"sindbaek2018",92
"raja2018",93
"rosvold2019",94
"sindbaek2017",95
"griffiths2019",3
"backdanielsson2016",96
"gardela2007",97
"price2014",98
"barndon2018",99
"pedersenndb",100
"barrett2010",101
"krzewinska2015",102
"naumann2014",103
"montgomery2014",104
"price2014a",105
"raninen2014",106
"sheehannd",107
"sindbaeknd",108
"sindbaek2011",109
"star2017",110
"pilo2018",89
"downham2015",111
"mainland2018",112
"sindbaek2016",113
"bergstol2004",114
"kemmers2011",115
"nielsen2011",116
"baug2017",117
"svendsen2019",118
"beck2018",119
"grupe2013",120
"zachrisson2018",121
"rasmussen2014",122
"jahnsen2016",123
"stene2017",124
"kristjansdottir2015",125
"bill2017",126
"bill2016",127
"fredriksen2014",128
"gullbekk2014",129
"pedersen2015",130
"macphail2013",131
"axelsen2014",132
"williams2014",24
"gardela2015",133
"jagodzinski2014",134
"iversennd",135
"sanmark2013",136
"richards2018",137
"helama2017",138
"eriksen2017",139
"ellingsen2019",140
"price2010",46
"catlin2016",141
"jarman2018",142
"peschel2017",143
"raffield2015",144
"stott2019",145
"ulriksen2018",46
"pedersen2019",146
"NOAUTHOR28",147
"devos2013",148
"wouters2016",148
"dugmore2007",66
"keller2016",149
"tainter2006",150
"carver2015",151
"pluskowskind",152
"runge2018",146
"domeijlundborg2012",153
"tonning2020",154
"schneidhofer2017",155
"barrett2008",101
"vesteinssonnd",156
"schmid2017",157
"beck2017",158
"spangennd",159
"hillerdal2010",160
"dobat2013",161
"christiansen2019",162
"feveile2009",8
"baug2015",163
"martin2020",164
"frei2012",25
"henriksen2017",165
"price2012",166
"furholt2019",167
"frieman2019",168
"milek2012",169
"hedenstiernajonson2017",170
"kastholm2016",171
"toplak2018",172
"toplak2015",173
"gardeland",174
"forest2011",175
"gustin2017",176
"pedersen2017",177
"christensen2018",178
"heenpettersen2014",179
"ijssennagger2015",180
"kershaw2017",181
"raffield2014",182
"rogers2020",183
"svendsen2016",184
"skre2017",185
"williams2015",186
"hadley2018",137
"hadley2016",187
"mcleod2011",188
"williams2017",189
"buckberry2014",190
"leonard2011",191
"price2020",192
"hrnjic2018",193
"harrison2015",194
"kelly2015",195
"lund2006",196
"NOAUTHOR18",54
"eriksen2016",128
"hedeager2010",197
"kalmring2018",198
"draganits2014",199
"linderholm2008",200
"price2011",201
"kalmring2017",202
"kalmring2012",203
"krzewinska2018",204
"helmbrecht2012",205
"oehrl2019",44
"sindbaek2014",206
"jessen2014",207
"holst2014",208
"holst2013",207
"tveiten2017",209
"bonde2016",210
"glorstad2014",211
"roslund2005",212
"baastrup2014",213
"gotfredsen2013",214
"henriksen2014",215
"borake2018",216
"kershaw2016",217
"vesteinsson2016",218
"knudson2012",219
"hardhnd",220
"poulsen2011",221
"bill2012",222
"gustavsson2015",223
"androshchuk2010",224
"graslundnd",225
"lindholm2016",226
"ljungkvist2018",225
"ljungkvist2015",227
"chenery2014",228
"lucas2007",229
"ijssennagger2013",230
"becket2013",231
"cannellnd",232
"macphail2016",233
"magi2015",234
"gotfredsen2014",235
"milek2013",236
"burstrom2014",237
"ingvardson2012",238
"abrams2012",239
"pedersennd",240
"roesdahlnd",241
"pedersennda",132
"perry2019",180
"skre2011b",52
"frei2011",242
"becker2012",243
"olend",244
"rosengren2010",245
"NOAUTHOR33",246
"leslie2015",247
"reiter2019",248
"pricenda",249
"imer2014",205
"tummuscheit2014",78
"feveile2017",250
"goodchild2017",178
"roslund2015",251
"roslund2017",252
"roslund2013",100
"sanmarkndb",253
"sindbaek2007",254
"skre2015",255
"knappett2025",256
"sindbaeknda",206
"skrend",257
"skre2011a",52
"smith2013",258
"oye2014",259
"fallgren2008",260
"rundkvist2014",261
"christensen2013",262
"ahfeldt2015",263
"steinforth2015",264
"sutherland2015",265
"halstadmcguire2010",266
"kershaw2009",267
"vesteinsson2012",157
"holst2010",208
"fischer2011",268
"lemm2014",269
"brewer2018",270
"neiss2016",271
"pollard2012",228
"myrberg2007",272
"kershaw2018",273
"rundkvist2010",274
"furholt2018",275
"oye2016",276
"storli2010c",277
"price2016",192
"gullbekk2011",278
"svensson2018",279
"andren2000",280
"staeckernd",281
"rohdesloth2012",282
"mulk2007",283
"naum2004",284
"solli2011",285
"zachrisson2004a",286
"trinks2014",287
"kovalenko2013",288
"gustafsson2011",289
"ibsen2010",290
"buntgen2016",291
"zori2013",292
"bitzthorsen2018",293
"ravn2012a",294
"myrberg2008",295
"feveile2012",296
"benderjorgensen2009",297
"boyd2013",298
"sutherland2009",299
"fontaine2017",300
"sanmarknd",301
"arwillnordbladh2007",302
"magi2011",303
"richards2012",304
"majchczack2018",305
"naum2007",284
"halewood2001",306
"nosov2018",307
"wicker2012",308
"kitzlerahfeldt2013",308
"gardela2013",171
"svensson2009",309
"sanmarknda",278
"skorokhod2020",310
"pluskowski2010",125
"kitzlerahfeld2015a",311
"aannestad2015",6
"ahola2014",1
"ambrosiani2013",7
"andersson2004",20
"andersson2016",1
"andersson2008",27
"andren2002",31
"andren2004",19
"androshchuk2013",49
"androshchuk2014",51
"androshchuk2012",34
"androshchuk2016",1
"arents2010",63
"armbruster2010",17
"artelius2004",29
"artelius2007",23
"arwillnordbladh1998",42
"arwillnordbladh2008",29
"ashby2014",24
"s2019",1
"backdanielsson2007",12
"barndon2005",12
"ed2012",112
"barth1969",115
"e2014",8
"bergstol2008",124
"beroniusjorpeland2018",1
"bhabha1994",11
"bill2020",1
"bjerg2013",8
"blaszczyk2017",1
"d2016",1
"bogucki2012",133
"borake2019",1
"brather2013",1
"brink2011",136
"callmer2017",1
"cannell2016",140
"clarke2017",40
"croix2012",146
"croix2016",312
"croix2020",1
"crumlinpedersen2010",146
"diamond2005",66
"dobat2014",313
"domeijlundborg2004",153
"draganits2015",40
"englert2015",60
"eriksen2019",1
"eriksen1994",114
"eriksson2018",1
"forster2009",117
"frog2014",8
"gardela2008",59
"gardela2012",174
"gerds2015",314
"gjerpe2008",122
"gjerpe2017",1
"gossler2018",1
"grahamcampbell2013",1
"grahamcampbell2011",3
"graslund2007",21
"graslund2018",53
"griffiths2003",3
"gruszczynski2018",1
"hadley2013",188
"hall2014",315
"hallansstenholm2012",23
"hansen2017",1
"hansson2018",1
"hardh2010",162
"hardh2016",193
"harrison2014",77
"hedjakobsson2003",99
"hedeager2003",153
"hedeager2004",99
"hedeager2011",38
"hedenstiernajonson2006",57
"hedenstiernajonson2012",203
"helmbrecht2011",83
"hillerdal2009",1
"n2017",316
"hodges2012",95
"holmquist2013",1
"iversen2013",135
"iversen2015",167
"jackson2019",1
"jankowiak2018",1
"janowski2015",1
"jennbert2015",1
"jensen2010",59
"jesch2015",24
"jones1997",211
"jorgensen2009",146
"jorgensen2010",216
"kastholmhansen2015",1
"kershaw2013",137
"kershaw2019",1
"kirpichnikov2018",1
"kleingartner2013",8
"lia2002",222
"ljungkvist2006",225
"ljungkvist2011",227
"loe2014",56
"lund2009",5
"madsen2010",1
"magi2018",1
"magi2019",1
"mehler2015",1
"melheim2016",9
"merkel2016",193
"mikhaylov2016",1
"moen2011",59
"moen2019",6
"moesgaard2015",317
"mozdzioch2013",1
"myhre2015",154
"myrberg2009",54
"naum2008",133
"nordahl2018",1
"nordeide2016",1
"norstein2020",1
"opedal2010",53
"oye2013",69
"paterson2014",77
"pearson2018",1
"pedersen2004",23
"pedersen2009",17
"pedersen2014",6
"pedersen2016",177
"pilo2005",128
"price2000",42
"price2002",46
"price2001",160
"price2008",99
"raffield2017",80
"ravn2012",1
"rebkowski2019",1
"roesdahl2014",178
"roslund2007",52
"rundberget2017",1
"rundkvist2015",202
"russel2014",187
"said1978",116
"sanmark2017",21
"schietzel2014",56
"schultze2008",62
"semple2013",1
"sharples2020",1
"sindbaek2013",84
"skre2008",129
"skre2011",255
"soderberg2005",146
"solli2002",38
"spangen2006",1
"staecker2004",30
"stanislawski2013",133
"stanislawski2014",1
"stidsing2014",162
"svanberg2003",46
"thate2007",128
"toplak2016",1
"tummuscheit2011",78
"turner2006",1
"ulriksen2019",1
"vedeler2014",1
"vesteinsson2014",318
"vonholstein2016",1
"wallace2016",319
"wickham2005",208
"williams2020",80
"wilson2018",1
"zachrisson2004",19
"zachrisson2011",227
"zori2014",1
"strand2001",1
"andren2014",40
"birkett2020",1
"brorsson2010",1
"cooijmans2020",1
"christiansen2014",162
"dobat2010",269
"gardela2016",48
"gjerde2009",11
"glorstad2010",12
"graslund2010",24
"grundvad2017",1
"gustafsson2013",162
"laroche1997",1
"lemm2013",178
"lynnerup2014",69
"mcanany2010",1
"morawiec2009",133
"nordeide2011",24
"olsson2004",203
"price2015",239
"ratican2020",1
"roesdahl2009",1
"rundkvist2011",24
"rostad2016",85
"sheehan2013",4
"sindbaek2009",162
"steinforth2018",1
"sveinbjarnardottir2016",157
"ulriksen2011",171
"williams2010",77
"zachrisson2014",117
"ambrosiani2001",205
"graslund1984",9
"hraundal2013",7
"ilisch1990",273
"jansson1986",176
"jansson1987",20
"jansson1989",7
"wikander1978",7
"aannestad2016",2
"andren2011",172
"baastrup2012",2
"baastrup2010",2
"bagge1991",2
"bakka1963",2
"bakka1961",2
"bakka1971",274
"blackburn2002",187
"blindheim1973",196
"blindheim1999",52
"blindheim1995",12
"boe1940",194
"callmer1992",46
"callmer2008",206
"cramp1997",2
"downham2008",80
"dumville2008",3
"ekengren2009",2
"gaut2001",179
"gaut2011",132
"geber1991",2
"gosden1999",30
"grahamcampbell2000",109
"gustin2004",52
"hahn2013",2
"hedeager2002",31
"hedeager1992",114
"helms1993",33
"heyerdahllarsen1981",2
"hines1984",85
"hodder1982",176
"hodder1986",42
"hagg1974",2
"jansson1984",269
"vidar2010",2
"kopytoff2010",2
"krag1994",174
"kristiansen2005",37
"maran2012",2
"marstrander1963",2
"mauss1950",2
"mikkelsen2002",37
"myhre1992",114
"croinin1989",2
"pedersen2008",52
"peets2012",144
"petersen1940",179
"raven2005",101
"rogers2006",267
"simonsen1981",64
"skaare1963",2
"skaare1976",185
"solli1995",2
"thomas1991",2
"waller1982",2
"wamers1985",3
"wamers2011",85
"williams2008",189
"wilson1984",2
"wilson2006",240
"amundsen2001",114
"amundsen2011",11
"amundsen2015",11
"amundsen2007",279
"apel2001",11
"apel2005",11
"aronsson1991",11
"askeladden2015",11
"bakka1973",274
"bakka1976",11
"barth1976",11
"barth1996",124
"baudou1987",11
"bergman2016",11
"bergsland1992",11
"bergstol1997",124
"bergstol2009",11
"bjorn1934",11
"boaz1997",11
"bolstad1980",11
"braseth2014",11
"brendalsmo2003",11
"brogger1942",11
"bull2002",11
"byggstoyl2012",11
"damm2010",11
"fjellheim1999",11
"fjellheim2012",11
"forsberg2005",11
"fossum2006",11
"fredriksen1983",11
"fuglesang1980",281
"fuglestvedt2006",11
"gjerde2016",11
"gjessing1945",11
"grandell1986",11
"grimbe2013",11
"gustafson1988",11
"gustavsen2014",11
"hagen1946",11
"hagstrom2010",11
"hallgren2008",11
"hansen2004",159
"hansen2014",11
"hedman2003",11
"helstad2001",11
"hildre2012",11
"hole2013",11
"holm1991",11
"holm2016",11
"holseng2004",11
"hougen1947",55
"indreko1956",11
"jenkins2008",11
"johansen1981",11
"kleppe1977",11
"lannerbro1976",11
"marstrander1977",11
"mathiesen2005",11
"melheim2015",11
"mikkelsen1994",282
"mikkelsen1975",11
"mjaerum2012",175
"mulk1994",11
"myhre1962",11
"norell1987",11
"nou2007",11
"nyland2016",11
"odner1983",114
"odner2000",11
"ojala2009",11
"olsen1985",11
"olsen1991",11
"pareli1991",11
"prescott2009",11
"schanche1985",11
"scheen1979",11
"serning1966",11
"sjurseike1994",11
"skandfer1996",11
"skjolsvold1980",124
"skjolsvold1981",11
"skjolsvold1984",11
"smith2006",11
"soborg1988",11
"solberg1986",11
"sommerseth2011",11
"spangberg2014",11
"spangen2010",11
"stene2010",11
"stenvik1988",11
"svensson2006",11
"swensen2017",11
"trigger2006",11
"vorren1965",11
"wegraeus1971",11
"zachrisson1997",42
"zachrisson2015",11
"abrams2004",217
"phil2010",239
"fanning1994",179
"sheehan1998",101
"sheehan2009",239
"omeadhra1979",183
"blackburn1981",239
"glorstad1987",239
"grahamcampbell1984",179
"jensen1968",239
"davidson1962",33
"grinsell1961",48
"bjorn1940",48
"kovalev2004",251
"arbman1940",46
"arne1914",7
"bearman2014",7
"anonymous2012",239
"ljung2010",165
"lang2001",190
"cohen2004",239
"jesch2002",188
"whaley2004",239
"tweddle1995",239
"coatsworth2008",239
"grahamcampbell1980",194
"wamers2009",3
"grahamcampbell2007",107
"brunning2013",139
"sonderso2005",224
"stenalt1960",224
"kolindsund1936",224
"luhm1903",224
"androshchuk2001",224
"androshchuk2002",182
"androshchuk2003",224
"androshchuk2009",224
"androshchuk2004",224
"appadurai1937",224
"arbman1937",289
"arbman1966",224
"arrhenius1985",82
"bazelmans1999",152
"bergman1976",224
"behmer1939",224
"behrend1936",224
"brondsted1936",240
"chase1979",224
"colmo1953",224
"cross1914",224
"falk1914",224
"gameson2001",224
"gansum1991",224
"geibig1992",224
"grahamcampbell1968",224
"gurevich1968",18
"habbe2005",30
"hakonarherdibreids1991",224
"harke2000",123
"jacobsen1942",96
"nasman1991",224
"jorgensen1966",146
"lavrsen1960",224
"maixner1990",183
"mauss1980",224
"menghin1980",224
"mullerwille1978",53
"mullerwille1984",31
"mullerwille1980",224
"north1980",224
"nasman1989",224
"ostergren1976",115
"olsson1975",224
"owencrocker1966",224
"ornes1966",210
"paulsen1953",271
"pedersen1995",224
"pedersen1997",46
"pedersen2002",53
"peirce1919",31
"petersen1919",31
"rydbeck1932",224
"schulzedorrlamm1987",224
"handelderwikingerzeitzwischennordundwesteuropaaufgrundarchaologischerzeugnisse1987",224
"klaesoe2005",224
"smidt1991",224
"stocklund1985",224
"strid1961",224
"stromberg1946",224
"svanberg1995",224
"thunmarknylen1995",224
"thunmarknylen2001",224
"bergman2005",224
"thalinbergman2000",224
"theuws2000",224
"turvillepetre1960",224
"wamers1930",210
"whitelock1955",224
"willemsen2004",180
"wilson1955",213
"wrenn1958",224
"zachrisson1984",196
"zachrisson2012",11
"ammann2007",320
"ammann2003",321
"anchukaitis2014",322
"anchukaitis2012",323
"anchukaitis2010",324
"anchukaitis2013",325
"anchukaitis2006",326
"andreuhayles2011",327
"andronova2000",328
"autin2015",329
"biondi1999",330
"bowman1997",331
"bradley2001",332
"breitenmoser2012",333
"briffa1993",334
"briffa1994",335
"briffa1995",336
"briffa2000",337
"briffa1996",338
"briffa1998",339
"briffa2011",340
"briffa2013",341
"briffa2004",342
"briffa2002",343
"brohan2012",344
"buckley2010",10
"buntgen2006",345
"buntgen2013",346
"buntgen2011",291
"buntgen2014",291
"campbell2007",233
"coledai2013",347
"cook1990",348
"cook1987",349
"cook2010",350
"cook1994",351
"cook1995",352
"cook2013",291
"cook1999",353
"cowtan2014",354
"crowley2000",355
"crowley2008",356
"darrigo2011",357
"darrigo2003",358
"darrigo1992",359
"darrigo2004",360
"darrigo2013",361
"darrigo2008",362
"darrigo2015",363
"darrigo2009",364
"darrigo2006",365
"davi2003",366
"delaygue2011",367
"doradolinan2012",368
"edwards2007",369
"emilegeay2013",370
"esper2013",371
"esper2002",372
