"node_id","community_id"
"aannestad2018",1
"lund2016",2
"moen2020",3
"lund2021",4
"ambrosiani2015",5
"croix2015",6
"price2018",7
"vonholstein2014",8
"warmlander2015",5
"amundsen2017",9
"lund2019",10
"solli2018",11
"anchukaitis2017",12
"fabech2013",13
"dobat2006",14
"price2006",15
"zachrisson2017",16
"fahlander2016",17
"strand2011",18
"eriksen2013",19
"jorgensenndb",18
"jorgensennd",18
"zachrissonnd",18
"andrennd",20
"lund2008",21
"lund2020",2
"lund2005",22
"lund2004",22
"lundborgnd",23
"lund2017",24
"raffield2018",25
"zoega2017",26
"williams2016",27
"andren2013",28
"glorstad2012",29
"larsson2007",18
"lund2015",24
"lund2013",30
"ljungkvist2011a",22
"lund2010",21
"skre2019",31
"jessen2016",32
"pricendb",33
"mannering2013",34
"oehrl2017",35
"magnell2010",36
"price2008a",37
"zachrisson2014a",38
"gardela2018",39
"gustafsson2016",40
"raffield2019",41
"androshchuk2018",33
"burstrom2015",42
"glorstad2017",43
"odeback2018",44
"edberg2019",45
"feveile2011",46
"hilberg2014",47
"hilberg2018",48
"arneborg2012",49
"dugmore2012",50
"smith2018",49
"hartman2017",51
"jackson2018",52
"lynnerupnd",53
"frei2015",54
"arwillnordbladhnd",20
"artelius2005",55
"artelius2013",55
"pedersen2006",20
"wickholm2006",56
"harris2017",57
"tummuscheitnd",58
"fahlander2018",17
"osullivan2015",59
"raffield2016",60
"price2019",61
"glorstad2015",62
"ashby2015",63
"baug2019",64
"croix2019",65
"heenpettersen2019",29
"hennius2018",66
"heenpettersen2018",4
"loftsgarden2019",67
"pilo2020",68
"perry2016",69
"thend",63
"sindbaek2018",70
"raja2018",71
"rosvold2019",72
"sindbaek2017",70
"griffiths2019",73
"backdanielsson2016",74
"price2014",75
"barndon2018",76
"pedersenndb",76
"barrett2010",29
"krzewinska2015",77
"naumann2014",78
"montgomery2014",79
"price2014a",80
"raninen2014",81
"sheehannd",82
"sindbaeknd",83
"sindbaek2011",84
"star2017",85
"pilo2018",86
"mainland2018",87
"sindbaek2016",88
"bergstol2004",89
"kemmers2011",90
"nielsen2011",91
"baug2017",92
"bill2019",93
"svendsen2019",94
"beck2018",95
"grupe2013",96
"zachrisson2018",97
"rasmussen2014",98
"jahnsen2016",99
"stene2017",86
"kristjansdottir2015",100
"bill2017",93
"billnd",93
"bill2016",101
"gardelanda",33
"fredriksen2014",102
"gullbekk2014",103
"pedersen2015",104
"macphail2013",105
"axelsen2014",106
"williams2014",27
"gardela2015",107
"jagodzinski2014",108
"sanmark2013",109
"richards2018",110
"helama2017",111
"eriksen2017",42
"ellingsen2019",112
"price2010",37
"catlin2016",113
"jarman2018",114
"peschel2017",115
"raffield2015",75
