"node_id","community_id"
"aannestad2018",1
"lund2016",2
"moen2020",3
"lund2021",4
"ambrosiani2015",5
"croix2015",6
"price2018",7
"vonholstein2014",8
"warmlander2015",5
"amundsen2017",9
"lund2019",10
"solli2018",11
"anchukaitis2017",12
"fabech2013",13
"dobat2006",14
"price2006",15
"zachrisson2017",16
"fahlander2016",17
"strand2011",18
"eriksen2013",19
"jorgensenndb",18
"jorgensennd",18
"zachrissonnd",18
"andrennd",20
"lund2008",21
"lund2020",22
"lund2005",23
"lund2004",23
"lundborgnd",24
"lund2017",25
"raffield2018",26
"zoega2017",27
"williams2016",28
"andren2013",29
"glorstad2012",30
"larsson2007",18
"lund2015",25
"lund2013",31
"ljungkvist2011a",32
"lund2010",33
"skre2019",34
"jessen2016",35
"pricendb",36
"mannering2013",37
"oehrl2017",38
"magnell2010",39
"price2008a",40
"zachrisson2014a",41
"gardela2018",42
"gustafsson2016",43
"raffield2019",44
"androshchuk2018",36
"burstrom2015",45
"glorstad2017",46
"odeback2018",47
"edberg2019",48
"feveile2011",49
"hilberg2014",50
"hilberg2018",51
"arneborg2012",52
"dugmore2012",53
"smith2018",52
"hartman2017",54
"jackson2018",55
"lynnerupnd",56
"frei2015",57
"arwillnordbladhnd",20
"artelius2005",58
"artelius2013",59
"pedersen2006",20
"wickholm2006",60
"harris2017",61
"tummuscheitnd",62
"fahlander2018",17
"osullivan2015",63
"raffield2016",64
"price2019",65
"glorstad2015",66
"ashby2015",67
"baug2019",68
"croix2019",69
"heenpettersen2019",30
"hennius2018",70
"heenpettersen2018",4
"loftsgarden2019",71
"pilo2020",72
"perry2016",73
"thend",67
"sindbaek2018",74
"raja2018",75
"rosvold2019",76
"sindbaek2017",77
"griffiths2019",78
"backdanielsson2016",79
"price2014",80
"barndon2018",81
"pedersenndb",81
"barrett2010",30
"krzewinska2015",82
"naumann2014",83
"montgomery2014",84
"price2014a",85
"raninen2014",86
"sheehannd",87
"sindbaeknd",88
"sindbaek2011",89
"star2017",90
"pilo2018",91
"mainland2018",92
"sindbaek2016",93
"bergstol2004",94
"kemmers2011",95
"nielsen2011",96
"baug2017",97
"bill2019",98
"svendsen2019",99
"beck2018",100
"grupe2013",101
"zachrisson2018",102
"rasmussen2014",103
"jahnsen2016",104
"stene2017",91
"kristjansdottir2015",105
"bill2017",98
"billnd",106
"bill2016",107
"gardelanda",36
"fredriksen2014",108
"gullbekk2014",109
"pedersen2015",110
"macphail2013",111
"axelsen2014",112
"williams2014",28
"gardela2015",113
"jagodzinski2014",114
"sanmark2013",115
"richards2018",116
"helama2017",117
"eriksen2017",45
"ellingsen2019",118
"price2010",40
"catlin2016",119
"jarman2018",120
"peschel2017",121
"raffield2015",80
