Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
drescher1983,Beiträge des sechsten kolloquiums des arbeitskreises zur archäologischen erforschung des mittelalterlichen handwerks,"Drescher, H.","Jahnkuhn, Hans",,1983,1983,"Das Handwerk in vor-und Frühgeschichtlicher Zeit, Band II. Abhandlungen der Akademie der Wissenschaften in Göttingen",incollection,,Vandenhoeck und Ruprecht,,Ovale spenner i Nord-Norge og Trøndelag. Stil og symbolisme i social sammenhaeng. Hovedfagsopgave i Arkeologi,123,,174--191,,,,,F2,,,,0.92,complete (missing: location),,,,"Christiansen 2019 - Metal-Detected Late Iron Age and Early Medieval Brooches from the Limfjord Region, Northern Jutland.pdf",,"Drescher, H. 1983. Metallhandwerk des 8-11. Jahrhunderts in Haithabu auf Grund der Werkstattabfälle. In: H. Jahnkuhn et al. (eds.). Das Handwerk in vor-und Frühgeschichtlicher Zeit, Band II. Abhandlungen der Akademie der Wissenschaften in Göttingen, Phil.-Hist. Kl. 3.flg. bd. 123. Göttingen. Pp. 174- 191.","christiansen2019, ravn2012a, pedersenndb, sindbaek2014, sindbaek2011, sindbaeknda",,
jorgensen1980a,Stormand og Håndværkere ved Tissø i det 6.-11. Århundrede,"Jørgensen, Lars; Bican, Josefine Franck; Thomsen, Lone Gebauer; Jensen, Xenia Pauli",,,1980,2004,Årbog for Kulturhistorien i Holbæk Amt,article,,,,,2003,,50--64,Kapel; Copenhagen; Kershaw,,,,F2,,,,0.75,"partial (missing: editor, publisher, location)",,Corrected full author list.,"title, title, title, title, title, title, title, title, +170 more",Baastrup 2014 - Continental and Insular Import in Viking Age Denmark Distribution and Circulation.pdf,,"Jorgensen Pedersen 1996, Lars Jorgensen/Lisberh Pedersen, Vikinger ved Tiss. Gamle og nye fund fra er handels-og hand- varkscenrer. Narionalmuseers Arbejdsmark 1996, 22~36. Jorgensen er al. 2004. Lars Jorgensen/Josefine Franck Bi- can/Lobne Gebauer Thomsen/Xenia Pauli Jensen, Srormand og handveerkere ved Tisse i der 6-11. arh. Arbog for Kulrarhisrorien i Holbek Amr 2003, 50-64. Kapel 1980. Hans Kapel, Upublicerer udgravningsberer- ning for den arkseologiske undersagelse ved Sankr Morrens ka- peller i Srenlose (01.06.05), Anriquarian Topographical Archive, the Narional Museum, deparrmenr of Danish Middle Ages and Renaissance (Copenhagen). Kershaw 2009. Jane Kershaw, Culrure and Gender in the",baastrup2014,,
dunwell1995,A Viking Age cemetery at Cnip,"Dunwell, A. J.; Cowie, T. G.; Bruce, M. F.; Neighbour; Rees, A.",,,1995,1995,Proceedings of the Society of Antiquaries of Scotland,article,,,"Uig, Isle of Lewis",,125,,719--752,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Harrison 2016 - “Warrior Graves” The Weapon Burial Rite in Viking Age Britain and Ireland.pdf,,"Dunwell, A J, Cowie, T G, Bruce, M F, Neighbour, T and Rees, A R, 1995 'A Viking Age cemetery at Cnip, Uig, Isle of Lewis', Proceedings of the Society of Antiquaries of Scotland 125, 719-752","harrison2015, montgomery2014",,
hemmendorff1980,"Fornlämningarna 267 och 272, stensättningar, samt 307 gravfält och verkstadsplats, yngre järnålder bäckby","Hemmendorff, O.",,,1980,1980,,book,,Riksantikvarieämbetet,"Lundby församling, Västerås, Västmanland; Uppdragsverksamheten; Stockholm",,,,12,,,,,F2,,,,0.89,complete (missing: isbn),,,,Artelius 2013 - Inventions of Memory and Meaning Examples of Late Iron Age Reuse of Bronze Age Monuments in South-W.pdf,,"Hemmendorff, O. 1980. Fornlämningarna 267 och 272, stensättningar, samt 307 gravfält och verkstadsplats, yngre järnålder Bäckby, Lundby församling, Västerås, Västmanland. Riksantikvarieämbetet och Statens Historiska Museer Rapport. Uppdragsverksamheten 1980:12. Stockholm: Riksantikvarieämbetet.",artelius2013,,
dyer2002,Making a living in the Middle Ages,"Dyer, C.",,,2002,2002,,book,,Yale University Press,London,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Barrett 2008 - What Caused the Viking Age.pdf,,"Dyer, C. 2002. Making a living in the Middle Ages. London: Yale University Press.","barrett2008, barrett2010",,
nordal1954,Tid och kalvskinn. några anmärkninger om de ekonomiske förutsetningarna för den fornisländska litteraturen,"Nordal, Sigurður",,,1954,1954,Scripta Islandica,article,,,,,5,,5--18,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Keller and Perdikaris 2016 - The Northern Frontier – North Atlantic Farming during the Viking and Middle Ages.pdf,,"Nordal, S. (1954) Tid och Kalvskinn. Några anmärkninger om de ekonomiske förutsetningarna för den forn- isländska litteraturen. Scripta Islandica 5, 5-18.",keller2016,,
westerdahl2008,Boats apart: building and equipping an Iron-Age and early-medieval ship in Northern Europe,"Westerdahl, Christer",,,2008,2008,The International Journal of Nautical Archaeology,article,,Informa UK Limited,,,37,1,17--31,,10.1111/j.1095-9270.2007.00170.x,,,F2,,,crossref,1.00,complete,,,,Barrett 2008 - What Caused the Viking Age.pdf,,"Westerdahl, C. 2008. Boats apart: building and equipping an Iron-Age and early-medieval ship in Northern Europe. The International Journal of Nautical Archaeology 37: 17-31.","barrett2008, barrett2010",,
jorgensen1990,Baekkegård and Glasergård. Two Cemeteries from the Late Iron Age on Bornholm. Arkaeologiske Studier VIII,"Jørgensen, Lise Bender",,,1990,1990,Arkaeologiske Studier VIII,article,,Akademisk Forlag,Copenhagen,,VIII,,,,,,,F2,,,,0.75,"partial (missing: number, pages, doi)",,,,Hilberg 2018 - Detektoruntersuchungen in Haithabu 2003–2015. Aussagemöglichkeiten und Erkenntnisgewinn für die Ents.pdf,,"JøRGENSEN 1990: L. JøRGENSEN, Baekkegård and Glasergård. Two Cemeteries from the Late Iron Age on Bornholm. Arkaeologiske Studier VIII (København 1990).","hilberg2018, hardhnd, osullivan2015, sindbaek2014, rundkvist2010, sindbaeknda, ulriksen2011a",,
oebynielsen2007,Runesten og deres fundforhold. Århus: Afdeling for Middelalder-og Renaessancearkaeologi,"Øeby Nielsen, G.",,,2007,2007,,book,,,,,,,,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Imer 2014 - The Danish Runestones When and Where.pdf,,"Øeby Nielsen, G., 2007. Runesten og deres fundforhold. Århus: Afdeling for Middelalder-og Renaessancearkaeologi, Aarhus Universitet.",imer2014,,
norden1938,"Tingsfjäl and bäsing, Fornvännen 33","Nordén, N.","Ohlén, C-E",,1938,1938,"Svenska gods och gårdar. D. 13, Sydvästra Södermanland: Jönåker, Rönö och Oppunda härader",incollection,,,,,,,,Uddevalla,,,,F2,,,,0.75,"partial (missing: pages, publisher, location)",,,,Sanmark and Semple 2008 - Places of Assembly New Discoveries in Sweden and England.pdf,,"Nordén, N., 1938. Tingsfjäl and bäsing, Fornvännen 33. Ohlén, C-E., 1938. Svenska gods och gårdar. D. 13, Sydvästra Södermanland: Jönåker, Rönö och Oppunda härader. Uddevalla.",sanmarknd,,
