Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
ambrosiani1990,Den svarta jorden i birka -en nyckel till förståelsen av stad och omland under vikingatiden,"Ambrosiani, Björn","Ambrosiani, Björn; Clarke, Helen",,1990,1990,The Black Earth at Birka). Fornvännen,article,incollection,Riksantikvarieämbetet / Statens Historiska Museer,,,85,,1--7,Stockholm,,,,F2,,,,0.92,complete (missing: location),,,,"Glørstad and Wenn 2017 - A View from the Valley Langeid in Setesdal, South Norway – A Viking-Age Trade Station along a Merca.pdf",,"Ambrosiani, Björn 1995: Beads of glass and semi-precious stone. In: Ambrosiani, Björn and Helen Clarke (eds): Excavations in the Black Earth 1990. Birka Studies, vol. 2. Riksantikvarieämbetet / Statens Historiska Museer. Stockholm.","glorstad2017, trinks2014",,
russell1994,The Gerntanization of' Early Medieval Christianity. A Sociohistorical Approach to Religious T&ansformation,"Russell, J. C.",,,1994,1994,,book,,,Oxford,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Andrén 2000 - Re-reading Embodied Texts - an Interpretation of Rune-stones.pdf,,"Russell, J. C. 1994. The Gerntanization of' Early Medieval Christianity. A Sociohistorical Ap- proach to Religious T&ansformation. Oxford.",andren2000,,
chaney1970,The cult of kingship in Anglo-Saxon England: The transition from Paganism to Christianity,"Chaney, W. A.",,,1970,1970,,book,,University of California Press,Manchester,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Dobat 2006 - The King and His Cult The Axe-Hammer from Sutton Hoo and Its Implications for the Concept of Sacral.pdf,,"Chaney, W.A. 1970. The cult of kingship in Anglo-Saxon England: The transition from Paganism to Christianity. Manchester: Manchester University Press.","dobat2006, raffield2014",,
moberg1992,Vikingtidssverdene: hjemlig produksjon eller importerte: med utgangspunkt i et lokalt sverdmateriale fra sogn og fjordane,"Moberg, Eva",,,1992,1992,Thesis,book,,,Bergen,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,"Barndon and Olsen 2018 - En Grav Med Smedverktøy Fra Tidlig Vikingtid På Nordheim i Sogndal En Analyse Av Gravgods, Handling.pdf",,"Moberg, Eva 1992 Vikingtidssverdene. Hjemlig produserte eller importerte. Med utgangspunkt i et lokalt sverdmateriale fra Sogn og Fjordane. Upublisert hovedfagsoppgave i arkeologi. Universitetet i Bergen, Bergen.","barndon2018, glorstad2012",,
olasson1998,"Dialogues with the Viking Age. Heimskringla, Mál og Menning Academic Division","Ólasson, V.",,,1998,1998,,book,,,Reykjavík,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Keller and Perdikaris 2016 - The Northern Frontier – North Atlantic Farming during the Viking and Middle Ages.pdf,,"Ólasson, V. (1998) Dialogues with the Viking Age. Heimskringla, Mál og Menning Academic Division, Reykjavík.",keller2016,,
hatting1998,Viborg Søndersø 1000-1300. Byarkaeologiske undersøgelser 1981 og 1984-85,"Hatting, TOVE",Iversen; Hk Kristensen,,1998,1998,,article,,,,Jysk Arkaeologisk Selskabs Skrifter,34,,301--308,,,,,F2,,,,0.67,"partial (missing: journaltitle, number, doi)",,,,Gotfredsen 2014 - Birds in Subsistence and Culture at Viking Age Sites in Denmark.pdf,,"Hatting T. 1998. Dyreknogler. Viborg Søndersø 1000-1300. Byarkaeologiske undersøgelser 1981 og 1984-85, J Hjermind, M Iversen, HK Kristensen (eds.). Jysk Arkaeologisk Selskabs Skrifter 34. Aarhus Universitetsforlag: Højbjerg; 301-308.",gotfredsen2013,,
mannering2004,Dress in Scandinavian Iconography of the 5th-10th centuries A.D,"Mannering, Ulla","Maik, J.",,2004,2004,"Priceless Invention of Humanity -Textiles, NESAT VIII. Acta Archaeologica Lodziensia",incollection,,,,,,,67--74,,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Mannering 2013 - Man or Woman Perception of Gender through Costume.pdf,,"Mannering, U., 2004. Dress in Scandinavian Iconography of the 5th-10th centuries A.D. In: J.Maik, ed. Priceless Invention of Humanity -Textiles, NESAT VIII. Acta Archaeologica Lodziensia Nr. 50/1. Łódz, 67-74.",mannering2013,,
madsen1991,En østjysk gravplads fra yngre germansk jernalder og vikingetid,"Madsen, Hans Jørgen","Mortensen, Peder; Rasmussen, Birgit M",,1991,1991,Fra Stamme til Stat i Danmark 2. Høvdingesamfund og Kongemagt,incollection,,,,,2,,217--234,Aarhus,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Runge and Henriksen 2018 - The Origins of Odense New Aspects of Early Urbanisation in Southern Scandinavia.pdf,,"Madsen, H.J., 1991. Vikingetidens keramik som historisk kilde. In: P. Mortensen and B.M. Rasmussen, eds. Fra Stamme til Stat i Danmark 2. Høvdingesamfund og Kongemagt. Jysk Arkaeologisk Selskabs Skrifter XXII:2. Aarhus: Jysk Arkaeologisk Selskab, 217-234.","NOAUTHOR28, ulriksen2011a",,
kenward1995,Biological evidence from Anglo-Scandinavian deposits at 16-22 Coppergate,"Kenward, Harry; Hall, Allan","Addyman, P. V.",,1995,1995,The Archaeology of York. York: Council for British Archaeology,article,,,,,14,7,435--797,,,,,F2,,,,0.92,complete (missing: doi),,,,Henriksen et al  2017 - Iron and Viking Age Grapes from Denmark – Vine Seeds Found at the Royal Complexes by Lake Tissø.pdf,,"Kenward, H.K. and Hall, A.R., 1995. Biological evidence from Anglo-Scandinavian deposits at 16-22 Coppergate. In: The Archaeology of York. York: Council for British Archaeology, In: P. V. Addyman (Ed.), Vol. 14, 435-797.","henriksen2017, rohdesloth2012",,
gudni1945,Egils saga Skalla-Grimssonar,"Gudni, J.",,,1945,1945,,book,,,Reykjavik,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Bill 2016 - Protecting against the Dead On the Possible Use of Apotropaic Magic in the Oseberg Burial.pdf,,"Gudni, J., 1945. Egils saga Skalla-Grimssonar. Reykjavik.",bill2016,,
sode2004,Glass Bead Making Technology,"Sode, Torben",,,2004,2004,Mogens Bencard and others,incollection,,Jutland Archaeological Society,,,5,,83--102,Højbjerg,,,,F2,,,,0.83,"partial (missing: editor, location)",,,,"Hilberg and Kalmring 2014 - Viking Age Hedeby and Its Relations with Iceland and the North Atlantic Communication, Long-Distanc.pdf",,"Sode, Torben, 'Glass Bead Making Technology' , in Ribe Excavations 1970-76, ed. by Mogens Bencard and others, 6 vols, Jutland Archaeological Society Publications, 46 (Højbjerg: Jutland Archaeological Society, 2004), v, 83-102","hilberg2014, osullivan2015",,
kjaerum1990,"Oldtidens ansigt. Faces of the Past. Festskrift til Dronning Margrethe II. Det kongelige Nordisk Oldskriftselskab, Jysk Arkaeologisk Selskab","Kjaerum, P.; Olsen, R. A.",,,1990,1990,,book,,,Copenhagen,,,,,,,,,F2,,,,0.78,"partial (missing: publisher, isbn)",,,,Helmbrecht 2012 - A Winged Figure from Uppåkra.pdf,,"Kjaerum, P. & Olsen, R.A. (ed.), 1990. Oldtidens Ansigt. Faces of the Past: Til Hendes Majestaet Dronning Mar- grethe II 16. april 1990. Copenhagen.","helmbrecht2012, olend, mannering2013",,
larrington2007,Old Norse made new. Essays on the post-medieval reception of Old Norse literature and culture,"Larrington, Carolyne","Clark, D.; Phelpstead, C.",,2007,2007,Translating the Poetic Edda into English,incollection,,,,,,,21--42,London,,,,F2,,,,0.83,"partial (missing: publisher, location)",,,,Eriksen 2013 - Doors to the Dead The Power of Doorways and Thresholds in Viking Age Scandinavia.pdf,,"Larrington, C., 2007: Translating the Poetic Edda into English, in D. Clark and C. Phelpstead (eds), Old Norse made new. Essays on the post-medieval reception of Old Norse literature and culture, London, 21-42.",eriksen2013,,
vogt2010,The Function of Kinship in Medieval Nordic Legislation,"Vogt, Helle",,,2010,2010,,book,,Leiden,,,9,,,,10.1163/9789004189294,,,F2,,,crossref,0.78,"partial (missing: location, isbn)",,,,Zachrisson 2017 - The Background of the Odal Rights An Archaeological Discussion.pdf,,"Vogt, H., 2010. The Function of kinship in medieval nordic legislation, Vol. 9, Medieval Law and Its Practise. Brill: Leiden.",zachrisson2017,,
gurevich1992,Historical Anthropology of the Middle Ages,"Gurevich, A. Y.; Ja","Howlett, J.",,1992,1992,,book,,University of Chicago Press,Cambridge,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Fallgren 2008 - Farm and Village in the Viking Age.pdf,,"Gurevich, A.Ja. (1992) Historical Anthropology of the Middle Ages, ed. J. Howlett, Chicago: University of Chicago Press.","fallgren2008, zachrisson2017",,
gillingham1989,The most precious jewel in the english crown: levels of danegeld and heregeld in the early eleventh century,"Gillingham, JOHN",,,1989,1989,The English Historical Review,article,,Oxford University Press (OUP),,,104,CCCCXI,373--384,,10.1093/ehr/civ.ccccxi.373,,,F2,,,crossref,1.00,complete,,,,Svendsen 2019 - Two Bandits or More The Case of Viking Age England.pdf,,"Gillingham, J. (1989). The most precious jewel in the English Crown: Levels of danegeld and heregeld in the early eleventh century. The English Historical Review, 104, 373-384.",svendsen2019,,
flannery1973,Archaeology with a capital 'S',"Flannery, K.","Redman, CHARLES L.",,1973,1973,Research and Theory in Current Archaeology,incollection,,Wiley,,,,,47--53,New York,,,,F2,,,,0.92,complete (missing: location),,,,Solli et al  2011 - Some Reflections on Heritage and Archaeology in the Anthropocene.pdf,,"Flannery, K. 1973. Archaeology with a capital 'S'. In Redman, C.L. (ed.). Research and Theory in Cur- rent Archaeology, pp. 47-53. Wiley, New York.",solli2011,,
goodman1993,A ground-radar view of Japanese burial mounds,"Goodman, Dean; Nishimura, Yasushi",,,1993,1993,Antiquity,article,,Cambridge University Press (CUP),,,67,255,349--354,,10.1017/s0003598x00045403,,,F2,,,crossref,1.00,complete,,,,"Rundkvist and Viberg 2015 - Geophysical Investigations on the Viking Period Platform Mound at Aska in Hagebyhöga Parish, Sweden.pdf",,"Goodman D, Nishimura Y. 1993. A ground-radar view of Japanese burial mounds. Antiquity 67: 349-354.",rundkvist2014,,
andersson1990,Berlocker Och Medaljonger,"Andersson, K.",,,1990,1990,Något om romartidens guldsmide i Norden. Fornvännen,article,,,,,97,,115--127,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Arwill-Nordbladh 2013 - Golden Nodes–Linking Memory to Time and Place.pdf,,"ANDERSSON, K., 1990. Berlocker och medaljonger. Något om romartidens guldsmide i Norden. Fornvännen 97: 115-127.",arwillnordbladhnd,,
knudson2007,The Utility of Multiple Chemical Techniques in Archaeological Residential Mobility Studies: Case Studies from Tiwanaku-and Chiribaya-Affiliated Sites in the Andes,"Knudson, Kelly J.; Price, Douglas; T.",,,2007,2007,American Journal of Physical Anthropology,article,,,,,132,,25--43,,,,,F2,,,,0.83,"partial (missing: number, doi)",,,,Price et al  2019 - Vikings in Russia Origins of the Medieval Inhabitants of Staraya Ladoga.pdf,,"Knudson, Kelly J, and Douglas Price T (2007) The Utility of Multiple Chemical Techniques in Archaeological Residential Mobility Studies: Case Studies from Tiwanaku-and Chiribaya-Affiliated Sites in the Andes. American Journal of Physical Anthropology 132:25-43",price2019,,
juel2010,"Obm8935 hjulby (kampagne 2009), nyborg landsogn. arkaeologisk udgravning af vaerkstedsplads med grubehuse og kulturlag fra yngre germansk jernalder-tidlig middelalder samt bebyggelse fra yngre jernalder. arkaeologisk rapport nr","Juel, C.",,,2010,2010,,book,,,,,308,,,,,,,F2,,,,0.67,"partial (missing: publisher, location, isbn)",,,,Runge and Henriksen 2018 - The Origins of Odense New Aspects of Early Urbanisation in Southern Scandinavia.pdf,,"Juel, C., 2010. OBM8935 Hjulby (kampagne 2009), Nyborg Landsogn. Arkaeologisk udgravning af vaerkstedsplads med grubehuse og kulturlag fra yngre germansk jernalder-tidlig middelalder samt bebyggelse fra yngre jernalder. Arkaeologisk Rapport nr. 308. Unpublished report. Odense Bys Museer.",NOAUTHOR28,,
bencard1979,Ribe Excavations,"Bencard, M.","Bencard, M.; Bender Jørgensen, L.; Brinch Madsen, H.",,1979,1979,,misc,,Wikingerzeitliches,,,,,,,,,,F2,,,,0.50,"partial (missing: title, url, note)",,Recovered correct editor role.,"title, editor, title, editor, title, editor, title, editor, +18 more",Croix 2015 - Permanency in Early Medieval Emporia Reassessing Ribe.pdf,,"Bencard, M. 1979. Wikingerzeitliches",croix2015,,
scarre2002,Monuments and Landscape in Atlantic Europe: Perception and Society During the Neolithic and Early Bronze Age,"Scarre, C.",,,2002,2002,,book,,Routledge,,,,,,London,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,Raffield 2014 - “A River of Knives and Swords” Ritually Deposited Weapons in English Watercourses and Wetlands duri.pdf,,"Scarre, C. ed. 2002. Monuments and Landscape in Atlantic Europe: Perception and Society During the Neolithic and Early Bronze Age. London: Routledge.",raffield2014,,
braudel1972,The Mediterranean and the Mediterranean World in the Age of Philip II,"Braudel, F.",,,1972,1972,,book,,Collins,,,,,,London,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,Zoëga and Bolender 2017 - An Archeology of Moments Christian Conversion and Practice in a Medieval Household Cemetery.pdf,,Braudel F (1972) The Mediterranean and the Mediterranean World in the Age of Philip II. London: Collins.,zoega2017,,
ofloinn1987,Schools of Metalworking in Eleventh and Twelfth Century Ireland,"O ´floinn, R.",Ryan,,1987,1987,Ireland and Insular Art ad 500-1200,incollection,,Royal Irish Academy,,,,,179--187,Dublin,,,,F2,,,,0.92,complete (missing: location),,,,Downham 2016 - Coastal Communities and Diaspora Identities in Viking Age Ireland.pdf,,"O ´Floinn, R, 1987 'Schools of metalworking in eleventh and twelfth century Ireland', in M Ryan (ed), Ireland and Insular Art ad 500-1200, Royal Irish Academy, Dublin, 179-187",downham2015,,
meyer1999,Ancient Christian Magic: Coptic texts of ritual power,"Meyer, Matthias; Smith, R. O.",,,1999,1999,,book,,Princeton University Press,Princeton (NJ),,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,Bill 2016 - Protecting against the Dead On the Possible Use of Apotropaic Magic in the Oseberg Burial.pdf,,"Meyer, M. & R. Smith, 1999. Ancient Christian Magic: Coptic texts of ritual power. Princeton (NJ): Princeton Univer- sity Press.",bill2016,,
paabo1989,"Ancient DNA: extraction, characterization, molecular cloning, and enzymatic amplification","Pääbo, Svante",,,1989,1989,Proc. Natl. Acad. Sci. U.S.A,article,,National Academy of Sciences,,,86,6,1939-1943,,10.1073/pnas.86.6.1939,,,F2,,,crossref,1.00,complete,,,,Naumann et al  2014 - Slaves as Burial Gifts in Viking Age Norway Evidence from Stable Isotope and Ancient DNA Analyses.pdf,,"Pääbo, S., 1989. Ancient DNA: extraction, characterization, molecular cloning, and enzymatic amplification. Proc. Natl. Acad. Sci. U.S.A 86, 1939e1943.",naumann2014,,
