Citekey,Title,Author(s),Editor(s),Translator(s),Year,Date,Published In,Entry Type,Entry Type (original),Publisher,Location,Series,Volume,Number,Pages,Event/Title,DOI,URL,Note,Generation,Detection Method,Detection Confidence,Enriched Via,Completeness Score,Completeness Detail,Data Quality Flags,Correction Note,Corrections Applied,Source PDF,Source Footnote,Raw Citation (as extracted),Cited By (citekeys),Reviewer: Correct? (Y/N),Reviewer: Notes
burke1989,"Memory -History, Culture and the Mind","Burke, P.","Butler, T.",,1989,1989,,book,,Blackwell,,,,,99--113,Oxford,,,,F2,,,,0.78,"partial (missing: location, isbn)",,,,Artelius 2013 - Inventions of Memory and Meaning Examples of Late Iron Age Reuse of Bronze Age Monuments in South-W.pdf,,"Burke, P. 1989. History as Social Memory, in: Butler, T. (ed.). Memory -History, Culture and the Mind. Oxford: Blackwell, 99-113.",artelius2013,,
bourdieu1996,Symbolsk Makt: Artikler I Utvalg,"Bourdieu, Pierre",,,1996,1996,,book,,Pax Forlag,Oslo,,,,,Oslo,,,,F2,,,,0.89,complete (missing: isbn),,,,Lund 2013 - Fragments of a Conversion Handling Bodies and Objects in Pagan and Christian Scandinavia AD 800–110.pdf,,"Bourdieu, P. 1996. Symbolsk makt: artikler i utvalg. Oslo: Pax Forlag.","lund2013, lund2016",,
taastrom1999,The Diet of Otters (Lutra Lutra L.) in Danish Freshwater Habitats: Comparison of Prey Fish Populations,"Taastrøm, H-M; Jacobsen, L.",,,1999,1999,J Zool,article,,Wiley,,,248,1,1--13,,10.1017/s0952836999005014,,,F2,,,crossref,1.00,complete,,,,Becker and Grupe 2012 - Archaeometry meets archaeozoology Viking Haithabu and medieval Schleswig reconsidered.pdf,,"Taastrøm H-M, Jacobsen L (1999) The diet of otters (Lutra lutra L.) in Danish freshwater habitats: comparison of prey fish populations. J Zool 248:1-13",becker2012,,
loven2010,Uppsala Domkyrka Som Symbol Och Nationellt Projekt,"Lovén, C.","Ronnie, Carlsson; Hans, Göthberg; Göran, Dahlbäck; Christian, Lovén; Herman, Bengtsson",,2010,2010,Uppsala domkyrka II. Domkyrkan i Gamla Uppsala. Nuvarande domkyrkans omgivningar,incollection,,Upplandsmuseet,,,,,7--10,Uppsala,,,,F2,,,,0.92,complete (missing: location),,,,Ljungkvist and Frölund 2015 - Gamla Uppsala The Emergence of a Centre and a Magnate Complex.pdf,,"Lovén, C., 2010. Uppsala domkyrka som symbol och nationellt projekt», In: Carlsson Ronnie, Göthberg Hans, Dahlbäck Göran, Lovén Christian & Bengtsson Herman (eds). Uppsala domkyrka II. Domkyrkan i Gamla Uppsala. Nuvarande domkyrkans omgivningar. Uppsala: Upplandsmuseet. Pp. 7-10.",ljungkvist2015,,
jensen2013,"En antologi om järn, skog och kulturarv. (Skrifter från Bergslagens medeltidsmuseum 1.) Norberg: Norbergs kommun","Jensen, Kurt Villads","Nordeide, Sæbjørg Walaker; Brink, Stefan ;",,2013,2013,Sacred sites and holy places,incollection,,Brepols,,,,,215--236,Turnhout,10.1484/m.sem.1.101570,,,F2,,,crossref,0.92,complete (missing: location),,,,Kristjánsdóttir 2015 - Becoming Christian A Matter of Everyday Resistance and Negotiation.pdf,,"Jensen, K.V., 2013. Crusading and Christian pene- tration into the landscape: the New Jerusalem in the desert after c. 1100. In: S.W. Nordeide and S. Brink. eds. Sacred sites and holy places. Turnhout: Brepols, 215-236.","kristjansdottir2015, NOAUTHOR28, zachrissonnd",,
wallerstrom1997,On Ethnicity as a Methodological Problem in Historical Archaeology: A Northern Fennoscandian Perspective,"Wallerström, Thomas","Andersson, H.; Carelli, P.; Ersgård, L.",,1997,1997,Visions of the Past: Trends and Traditions in Swedish Medieval Archaeology,incollection,,Riksantikvarieämbetet,Lund,Lund Studies in Medieval Archaeology 19,19,,299--352,Lund,,,,F2,,,,0.75,"partial (missing: editor, publisher, location)",,Confirmed author.,"title, editor, booktitle, series, publisher, location, pages, author",Bergstøl 2004 - Creoles in Iron Age Norway.pdf,,"Wallerstrém, T. 1997. On ethnicity as a mettiodological problem in historical archaeology. A northern Fennoscandian perspective. In Visions of the Past: Trends and Traditions in Swedish medieval Archaeology (ed. H. Andersson, P. Carelli and L. Ersgard). Lund Studies in medieval Archaeology 19. Lund: Riksantikvarimbete t, pp. 299-352.",bergstol2004,,
johannesson1974,"A History of the Old Icelandic Commonwealth: Íslendinga Saga, trans Haraldur Bessason","Jóhannesson, J.",,,1974,1974,,book,,University of Manitoba Press,Winnipeg,,,,,,,,,F2,,,,0.89,complete (missing: isbn),,,,"Hartman et al  2017 - Medieval Iceland, Greenland, and the New Human Condition A Case Study in Integrated Environmental H.pdf",,"Jóhannesson, J., 1974. A History of the Old Icelandic Commonwealth. Íslendingasaga. Bessason, H. (Trans.). University of Manitoba Press, Winnipeg.","hartman2017, milek2012",,
andreuhayles2011,Varying boreal forest response to Arctic environmental change at the Firth River,"Andreu-Hayles, Laia; D'arrigo, Rosanne D.; Anchukaitis, Kevin J.; Beck, Pieter S A; Frank, David C.; Verstege, Anne; Goetz, Scott",,,2011,2011,Alaska. Environ. Res. Lett,article,,IOP Publishing,,,6,4,45503,,10.1088/1748-9326/6/4/045503,http://dx.doi.org/10.1088/1748-9326/6/4/045503,,F2,,,crossref,1.00,complete,,,,"Anchukaitis et al  2017 - Last Millennium Northern Hemisphere Summer Temperatures from Tree Rings Part II, Spatially Resolved.pdf",,"Andreu-Hayles, L., D'Arrigo, R.D., Anchukaitis, K.J., Beck, P., Frank, D., Verstege, A., Goetz, S., 2011. Varying boreal forest response to Arctic environmental change at the Firth River, Alaska. Environ. Res. Lett. 6, 045503. http://dx.doi.org/ 10.1088/1748-9326/6/4/045503.",anchukaitis2017,,
maldre2018,Birds of prey from Vendel Age ship burials of Salme (c. 750 AD) and in Estonian archaeological material,"Maldre, Liina; Tomek, Teresa; Peets, Jüri","Gersmann, Karl-Heinz; Grimm, Oliver",,2018,2018,Raptor and Human -Falconry and Bird Symbolism throughout Tthe Millennia on a Global Scale,incollection,,Wachholtz Murmannpp,,,,,1229--1250,Kiel,,,,F2,,,,0.92,complete (missing: location),,,,"Price et al  2020 - Human Remains, Context, and Place of Origin for the Salme, Estonia, Boat Burials.pdf",,"Maldre, L., Tomek, T., Peets, J., 2018. Birds of prey from Vendel Age ship burials of Salme (c. 750 AD) and in Estonian archaeological material. In: Raptor and Human - Falconry and Bird Symbolism throughout Tthe Millennia on a Global Scale, Karl- Heinz Gersmann and Oliver Grimm (Eds.), Wachholtz Murmannpp, Kiel, 1229-1250.",price2020,,
engeler1991,Altnordische Geldwörter,"Engeler, S.",,,1991,1991,,article,,Peter Lang,Frankfurt,Germanistische Arbeiten zu Sprache und Kulturgeschichte,16,,,,,,,F2,,,,0.58,"partial (missing: journaltitle, number, pages, doi)",,,,Skre 2017 - Monetary Practices in Early Medieval Western Scandinavia (5th–10th Centuries AD).pdf,,"Engeler, S 1991, Altnordische Geldwörter, Germanistische Arbeiten zu Sprache und Kulturgeschichte 16, Frankfurt: Peter Lang.",skre2017,,
