citekey,title,year,generation,entry_type,first_author,doi,completeness,in_degree,out_degree,is_ghost
barndon2005,"Randi 2005a Håndverk, kunst og kunnskap -noen komparative perspektiver på smedens sosiale identitet i jernalderen. I Fra funn til samfunn. Jernalderstudier tilegnet Bergljot Solberg på 70-årsdagen, redigert av Knut Andreas Bergsvik og Asbjørn Engevik, s",2005,F1,article,Barndon Randi,,0.833,5,0,False
barrett2008,Detecting the Medieval Cod Trade: A New Method and First Results,2008,F1,article,Barrett James H.,10.1017/S0003598X00097301,1.0,24,109,False
barrett2010,Rounding up the usual suspects: Causation and the Viking Age diaspora,2010,F1,article,Barrett James H.,,0.889,9,145,False
ed2012,"Being an Islander: Production and Identity at Quoygrew, Orkney, AD 900-1600",2012,F1,book,Barrett James H.,,0.889,5,0,False
barth1969,Ethnic Groups and Boundaries: The Social Organization of Culture Difference,1969,F1,book,Barth F.,,0.889,6,0,False
e2014,Vers l'Orient et vers l'Occident: Regards croisés sur les dynamiques et les transferts culturels des Vikings à la Rous ancienne,2014,F1,book,Klejn L. S.,,0.889,2,0,False
baug2015,"Stones for bread: regional differences and changes in scandinavian food traditions related to the use of quernstones, bakestones and soapstone vessels c. ad 800-1500",2015,F1,article,Baug Irene,,0.889,6,55,False
baug2017,Soapstone vessels and quernstones as commodities in the Viking Age and Middle Ages,2017,F1,incollection,Baug Irene,10.4324/9781315548197-8,0.917,2,46,False
baug2019,The beginning of the Viking Age in the West,2019,F1,article,Baug Irene,10.1007/s11457-018-9221-3,1.0,8,111,False
beck2017,Temporalising the House: Exploring Alternative Perspectives on Time and the Archaeological Record Within Danish Settlement Archaeology,2017,F1,article,Beck Anna Severine,10.1080/21662282.2017.1400281,1.0,2,80,False
beck2018,Revisiting the Trelleborg House: A Discussion of House Types and Assemblages,2018,F1,article,Beck Anna Severine,10.1080/00293652.2018.1503324,1.0,1,104,False
becker2012,Archaeometry Meets Archaeozoology: Viking Haithabu and Medieval Schleswig Reconsidered. Archaeological and Anthropological Sciences,2012,F1,article,Becker Cornelia,10.1007/s12520-012-0098-z,1.0,4,59,False
becket2013,A stranger in the dunes? Rescue excavation of a Viking Age burial at Cnoc nan Gall,2013,F1,article,Becket A.,,0.667,1,26,False
benderjorgensen2009,"The introduction of sails to Scandinavia: Raw materials, labour and land",2009,F1,incollection,Bender Jørgensen L.,,0.917,2,36,False
bergstol2004,Kulturhistorier i sentrum: Historisk museum 100 år. Oslo: Kulturhistorisk museum,2004,F1,article,Bergstøl Jostein,,0.917,4,31,False
bergstol2008,Samer i østerdalen?: en studie av etnisitet i jernalderen og middelalderen i det nordøstre hedmark. upublisert doktorgradsavhandling i arkeologi,2008,F1,article,Bergstøl Jostein,,0.889,9,0,False
beroniusjorpeland2018,At Upsalum -Människor och landskapande,2018,F1,book,Beronius Jörpeland L.,,0.889,1,0,False
bhabha1994,The Location of Culture,1994,F1,book,Bhabha K.,,0.889,5,0,False
bill2016,Protecting Against the Dead? on the Possible Use of Apotropaic Magic in the Oseberg Burial,2016,F1,article,Bill Jan,10.1017/s0959774315000438,1.0,4,52,False
bill2017,Skipsgrav eller skipsgraver på Rolvsøy? Om Tuneskipets utgravningshistorie,2017,F1,article,Bill Jan,10.5617/viking.5468,0.917,2,13,False
bill2020,Rulership in 1st to 14th Century Scandinavia: Royal Graves and Sites at Avaldsnes and beyond,2020,F1,book,Bill Jan,,0.889,1,0,False
