name,betweenness,closeness,pagerank,hub,authority,in_degree,title,year,generation,entry_type,cluster_kmeans.x,component_weak,component_strong,community_leiden,cluster_kmeans.y
Gamla Uppsala. Hävd Och Hembygd,0,0.3533834586466165,2.963702268300952e-5,7.290778654826252e-17,1.3642122688542955e-5,1,NA,NA,NA,NA,4,1,14254,48,4
Vattenståndet vid Birka på 900-talet,0,NA,2.2762090500174994e-5,1.468802578454689e-4,0,0,NA,NA,NA,NA,6,1,3404,58,6
Gamla Uppsala fornminnen,0,0.20258767449778686,4.810272112966656e-5,7.290778654826252e-17,4.49139404167848e-6,1,NA,NA,NA,NA,4,1,20372,31,4
lindqvist1931,0,0.52,2.877966520512045e-5,7.290778654826252e-17,4.182107836199364e-6,1,,1931,F2,article,5,1,10543,12,5
En förnäm kvinnas grav på Valsgärde gravbacke. Excavationes et studia. Opuscula in honorem Alfred Hackman 14,0,0.21465968586387435,2.8757642920980494e-5,7.290778654826252e-17,1.6408292370498446e-10,1,NA,NA,NA,NA,4,1,17581,40,4
Uppsala högar och Ottarshögen,6.394767021029567e-7,0.5357142857142857,2.8202077510336066e-5,1.1339445519276225e-5,1.142024237309529e-6,2,NA,NA,NA,NA,5,1,13104,33,5
Uppsala högar och Ottarshögen. Arkeologiska monografier 23,0,NA,2.2762090500174994e-5,6.212415091945379e-5,0,0,NA,NA,NA,NA,6,1,3403,18,6
"Uppsala högar och ottarshögen. stockholm: kungl. vitterhets, historie och antikvitets akademien",0,NA,2.2762090500174994e-5,1.0466197134494661e-4,0,0,NA,NA,NA,NA,6,1,3402,7,6
Stora Hammars I in Lärbo. Lindqvist,0,0.19391025641025642,2.5552709187577016e-5,7.290778654826252e-17,1.08048611556469e-6,1,NA,NA,NA,NA,4,1,19752,38,4
Gotlands Bildsteine I-II,0,NA,2.2762090500174994e-5,1.284202250399244e-4,0,0,NA,NA,NA,NA,6,1,3401,43,6
lindqvist1941b,0,NA,2.2762090500174994e-5,2.9156760463065583e-4,0,0,,1941,F2,misc,6,1,3400,7,6
lindqvist1941c,0,NA,2.2762090500174994e-5,2.915676046306541e-4,0,0,,1941-2,F2,misc,6,1,3399,7,6
Gotlands Bildsteine,0,NA,2.2762090500174994e-5,6.810505289814154e-5,0,0,NA,NA,NA,NA,6,1,13663,43,5
Gotlands Bildsteine,0,NA,2.2762090500174994e-5,6.810505289814154e-5,0,0,NA,NA,NA,NA,6,1,3398,7,6
A-E,7.571721006319225e-8,0.6,2.3978162395360695e-5,0.0016316513528588728,7.359103718665192e-7,2,NA,NA,NA,NA,5,1,14806,43,5
lindqvist1942,0,0.5454545454545454,2.3440724147439898e-5,7.290778654826252e-17,7.321629159425016e-7,1,,1942,F2,misc,5,1,14805,43,5
Vår svenska guldålder,0,NA,2.2762090500174994e-5,1.133944551927542e-5,0,0,NA,NA,NA,NA,6,1,3397,33,6
lindqvist1948,0,NA,2.2762090500174994e-5,1.5201642119466233e-5,0,0,,1948,F2,article,6,1,3396,43,6
Uppsala högars datering. Fornvännen 44,0,NA,2.2762090500174994e-5,1.1339445519277555e-5,0,0,NA,NA,NA,NA,6,1,3395,33,6
Bildstensfynd Vid Kyrkorestaureringar,0,NA,2.2762090500174994e-5,1.5201642119467169e-5,0,0,NA,NA,NA,NA,6,1,3394,43,6
Jättestenen från sanda och andra nyfunna bildstenar,0,NA,2.2762090500174994e-5,1.2842022503992286e-4,0,0,NA,NA,NA,NA,6,1,3393,43,6
lindqvist1970,0,NA,2.2762090500174994e-5,1.520164211946676e-5,0,0,,1970,F2,article,6,1,3392,43,6
Vadstenaområdets historia fram till år 1250,0,NA,2.2762090500174994e-5,9.476552792888174e-5,0,0,NA,NA,NA,NA,6,1,3391,58,6
Barn på vikingatiden,0,NA,2.2762090500174994e-5,0.0015961302623594068,0,0,NA,NA,NA,NA,6,1,3390,59,6
Återkomst och återbruk. kulten av det förflutna under den yngsta järnåldern,0,0.22532188841201717,2.9117630676821703e-5,7.290778654826252e-17,3.9248320251363695e-6,2,NA,NA,NA,NA,4,1,17113,7,4
Återkomst och återbruk: kulten av det förlutna under den yngsta järnåldern,0,0.25190839694656486,2.8793328098818974e-5,7.290778654826252e-17,1.771428504482489e-6,1,NA,NA,NA,NA,4,1,17089,7,4
lindqvistnd,0,0.19391025641025642,2.5552709187577016e-5,7.290778654826252e-17,1.08048611556469e-6,1,,,F2,article,4,1,19751,38,4
lindqvistnda,0,NA,2.2762090500174994e-5,9.471192603779549e-5,0,0,,,F2,article,6,1,3389,43,6
lindqvistndb,0,1,2.329952874809579e-5,7.290778654826252e-17,3.747455924017639e-9,1,,,F2,article,5,1,13646,43,5
Sveriges geologi från urtid till nutid,0,0.19159770846594526,2.6765965342317004e-5,7.290778654826252e-17,3.33074736342547e-6,1,NA,NA,NA,NA,4,1,17449,34,4
Glacial ice-flows on the islands of Bornholm and Christianse,0,NA,2.2762090500174994e-5,3.345550783693175e-5,0,0,NA,NA,NA,NA,6,1,3388,34,6
"Senvilingatida runstenar i Skandinavien, Kristna eller arvsrä ttsliga dokument? En jämförelse mellan Södern&anland och Skåne. Duplicated seminar paper",0,0.5294117647058824,2.3706019740372395e-5,7.290778654826252e-17,3.795048810454537e-6,1,NA,NA,NA,NA,5,1,14994,32,5
Figure it out! Psychological perspectives on perception of Migriation Period animal art,0,0.2080745341614907,3.317470973478451e-5,7.290778654826252e-17,4.040536705489518e-8,1,NA,NA,NA,NA,4,1,17646,64,4
"Figure It Out!"" Psychological Perspectives on Perception of Migration Period Animal Art",0,NA,2.2762090500174994e-5,2.4972450431719356e-5,0,0,NA,NA,NA,NA,6,1,3387,44,6
"Long Distance Distribution of Battle Axes in Northern Europe: Some Aspects of the Contacts between Denmark, Sweden and Finland 2800-2300 BC",0,0.21565495207667731,2.8522909371490127e-5,7.290778654826252e-17,1.0268467335677027e-6,1,NA,NA,NA,NA,4,1,17492,54,4
Sveriges Geologi Fra ˚n Urtid Till Nutid (Studentlitteratur),0,0.18835616438356165,3.0074051584304486e-5,7.290778654826252e-17,1.200779423761348e-6,1,NA,NA,NA,NA,4,1,19104,34,4
En hink med vikingatida tjära! Available at,0,0.20947176684881602,3.384663982233716e-5,7.290778654826252e-17,9.954153735373569e-7,1,NA,NA,NA,NA,4,1,17877,33,4
Anteckningar om Gotlands medeltid 2,0,NA,2.2762090500174994e-5,1.1390159881028002e-5,0,0,NA,NA,NA,NA,6,1,3386,53,6
linebaughnd,0,NA,2.2762090500174994e-5,5.494930884456362e-5,0,0,,,F2,misc,6,1,3385,13,6
The Application of Geophysical Methods to Archaeological Prospection,0,NA,2.2762090500174994e-5,9.290397459774092e-6,0,0,NA,NA,NA,NA,6,1,3384,41,6
Stepped Frequency Ground-Penetrating Radar Survey with a Multielement Array Antenna: Results From Field Application on Archaeological Sites,0,NA,2.2762090500174994e-5,1.4688025784546994e-4,0,0,NA,NA,NA,NA,6,1,3383,58,6
Moving Metals or Indigenous Mining? Provenancing Scandinavian Bronze Age Artefacts by Lead Isotopes and Trace Elements,1.874296951349762e-7,0.55,2.5060176830734602e-5,1.0714734305188387e-4,5.765157748366929e-5,2,NA,NA,NA,NA,5,1,15408,16,5
Moving Metals II: Provenancing Scandinavian Bronze Age Artefacts by Lead Isotope and Elemental Analyses,0,NA,2.2762090500174994e-5,1.0714734305188518e-4,0,0,NA,NA,NA,NA,6,1,3382,47,6
