name,betweenness,closeness,pagerank,hub,authority,in_degree,title,year,generation,entry_type,cluster_kmeans.x,component_weak,component_strong,community_leiden,cluster_kmeans.y
Birka II: 1. Untersuchungen und Studien,0,NA,2.2762090500174994e-5,1.8558070402198402e-4,0,0,NA,NA,NA,NA,6,1,22811,1,6
"Maal og Vcegt, Nordisk kultur 3o",0,NA,2.2762090500174994e-5,1.0892556604523256e-4,0,0,NA,NA,NA,NA,6,1,22775,2,6
Traditiones Corbeienses,0,NA,2.2762090500174994e-5,0.9424171857515238,0,0,NA,NA,NA,NA,3,1,22774,4,3
Viking Age in Finland? Naming a Period as a Historiographical Problem,0,NA,2.2762090500174994e-5,3.2939205742727364e-5,0,0,NA,NA,NA,NA,6,1,18693,5,6
Omforming og bruk av importerte gjenstander i vikingtid (Transformations. The use and reuse of imported objects in Viking Age eastern Norway),0,NA,2.2762090500174994e-5,3.9680713096475735e-5,0,0,NA,NA,NA,NA,6,1,18681,9,6
Omforming og bruk av importerte gjenstander i vikingtid (unpubl phd thesis,0,NA,2.2762090500174994e-5,3.863758574005581e-5,0,0,NA,NA,NA,NA,6,1,18512,10,6
Omforming og bruk av importe gjenstander i vikingetid,0,NA,2.2762090500174994e-5,1.0466197134494528e-4,0,0,NA,NA,NA,NA,6,1,18511,7,6
Gjenstander over grenser -potensialet i studiet av importerte og ikke-lokale gjenstnader i vikingtid,0,NA,2.2762090500174994e-5,0.001481809340663947,0,0,NA,NA,NA,NA,6,1,18510,14,6
Kvinner og båtbegravelser i vikingtiden,0,NA,2.2762090500174994e-5,5.4125763057508206e-5,0,0,NA,NA,NA,NA,6,1,18509,3,6
"Charisma, violence and weapons: The broken swords of the Vikings",0,NA,2.6518940388553387e-5,4.369604475840493e-4,5.659669005233694e-7,1,NA,NA,NA,NA,6,1,18305,5,6
aarhusnd,0,NA,2.2762090500174994e-5,7.185722363718772e-5,0,0,,,F2,misc,6,1,17898,16,6
aarhusnda,0,NA,2.2762090500174994e-5,0.0013613583660357328,0,0,,,F2,misc,6,1,17897,17,6
Danmarks forhistoriske dyreverden: fra istid til vikingetid,0,NA,2.2762090500174994e-5,7.104045186070627e-6,0,0,NA,NA,NA,NA,6,1,15382,16,6
aarissorensen1998,0,NA,2.2762090500174994e-5,2.5557151199670486e-9,0,0,,1998,F2,article,6,1,15327,19,6
Fra istid til nutid : Late and Post Glacial Mammals in Denmark,0,NA,2.2762090500174994e-5,7.104045186077798e-6,0,0,NA,NA,NA,NA,6,1,15326,16,6
"Kystsamenes besetting I rikspolitisk sammenheng. OTTAR, Tidsskrift for nordnorsk natur og kultur",0,NA,2.2762090500174994e-5,9.35622636146302e-6,0,0,NA,NA,NA,NA,6,1,15325,20,6
Bronsnycklar och djurornamentik vid övergången från vendeltid til vikingatid,0,NA,2.2762090500174994e-5,0.0025275457385834804,0,0,NA,NA,NA,NA,6,1,15324,22,6
Detektorfund -mangler og muligheder. et metodisk studie af vikingetidens detektorfund på bornholm,0,NA,2.2762090500174994e-5,1.494184003351312e-4,0,0,NA,NA,NA,NA,6,1,15323,23,6
"Detektorﬔnd -mangler og muligheder, et metodisk studie af vikingetidens detektorﬔnd på bornholm",0,NA,2.2762090500174994e-5,0,0,0,NA,NA,NA,NA,6,1,15283,25,6
Velstandens Ø. Skalk,0,NA,2.2762090500174994e-5,0,0,0,NA,NA,NA,NA,6,1,15282,25,6
aarsleff2009,0,NA,2.2762090500174994e-5,0,0,0,,2009,F2,misc,6,1,15281,25,6
Viking Age Finds,0,NA,2.2762090500174994e-5,0,0,0,NA,NA,NA,NA,6,1,15280,25,6
"Coins, Money and Exchange in the Roman World. a Cultural-Economic Perspective",0,NA,2.2762090500174994e-5,1.5982660036143086e-6,0,0,NA,NA,NA,NA,6,1,15279,15,6
Tribal emission or imperial coinage? Ideas about the production and circulation of the so-called AVAVCIA coinages in the Rhineland,0,NA,2.2762090500174994e-5,1.5982660036149534e-6,0,0,NA,NA,NA,NA,6,1,15278,15,6
"Esben Aarsleff, Decector finds ftom the Viking Age on Bornholm ~ a new perspective",0,NA,2.2762090500174994e-5,3.1194413499162213e-6,0,0,NA,NA,NA,NA,6,1,15050,26,6
abbnd,0,NA,2.2762090500174994e-5,1.955905215770696e-5,0,0,,,F2,misc,6,1,15049,27,6
"Pottery from a watching brief at Kirkgate Co-op (unpubl rep, Trent and Peak Archaeological Unit",0,NA,2.2762090500174994e-5,1.0481145126533319e-4,0,0,NA,NA,NA,NA,6,1,15048,28,6
"Alfred the Great: War, Kingship, and Culture in Anglo-Saxon England",0,NA,2.2762090500174994e-5,1.1906743337057016e-4,0,0,NA,NA,NA,NA,6,1,15047,29,6
Lordship and Military Obligation in Anglo-Saxon England,0,NA,2.2762090500174994e-5,0.0013584809361698526,0,0,NA,NA,NA,NA,6,1,15046,30,6
Alfred the Great: Papers From the Eleventh-Centenary Conferences,0,NA,2.2762090500174994e-5,0.002574144930113684,0,0,NA,NA,NA,NA,6,1,15045,29,6
Stil III och Jcllingestil. Fonivännen,0,NA,2.2762090500174994e-5,4.952477837810143e-6,0,0,NA,NA,NA,NA,6,1,14931,32,6
Possible Runes on Stones from Sweden,0,NA,2.2762090500174994e-5,4.952477837805956e-6,0,0,NA,NA,NA,NA,6,1,14930,32,6
Kalmar läns förhistoria. Södra Kalmar län I,0,NA,2.2762090500174994e-5,0.002883050571355895,0,0,NA,NA,NA,NA,6,1,14929,22,6
Den Nordiska Folkvandringstidens Kronologi,0,NA,2.2762090500174994e-5,3.989348523560889e-15,0,0,NA,NA,NA,NA,6,1,14899,10,6
"Adamsen 1995. Christian Adamsen, Sravns Fjord { jernalder og vikingetid",0,NA,2.2762090500174994e-5,3.119441349914345e-6,0,0,NA,NA,NA,NA,6,1,14898,26,6
Possible Runes on Snakes from the Viking Age,0,NA,2.2762090500174994e-5,4.962101748250653e-6,0,0,NA,NA,NA,NA,6,1,14761,32,6
Uppsala högars datering. Fornvännen 42,0,NA,2.2762090500174994e-5,1.133944551927078e-5,0,0,NA,NA,NA,NA,6,1,14760,33,6
aberg1953,0,NA,2.2762090500174994e-5,1.1339445519271654e-5,0,0,,1953,F2,incollection,6,1,14759,33,6
"Variations in 87 Sr/ 86 Sr in water from streams discharging into the Bothnian, Bay, Baltic sea",0,NA,2.2762090500174994e-5,6.930485492340518e-7,0,0,NA,NA,NA,NA,6,1,14678,34,6
Variations of 87 Sr/ 86 Srin water from streams discharging into the Bothnian Bay,0,NA,2.2762090500174994e-5,3.3455507836931304e-5,0,0,NA,NA,NA,NA,6,1,14677,34,6
Variations of 87Sr/86Sr in water from streams discharging into the Bothnian Bay,0,NA,2.2762090500174994e-5,1.7036445060663425e-4,0,0,NA,NA,NA,NA,6,1,14676,34,6
Strontium isotopes in trees as an indicator for calcium availability,0,NA,2.2762090500174994e-5,3.71095540249289e-4,0,0,NA,NA,NA,NA,6,1,14675,34,6
aberg1995,0,NA,2.2762090500174994e-5,6.930485492334137e-7,0,0,,1995,F2,article,6,1,14674,34,6
The Use of Natural Strontium Isotopes as Tracers in Environmental Studies,0,NA,2.2762090500174994e-5,2.4107557948187293e-4,0,0,NA,NA,NA,NA,6,1,14673,34,6
Överfångsgjutning på silver och järn -experimentell metodstudie,0,NA,2.2762090500174994e-5,6.150373118376675e-7,0,0,NA,NA,NA,NA,6,1,14592,22,6
"Man, nutrition, and mobility: a comparison of teeth and bone from the Medieval Era and the present from Pb and Sr isotopes",0,NA,2.2762090500174994e-5,1.298874256220707e-4,0,0,NA,NA,NA,NA,6,1,14591,34,6
abhandlungnd,0,NA,2.2762090500174994e-5,7.18572236371852e-5,0,0,,,F2,misc,6,1,14590,16,6
abmap2003,0,NA,2.2762090500174994e-5,9.105742582826759e-6,0,0,,2003-04,F2,article,6,1,14589,36,6
Archaeological Watching Brief/excavation,0,NA,2.2762090500174994e-5,2.634127009969984e-6,0,0,NA,NA,NA,NA,6,1,14588,34,6
Edward the Elder's Danelaw,0,NA,2.2762090500174994e-5,9.256264235851867e-5,0,0,NA,NA,NA,NA,6,1,14587,29,6
The Conversion of the Danelaw,0,NA,2.2762090500174994e-5,6.616999510167693e-5,0,0,NA,NA,NA,NA,6,1,14586,37,6
Place-Names and the History of Scandinavian Settlement in England,0,NA,2.2762090500174994e-5,3.132810799704113e-4,0,0,NA,NA,NA,NA,6,1,14521,29,6
Danish Viking Settlement in England: Linguistic and Archaeological Evidence,0,NA,2.2762090500174994e-5,1.9383123920859474e-4,0,0,NA,NA,NA,NA,6,1,14520,29,6
"Scandinavian Place-names and Settlement History: Flegg, Norfolk, and East Anglia in the Viking Age",0,NA,2.2762090500174994e-5,9.256264235851868e-5,0,0,NA,NA,NA,NA,6,1,14519,29,6
Diaspora and identity in the Viking Age,7.595103951391354e-6,1,2.7599034731462177e-5,0.0020801122677814032,4.0577293167688934e-7,1,NA,NA,NA,NA,5,1,14522,29,5
Diaspora and identity in the Viking Age. Early Medieval Europe,0,NA,2.2762090500174994e-5,3.4842019756635553e-4,0,0,NA,NA,NA,NA,6,1,14518,38,6
Place-Names,0,0.6666666666666666,2.3544063150899752e-5,7.290778654826252e-17,2.6942362848175557e-6,1,NA,NA,NA,NA,5,1,14585,29,5
Where There's Muck There's Brass!' Coinage in the Northumbrian Landscape and Economy,0,NA,2.2762090500174994e-5,1.7239397910677278e-4,0,0,NA,NA,NA,NA,6,1,14517,29,6
And the villa became a monastery: Sulpicius Severus' community of Primulacrum,0,NA,2.2762090500174994e-5,3.722246983800539e-15,0,0,NA,NA,NA,NA,6,1,14402,24,6
Before European Hegemony: The World System A.D. 1250-1350,0,NA,2.2762090500174994e-5,1.3128257824637234e-5,0,0,NA,NA,NA,NA,6,1,14401,20,6
The molecular dissection of mtDNA haplogroup H confirms that the Franco-Cantabrian glacial refuge was a major source for the European gene pool,0,NA,2.2762090500174994e-5,2.1817165854571587e-5,0,0,NA,NA,NA,NA,6,1,14400,34,6
Skrivet och sagt,0,NA,2.2762090500174994e-5,0.0014350456561126798,0,0,NA,NA,NA,NA,6,1,14399,39,6
The inged-an ob ect fro pp kra accords ell ith the version of the th recorded in þiðreks saga (ch. 73 133),0,NA,2.2762090500174994e-5,0.001435045656112679,0,0,NA,NA,NA,NA,6,1,14398,39,6
"Fragments of Danish History"" (Skjoldunga saga)",0,NA,2.2762090500174994e-5,2.5094056158613205e-5,0,0,NA,NA,NA,NA,6,1,14397,40,6
Airborne Laser Scanning: Present Status and Future Expectations,0,NA,2.2762090500174994e-5,1.1059466632587353e-5,0,0,NA,NA,NA,NA,6,1,14396,41,6
Heimskringla,0,NA,2.2762090500174994e-5,6.36720770441232e-5,0,0,NA,NA,NA,NA,6,1,14395,42,6
Heimskringla,0,NA,2.2762090500174994e-5,6.36720770441232e-5,0,0,NA,NA,NA,NA,6,1,903,39,6
"Heimskringla, vol. 1",0,NA,2.2762090500174994e-5,0.0018311547293058074,0,0,NA,NA,NA,NA,6,1,14394,43,6
Importance of Sheep in Early Icelandic Agriculture,0,NA,2.2762090500174994e-5,1.1382996013614025e-5,0,0,NA,NA,NA,NA,6,1,14330,20,6
Blót í norraenum sið,0,NA,2.2762090500174994e-5,9.105742582825958e-6,0,0,NA,NA,NA,NA,6,1,14329,36,6
Kristnitakan á Íslandi,0,NA,2.2762090500174994e-5,1.7208207134921677e-5,0,0,NA,NA,NA,NA,6,1,14328,36,6
Gesta Hammaburgensis ecclesiae pontificum,0,NA,2.2762090500174994e-5,1.0270641436974643e-4,0,0,NA,NA,NA,NA,6,1,14327,20,6
Oseberg Burial and Viking Ship Interpretaion,0,NA,2.2762090500174994e-5,2.5094056158604812e-5,0,0,NA,NA,NA,NA,6,1,14326,40,6
Histoi. ieli oi&1 Hill»bu& gstiftet och dess biskopar. Översatt av Emanuel Svenberg,0,NA,2.2762090500174994e-5,4.952477837812321e-6,0,0,NA,NA,NA,NA,6,1,14325,32,6
Supply-Side Sustainability,0,NA,2.2762090500174994e-5,9.373929111777162e-5,0,0,NA,NA,NA,NA,6,1,14324,21,6
Archaeological Typology and Practical Reality. a Dialectic Approach to Artifact Classification and Sorting,0,NA,2.2762090500174994e-5,0.001161112510916349,0,0,NA,NA,NA,NA,6,1,14072,12,6
Archaeological Typology and Practical Reality,0,NA,2.2762090500174994e-5,9.88973364294031e-5,0,0,NA,NA,NA,NA,6,1,14071,44,6
Stratigraphy after Harris: some questions,0,NA,2.2762090500174994e-5,3.805450663064734e-5,0,0,NA,NA,NA,NA,6,1,14070,45,6
"Scandinavia and Europe 800-1350: Contact, Conflict, and Coexistence. Medieval Texts and Cultures of Northern Europe",0,NA,2.2762090500174994e-5,1.1479656531116443e-4,0,0,NA,NA,NA,NA,6,1,14069,16,6
"An Ethnoarchaeological Study of Feasting in Sulawesi, Indonesia",0,NA,2.2762090500174994e-5,0.0016122084839338678,0,0,NA,NA,NA,NA,6,1,14068,14,6
Kuriosum,0,NA,2.2762090500174994e-5,3.1194413499149804e-6,0,0,NA,NA,NA,NA,6,1,14067,26,6
Kuriosum,0,NA,2.2762090500174994e-5,3.1194413499149804e-6,0,0,NA,NA,NA,NA,6,1,14066,26,6
Kuriosum,0,NA,2.2762090500174994e-5,3.1194413499147487e-6,0,0,NA,NA,NA,NA,6,1,14067,26,6
Kuriosum,0,NA,2.2762090500174994e-5,3.1194413499147487e-6,0,0,NA,NA,NA,NA,6,1,14066,26,6
"Ny Vej, Ny Viden -Arkaeologi Forud for Motorvejen",0,NA,2.2762090500174994e-5,0.0017675838885539191,0,0,NA,NA,NA,NA,6,1,14065,42,6
adamsen2004,0,NA,2.2762090500174994e-5,1.046619713449476e-4,0,0,,2004,F2,article,6,1,14064,7,6
"Sorte Muld. Wealth, Power and Religion",0,NA,2.2762090500174994e-5,1.2092354406060782e-5,0,0,NA,NA,NA,NA,6,1,14063,38,6
adamsen2009a,0,NA,2.2762090500174994e-5,0,0,0,,2009,F2,misc,6,1,14062,25,6
"Sorte Muld, Wealth, Power and Religion at an Iron Age Central Settlement on Bornholm",0,NA,2.2762090500174994e-5,0,0,0,NA,NA,NA,NA,6,1,14061,25,6
"2009: Sorte muld. Wealth, power and religion at an Iron Age central settlement on Bornholm",0,NA,2.2762090500174994e-5,1.1417729812942898e-4,0,0,NA,NA,NA,NA,6,1,14060,46,6
"Thugs, Crooks, and Rebellious Negroes: Racist and Racialized Media Coverage of Michael Brown and the Ferguson Demonstrations",0,NA,2.2762090500174994e-5,2.0955616955734218e-6,0,0,NA,NA,NA,NA,6,1,13864,47,6
Re-Thinking the Present: The Role of a Historical Focus in Climate Change Adaptation Research,0,NA,2.2762090500174994e-5,3.993175830213251e-15,0,0,NA,NA,NA,NA,6,1,13773,21,6
The Theory of Interlace and Interlace Types in Anglian Sculpture,0,NA,2.2762090500174994e-5,9.62391044353952e-9,0,0,NA,NA,NA,NA,6,1,13772,43,6
Early Norse home-field productivity in the Faroe Islands,0,NA,2.2762090500174994e-5,1.9961489903767423e-5,0,0,NA,NA,NA,NA,6,1,13771,20,6
Early-Norse Home-Field Productivity in the Faroe Islands,0,NA,2.2762090500174994e-5,9.356226361462531e-6,0,0,NA,NA,NA,NA,6,1,13770,20,6
Soils and palaeo-climate based evidence for irrigation requirements in norse greenland,0,NA,2.2762090500174994e-5,5.141873402013727e-5,0,0,NA,NA,NA,NA,6,1,13769,20,6
Anthropogenic Features,0,NA,2.2762090500174994e-5,1.011934629583008e-5,0,0,NA,NA,NA,NA,6,1,13719,45,6
The attackers return,0,NA,2.2762090500174994e-5,1.5916092321924174e-4,0,0,NA,NA,NA,NA,6,1,13718,29,6
Before the Portable Antiquities Scheme,0,NA,2.2762090500174994e-5,3.462497674372925e-5,0,0,NA,NA,NA,NA,6,1,13717,38,6
The Routledge Handbook of Mobilities,0,NA,2.2762090500174994e-5,1.0714734305188316e-4,0,0,NA,NA,NA,NA,6,1,13716,47,6
Vulnerability,0,NA,2.2762090500174994e-5,3.991846872490846e-15,0,0,NA,NA,NA,NA,6,1,13715,21,6
"Adapting to Climate Change: Thresholds, Values and Governance",0,NA,2.2762090500174994e-5,1.312825782463258e-5,0,0,NA,NA,NA,NA,6,1,13714,20,6
Are There Social Limits to Adaptation to Climate Change?,0,NA,2.2762090500174994e-5,1.8328986291750133e-5,0,0,NA,NA,NA,NA,6,1,13713,20,6
Cultural Dimensions of Climate Change Impacts and Adaptation,0,NA,2.2762090500174994e-5,1.8328986291751654e-5,0,0,NA,NA,NA,NA,6,1,13712,20,6
Secklow Hundred Mound and Other Meeting-Place Mounds in England,0,NA,2.2762090500174994e-5,2.10494948849127e-5,0,0,NA,NA,NA,NA,6,1,13711,30,6
Maktforholdene på tingene i Norge ca,0,NA,2.2762090500174994e-5,8.978203214929404e-5,0,0,NA,NA,NA,NA,6,1,13710,30,6
Den starka kvinnan. Fran völva till häxa (=Musei Arkeologi 6),0,NA,2.2762090500174994e-5,8.50488844891961e-5,0,0,NA,NA,NA,NA,6,1,13709,6,6
Den starka kvinnan: firàn völva tiühäxa,0,NA,2.2762090500174994e-5,2.7168456552694887e-6,0,0,NA,NA,NA,NA,6,1,13708,6,6
Den starke kvinnen : fra volve til heks,0,NA,2.2762090500174994e-5,2.716845655266755e-6,0,0,NA,NA,NA,NA,6,1,13707,6,6
Nationale symboler i det danske rige,0,NA,2.2762090500174994e-5,1.2092354406061402e-5,0,0,NA,NA,NA,NA,6,1,13706,38,6
"Knytlinge Saga. Knud den Store, Knud den Hellige deres maend, deres slaegt",0,NA,2.2762090500174994e-5,0.0031995455668934083,0,0,NA,NA,NA,NA,6,1,13705,48,6
The chronicle of AEthelweard,0,NA,2.2762090500174994e-5,2.509405615860715e-5,0,0,NA,NA,NA,NA,6,1,13704,40,6
"History of Kilsaran Union of Parishes in the County of Louth, Being a History of the Parishes of Kilsaran, Gernonstown, Stabannon, Manfieldstown and Dromiskin, with Many Particulars Relating to the Parishes of Richardstown, Dromin and Darver, Comprising a Large Section of Mid-Louth",0,NA,2.2762090500174994e-5,0.0012548892152992848,0,0,NA,NA,NA,NA,6,1,13703,49,6
"Glacier Dynamics, Palaeohydrological Changes and Seismicity in Southeastern Altai (Russia) and Their Influence on Human Occupation During the Last 3000 Years",0,NA,2.2762090500174994e-5,6.730686351760797e-8,0,0,NA,NA,NA,NA,6,1,13679,50,6
ager1975,0,NA,2.2762090500174994e-5,2.2653210275328195e-4,0,0,,1975,F2,article,6,1,13678,16,6
"The hoard: a closely associated group of Viking period and late Saxon finds' in Hall and Williams, Riverine site near York. A higher proportion of Viking hoards from Ireland contain no coins and cannot be precisely dated. The weights",0,NA,2.2762090500174994e-5,0.00257414493011368,0,0,NA,NA,NA,NA,6,1,13677,29,6
The Halton Moor Gold Discs,0,NA,2.2762090500174994e-5,1.4919372257392566e-8,0,0,NA,NA,NA,NA,6,1,13676,29,6
North Yorkshire area: Closely associated group of Viking-period and Late Saxon objects and coins,0,NA,2.2762090500174994e-5,1.5554401751533405e-5,0,0,NA,NA,NA,NA,6,1,13675,29,6
Þraelahald á þjóðveldisöld,0,NA,2.2762090500174994e-5,3.974598927868098e-5,0,0,NA,NA,NA,NA,6,1,13674,51,6
agnarsdottir1983a,0,NA,2.2762090500174994e-5,3.9745989278680696e-5,0,0,,1983,F2,misc,6,1,13673,51,6
Postglacial Land Uplift Model and System Definition for the New Swedish Height System RH 2000,0,NA,2.2762090500174994e-5,1.105946663258853e-5,0,0,NA,NA,NA,NA,6,1,13672,41,6
agthe1951,0,NA,2.2762090500174994e-5,0.942417185751524,0,0,,1951,F2,misc,3,1,13671,4,3
A Review of Old Basque Whaling and its Effect on the Right Whales (Eubalaena glacialis) of the North Atlantic,0,NA,2.2762090500174994e-5,6.293895438090163e-5,0,0,NA,NA,NA,NA,6,1,13670,16,6
Den islandske bondegårds udvikling fra landnamstidan indtil det 20. århundredene,0,NA,2.2762090500174994e-5,1.7208207134919157e-5,0,0,NA,NA,NA,NA,6,1,13669,36,6
Arctic Human Development Report,0,NA,2.2762090500174994e-5,1.3128257824629492e-5,0,0,NA,NA,NA,NA,6,1,13668,20,6
Arctic Human Development Report. Regional Processes and Global Linkages,0,NA,2.2762090500174994e-5,1.3128257824634816e-5,0,0,NA,NA,NA,NA,6,1,13667,20,6
Work and Worship. Laser Scanner Analysis of Viking Age Rune Stones (Theses and papers in archaeology 9,0,NA,2.2762090500174994e-5,9.623910444970053e-9,0,0,NA,NA,NA,NA,6,1,13666,43,6
Runristare i stad och land. huggspårsanalyser av runstenar i och kring sigtuna,0,NA,2.2762090500174994e-5,9.623910443322074e-9,0,0,NA,NA,NA,NA,6,1,13665,43,6
"3D-scanner analyses of the Gotland Picture Stones; Workshops, Iconography and Dating. With supplementary material: Digital catalogue of 3D-data of picture stones",0,NA,2.2762090500174994e-5,2.893261150680098e-6,0,0,NA,NA,NA,NA,6,1,13635,43,6
Picture-stone workshops on Viking Age Gotland: A study of craftworkers' traces,1.6351644176298898e-5,1,9.101674798611639e-5,5.652737552597685e-4,1.0211944403354351e-8,5,NA,NA,NA,NA,5,1,14762,43,5
Tingsplatser i Södermanland och Närke före tillkomsten av 1734 års lagar,0,NA,2.2762090500174994e-5,2.1049494884908584e-5,0,0,NA,NA,NA,NA,6,1,13634,30,6
"Mälardalens bildstenar. trebetygsuppsats framlagt i seminariet för arkeologi, särskilt nordeuropeisk, vid stockholms universitet, den 29",0,NA,2.2762090500174994e-5,1.520164211946647e-5,0,0,NA,NA,NA,NA,6,1,13633,43,6
Konsumtionsrevolutionen. 1. om det moderna konsumtionssamhällets framväxt 1750-1900. västsvensk kultur och samhällsutveckling genom tiderna. rapport 5. göteborg bursell b (1975) träskoadel. en etnologisk undersökning av lancashiresmedernas arbets-och levnadsförhållanden på ramnäs bruk vid tiden kring sekelskiftet 1900,0,NA,2.2762090500174994e-5,1.1728643708661057e-7,0,0,NA,NA,NA,NA,6,1,13630,21,6
Runinskrifter i Hälsinglands runinskrifter,0,NA,2.2762090500174994e-5,0.001520039101529593,0,0,NA,NA,NA,NA,6,1,13629,33,6
Malsta Stone Interpretation,0,NA,2.2762090500174994e-5,0.0015200391015295965,0,0,NA,NA,NA,NA,6,1,13628,33,6
ahlen1997,0,NA,2.2762090500174994e-5,4.952477837810624e-6,0,0,,1997,F2,article,6,1,13627,32,6
Ett runstensfragment från Hitis. Muinaistutkija 1998 (1),0,NA,2.2762090500174994e-5,1.331047471735847e-4,0,0,NA,NA,NA,NA,6,1,13626,54,6
Hällristarnas hem -gårdsbebyggelse och struktur i pryssgården under bronsålder,0,NA,2.2762090500174994e-5,2.1547274216955654e-6,0,0,NA,NA,NA,NA,6,1,13582,33,6
Isotopic proveniencing at the Pitted Ware Culture cemetery at Västergard,0,NA,2.2762090500174994e-5,1.311094484089116e-4,0,0,NA,NA,NA,NA,6,1,13581,34,6
The Scope and Definitions of Heritage: From Tangible to Intangible,0,NA,2.2762090500174994e-5,3.3331302159970435e-5,0,0,NA,NA,NA,NA,6,1,13580,55,6
Historisk inledning,0,NA,2.2762090500174994e-5,5.776222889396992e-5,0,0,NA,NA,NA,NA,6,1,13579,45,6
Kalevalaic Heroic Epic and the Viking Age in Finland,0,NA,2.2762090500174994e-5,3.2939205742731755e-5,0,0,NA,NA,NA,NA,6,1,13578,5,6
ahola2014a,0,NA,2.2762090500174994e-5,3.2939205742729105e-5,0,0,,2014,F2,incollection,6,1,13577,5,6
ahola2014b,0,NA,2.2762090500174994e-5,3.293920574272838e-5,0,0,,2014,F2,incollection,6,1,13576,5,6
Approaching the Viking Age in Finland. An introduction,0,NA,2.2762090500174994e-5,3.293920574272783e-5,0,0,NA,NA,NA,NA,6,1,13575,5,6
Vikings in Finland? Closing Considerations on the Viking Age in Finland,0,NA,2.2762090500174994e-5,3.2939205742731e-5,0,0,NA,NA,NA,NA,6,1,13574,5,6
The Viking Age in Finland,0,NA,2.2762090500174994e-5,2.2460013612452182e-4,0,0,NA,NA,NA,NA,6,1,13573,54,6
Special Economic Zones: Shortcut or Roundabout Way Towards Capitalism? Interecomomics. Review of European Economic Policy,0,NA,2.2762090500174994e-5,2.305775362408418e-5,0,0,NA,NA,NA,NA,6,1,13572,27,6
"C. Ahrens, Die frühen Holzkirchen Europas",0,NA,2.2762090500174994e-5,2.9779601772243026e-5,0,0,NA,NA,NA,NA,6,1,13571,12,6
Die frühen Holzkirchen Europas,0,NA,2.2762090500174994e-5,4.9890664306355034e-5,0,0,NA,NA,NA,NA,6,1,13524,1,6
Vert and Venison-High Status Hunting and Parks in Medieval Sweden,0,NA,2.2762090500174994e-5,8.662700673280095e-6,0,0,NA,NA,NA,NA,6,1,13523,19,6
aiajaloond,0,NA,2.2762090500174994e-5,1.7891432339305695e-4,0,0,,,F2,incollection,6,1,13522,15,6
Arkeologisk förundersökning och undersökning,0,NA,2.2762090500174994e-5,0.0028830505713558978,0,0,NA,NA,NA,NA,6,1,13521,22,6
Sacred and Profane Livelihood: Animal Bones from Sieidi Sites in Northern Finland,0,NA,2.2762090500174994e-5,4.389393947024262e-5,0,0,NA,NA,NA,NA,6,1,13520,37,6
The Sieidi is a Better Altar/the Noaidi Drum's a Purer Church Bell': Long-term Changes and Syncretism at Sámi Offering Sites,0,NA,2.2762090500174994e-5,4.389393947024359e-5,0,0,NA,NA,NA,NA,6,1,13519,37,6
From the proclamation of masterpieces to the Convention for the Safeguarding of ICH,0,NA,2.2762090500174994e-5,3.333130215997011e-5,0,0,NA,NA,NA,NA,6,1,13518,55,6
"Armringe, Armbügel und Fingerringe",0,NA,2.2762090500174994e-5,5.85561832082091e-5,0,0,NA,NA,NA,NA,6,1,13517,54,6
"Birka II:2, Systematische Analysen der Gra ¨berfunde",0,NA,2.2762090500174994e-5,0.001387409971623912,0,0,NA,NA,NA,NA,6,1,13516,5,6
The Borrowing of Place-names in the Uralic Languages,0,NA,2.2762090500174994e-5,1.331047471735835e-4,0,0,NA,NA,NA,NA,6,1,13515,54,6
Karjalaiset Soikeat Kupurasoljet: Katkelma Karjalan Koristelutyylin Kehityshistoriasta. Suomen Muinaismuistoyhdistyksen Aikakauskirja,0,NA,2.2762090500174994e-5,0.002883050571355896,0,0,NA,NA,NA,NA,6,1,13514,22,6
Results of geophysical survey at Scutchmer Knob,0,NA,2.2762090500174994e-5,2.1049494884910932e-5,0,0,NA,NA,NA,NA,6,1,13513,30,6
"Armagh and the Royal Centres in Early Medieval Ireland: Monuments, Cosmology and the Past",0,NA,2.2762090500174994e-5,0.0013584809361698478,0,0,NA,NA,NA,NA,6,1,13512,30,6
Magnetic Dating: Some Archaeomagnetic Measurements in Britain,0,NA,2.2762090500174994e-5,1.0481145126533144e-4,0,0,NA,NA,NA,NA,6,1,13511,28,6
aitken1962a,0,NA,2.2762090500174994e-5,1.0481145126533354e-4,0,0,,1962,F2,misc,6,1,13510,28,6
Magnetic dating III: further archaeomagnetic measurements in Britain,0,NA,2.2762090500174994e-5,1.0481145126533227e-4,0,0,NA,NA,NA,NA,6,1,13509,28,6
aitken1966a,0,NA,2.2762090500174994e-5,1.048114512653349e-4,0,0,,1966,F2,misc,6,1,13508,28,6
Thetford-type ware production in Norwich,0,NA,2.2762090500174994e-5,1.0481145126533173e-4,0,0,NA,NA,NA,NA,6,1,13507,28,6
Science-Based Dating in Archaeology,0,NA,2.2762090500174994e-5,1.6220839153352305e-5,0,0,NA,NA,NA,NA,6,1,13506,29,6
Attitude-Behavior Relations: A Theoretical Analysis and Review of Empirical Research,0,NA,2.2762090500174994e-5,3.462497674372966e-5,0,0,NA,NA,NA,NA,6,1,13505,38,6
akademiennd,0,NA,2.2762090500174994e-5,5.23026171349812e-6,0,0,,,F2,misc,6,1,13480,32,6
akademiens2014,0,NA,2.2762090500174994e-5,4.741065722803439e-5,0,0,,2014-08,F2,misc,6,1,13437,15,6
