Timestamp,ID,cite_key,Authors' Genders [Author 1],Authors' Genders [Author 2],Authors' Genders [Author 3],Authors' Genders [Author 4],Authors' Genders [Author 5],Authors' Genders [Author 6],Authors' Genders [Author 7],Authors' Genders [Author 8],Authors' Genders [Author 9],Authors' Genders [Author 10],Authors' Genders [Author 11],Authors' Genders [Author 12],Authors' Genders [Author 13],Authors' Genders [Author 14],Authors' Genders [Author 15],Authors' Genders [Author 16],Authors' Genders [Author 17],Topics [Trade],Topics [Diaspora],Topics [Gender],Topics [Identity],Topics [Violence],Topics [Ethnicity],Topics [Enslaved],Topics [Power],Topics [Worldviews],Topics [Personhood],Topics [Environment],Topics [The Viking ship],Topics [Rituals],Topics [Memory],Topics [Craft],Topics [Outfield resources],Topics [Hunting],Sources of Evidence [Graves and monuments],Sources of Evidence [Hoards],Sources of Evidence [Settlements],Sources of Evidence [Emporia],"Sources of Evidence [Other structures, sites of production or pit systems]",Sources of Evidence [Portable artefacts],Sources of Evidence [Human biological remains],Sources of Evidence [Non-anthropogenic materials],Sources of Evidence [Stray finds],Methods [aDNA],Methods [Biological analyses],Methods [Palaeoenvironment reconstruction],Methods [Stable isotope analysis],Methods [Absolute dating],Methods [Geophysical analyses],Methods [Geochemical analyses],Methods [Spatial analysis],Methods [Artefact analysis],Methods [Literary analysis and epigraphy],Methods [Quantitative or statistical methods],Methods [Discourse analysis],Region,Comments,Topics [Heritage],Sources of Evidence [Written sources],Methods [Relative dating],Sources of Evidence [Ethnographic sources]
2026-02-02 07:31:07,4116,keller2016,Man,Woman,,,,,,,,,,,,,,,,Primary,Primary,,,,,,Secondary,,,Primary,,,,,Secondary,Primary,,,Secondary,,,,,Primary,,,,Primary,Secondary,,,,,,Primary,,,North Atlantic,,,Primary,,
2026-02-02 07:16:32,4115,kershaw2016,Woman,Woman,,,,,,,,,,,,,,,,Primary,Primary,Secondary,,,Primary,,Secondary,,,,,,,,,,,,Primary,,,Primary,,,,Secondary,,,,,,,Primary,Primary,,,Primary,England,,,Primary,,
2026-02-02 06:28:56,4114,lindholm2016,Man,Man,,,,,,,,,,,,,,,,Primary,Secondary,,,,Secondary,,Primary,,Primary,Primary,,,,Primary,Secondary,Primary,Primary,,Primary,,Primary,,,Primary,,,,Secondary,,Primary,,,Primary,Secondary,,Primary,,Sweden,,,,Secondary,
2026-02-02 06:04:41,4113,lund2016,Woman,Woman,,,,,,,,,,,,,,,,,,,Secondary,,,,Primary,Primary,Primary,Primary,Secondary,Primary,Primary,,,,Primary,Primary,Secondary,,Secondary,Primary,Primary,Primary,,,Secondary,,,,,,Primary,Primary,Secondary,,,"Gammel Lejre, Skopintull",,,Secondary,Secondary,
2026-02-02 05:43:56,4112,macphail2016,Man,Man,Man,,,,,,,,,,,,,,,Secondary,,,,,,,Primary,,Secondary,Primary,Secondary,,,Secondary,,,Primary,,Primary,,Primary,,,,,,,Primary,,Primary,Primary,,Primary,,,,,Avaldsnes,,,,Secondary,
2026-02-02 05:32:42,4111,neiss2016,Man,Woman,Man,,,,,,,,,,,,,,,,,,,,,,,Secondary,Primary,,,,,Primary,,,,Secondary,Secondary,,,Primary,,,Secondary,,,,,,,Secondary,,Primary,,,,"Scandinavia, Russia",,,,,
2026-02-02 05:17:51,4110,oye2016,Woman,,,,,,,,,,,,,,,,,Primary,,,,,,,Primary,,Secondary,Primary,,,,Secondary,Primary,,Secondary,,Primary,,Primary,Primary,,,,,,Primary,,Primary,,,Primary,,,Secondary,,Scandinavia,,,Primary,,
2026-01-30 07:58:11,4109,pedersen2016b,Woman,Man,Woman,Woman,,,,,,,,,,,,,,Secondary,,,,,,,,,,Secondary,Secondary,,,Primary,,,Secondary,,Secondary,,Primary,Primary,,,Primary,,,,Primary,,,Primary,Secondary,Primary,,Primary,,Gokstad,,,Secondary,,
2026-01-30 07:44:06,4108,perry2016,Man,,,,,,,,,,,,,,,,,Secondary,Primary,,Secondary,Secondary,,,Secondary,,,Secondary,,,,Primary,Secondary,,,,,,Primary,Primary,,,,,,,,Primary,Primary,Primary,Primary,Primary,,,,Torksey,,,,,
2026-01-30 07:27:18,4106,price2016a,Man,Man,Woman,Woman,Woman,,,,,,,,,,,,,,Primary,,Primary,Primary,,,Primary,,Secondary,Primary,Secondary,,,,,,Primary,,,,,Primary,Primary,Secondary,,,Primary,Secondary,Primary,,,,Secondary,Primary,,Secondary,,"Salme, Mälaren",,,,,
2026-01-30 07:12:50,4105,raffield2016,Man,,,,,,,,,,,,,,,,,Primary,Primary,Secondary,,Primary,Primary,,Primary,,,Primary,Secondary,,,,,,Secondary,,Primary,,Secondary,Primary,Secondary,,Secondary,,Secondary,,Secondary,Secondary,Secondary,,Primary,,Primary,,Secondary,England,,,Primary,Secondary,
2026-01-30 06:59:21,4104,raffield2016a,Man,Woman,Man,Man,,,,,,,,,,,,,,Secondary,,Secondary,Primary,Primary,,,Primary,,,,Secondary,,,,,,Secondary,,,,,,,,,,,,Secondary,,,,,,Primary,,Primary,Northwest Europe,,,Primary,,
2026-01-30 06:45:52,4103,williams2016,Man,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,,Secondary,,Primary,Primary,,,,Primary,,,,,Secondary,,,,,,,,,,,Primary,Secondary,,,Primary,"Scandinavia, British Isles",,,,,
2026-01-29 08:49:39,4101,wouters2016,Woman,Woman,Man,Man,,,,,,,,,,,,,,Secondary,,,,,,,,,,Primary,,,,Secondary,,,,,Primary,Primary,,,,,,,,Primary,,,,,,,,,,"Antwerp, Kaupang",,,,Secondary,
2026-01-29 08:42:28,4100,amundsen2017,Woman,,,,,,,,,,,,,,,,,Secondary,,,Primary,,Primary,,,Secondary,,Primary,,Secondary,,,Secondary,Primary,Secondary,Secondary,Primary,,,Primary,,,,,,,,,,,Primary,Primary,Secondary,,Secondary,"Hedmark, Rendalen, Engerdal",,,Secondary,Primary,
2026-02-12 10:44:35,4099,anchukaitis2017,Woman,,,,,,,,,,,,,,,,,Primary,,,Secondary,,Secondary,,Primary,,,Primary,Secondary,,,Primary,,,Primary,,Secondary,Primary,,Primary,,,Primary,,,,Secondary,,,Secondary,,Primary,,,,Norway,,,,Primary,
2026-01-29 08:15:40,4097,baug2017,Woman,,,,,,,,,,,,,,,,,Primary,,Secondary,Secondary,,,,Primary,,,,Secondary,,,Primary,Primary,,,,Primary,Primary,Secondary,Primary,,,,,,,,,,,Primary,,,,,"North Atlantic, South Scandinavia",,,,Secondary,
2026-01-29 08:00:37,4096,beck2017,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,,,,,Primary,,,,,,,,,,,Primary,,,,,,,Primary,Denmark,Primary topic is the use of chronological dating in Danish archaeology.,,,Secondary,
2026-01-29 07:46:08,4095,bill2017,Man,,,,,,,,,,,,,,,,,,Secondary,,,,,,Secondary,,,,Primary,Primary,,,,,Primary,,,,,Secondary,,,,,,,,,,,Secondary,Secondary,,,Primary,Rolvsøy,,,,,
2026-01-29 07:35:55,4094,bill2017a,Man,Man,,,,,,,,,,,,,,,,Primary,,,,,,,Secondary,,,Primary,,,,Secondary,Secondary,,Primary,,Primary,Primary,Primary,Primary,,,Primary,,,,,Primary,Primary,,Primary,Primary,,,,Heimdalsjordet,,,,Secondary,
2026-01-29 07:20:18,4093,eriksen2017a,Woman,,,,,,,,,,,,,,,,,,,,Primary,,,Secondary,Secondary,,Primary,,,Primary,,,,,,,Primary,,Primary,,Primary,,,,Primary,,,,,,Primary,,Secondary,,Secondary,North Europe,,,Secondary,,
2026-01-29 07:07:21,4092,feveile2017,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,Primary,,,,,,,,,,,Primary,,,,,,,,Primary,Primary,,,,Denmark,,,,Secondary,
2026-01-29 06:11:39,4091,fontaine2017,Woman,,,,,,,,,,,,,,,,,Primary,,,,Secondary,Secondary,Primary,Secondary,,,Secondary,,Secondary,,,,,Primary,,Primary,,,Primary,,,,,,,,,,,Secondary,,,,Primary,"Britain, Ireland, Central East Europe",,,Primary,Primary,
2026-01-29 05:59:37,4090,glorstad2017,Woman,Woman,,,,,,,,,,,,,,,,Primary,Primary,,,,,,Secondary,,,Primary,,,,,Secondary,Secondary,Primary,,,,Secondary,Primary,,,Secondary,,,Secondary,,,,,Primary,Primary,,,,Setesdal,,,Secondary,Primary,
2026-01-29 05:48:42,4089,goodchild2017,Woman,Woman,Man,,,,,,,,,,,,,,,,,,,Primary,,,Primary,,,Primary,,,,,,,,,Primary,,,,,,,,,,,Secondary,Primary,,Primary,,,,,Borgring,,,Secondary,Secondary,
2026-01-29 05:39:25,4088,gustin2017,Woman,,,,,,,,,,,,,,,,,Primary,Primary,Secondary,Primary,,Primary,,Secondary,,,,,,,,,,Primary,,,,,Primary,Secondary,,,,Secondary,,Secondary,,,,Primary,Primary,Secondary,Secondary,,"Birka, Southwest Finland, Mälaren",,Secondary,Secondary,Primary,
2026-01-29 05:18:02,4087,harris2017,Man,Woman,Woman,Woman,Woman,Woman,Man,Man,,,,,,,,,,,Primary,Secondary,Primary,Primary,Secondary,,Primary,Secondary,,Secondary,Primary,Secondary,,,,,Primary,,,,,Primary,Primary,,,,Primary,,Primary,,,,Secondary,Primary,,Secondary,,Ardnamurchan,"Three additional authors, one female and two male.",,,Primary,
2026-01-29 05:03:39,4086,hartman2017,Man,Woman,Man,Man,Man,Man,,,,,,,,,,,,Secondary,Primary,,,,Secondary,,Secondary,Primary,,Primary,,,,,Secondary,Secondary,,,Primary,,,,,Primary,,,,Primary,,Primary,,,Secondary,,Primary,,,"Iceland, Greenland","One additional author, first name abbreviated.",,Primary,,
2026-01-29 04:48:51,4085,hedenstierna-jonson2017,Woman,Woman,Woman,Woman,Woman,Man,Man,Man,Man,Man,,,,,,,,,Secondary,Primary,Primary,Primary,,,Primary,,Primary,Secondary,,,,,,,Primary,,Secondary,Secondary,,Secondary,Primary,Secondary,,Primary,Primary,,Primary,,,,Secondary,,,Secondary,Secondary,Birka,Five additional male authors.,,,,
2026-01-29 04:37:32,4084,helama2017,Man,Man,Man,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,Primary,,,,Primary,,Primary,,,,,,,Primary,Northern Hemisphere,"Concerns the 'Dark Age Cold Period', including 536. Slightly related to the Viking Age period.",,,,
2026-01-29 04:28:53,4082,henriksen2017,Man,Woman,Woman,,,,,,,,,,,,,,,Primary,Secondary,,,,,,Primary,,,Primary,,,,Secondary,,,,,Primary,,,Secondary,,Primary,,,,Primary,Primary,Primary,,,Secondary,,Secondary,,,Tissø,,,Secondary,,
2026-01-27 07:41:04,4081,kalmring2017,Man,Man,Man,,,,,,,,,,,,,,,Secondary,Secondary,,,,,,Primary,Secondary,,Primary,,Secondary,,,,,Secondary,,Primary,,,Secondary,,,,,,,,Secondary,Primary,,Primary,,Secondary,,,"Korshamn, Birka",,,Secondary,Primary,
2026-01-27 07:27:32,4080,kershaw2017,Woman,,,,,,,,,,,,,,,,,Primary,Primary,,,,Secondary,,Secondary,,,,,,,,,,,Primary,,,,Primary,,,Primary,,,,,,,,Primary,Primary,,Secondary,,"England, Danelaw",,,,,
2026-01-27 07:14:27,4079,lund2017,Woman,,,,,,,,,,,,,,,,,Secondary,,,,Secondary,,,Secondary,Primary,Primary,,,Primary,,,,,Primary,Primary,,,,Primary,,,,,,,,,,,Secondary,Primary,Primary,,,"Scandinavia, North Europe",,,Primary,,
2026-01-27 06:59:11,4078,oehrl2017,Man,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,,,,,Primary,,,,,,,,,,,,,,,,,Primary,Primary,,,Gotland,,,Primary,Secondary,
2026-01-27 06:32:29,4077,pedersen2017,Woman,,,,,,,,,,,,,,,,,Primary,Secondary,,Secondary,,,,Secondary,,,Secondary,,,,Primary,,,Secondary,,Secondary,Primary,,Primary,,,,,,,,,,Secondary,Secondary,Primary,,,,Kaupang,,,,Secondary,
2026-01-27 06:21:39,4076,peschel2017,Woman,Man,Man,Woman,,,,,,,,,,,,,,Primary,Primary,Secondary,,Secondary,Primary,,Secondary,,,Secondary,,,,,,,Primary,,,,,Secondary,Primary,Primary,,,Primary,Primary,Primary,,,,Primary,,,,,"Ridanäs, Gotland",,,,,
2026-01-27 06:12:04,4075,raffield2017,Man,Man,Man,,,,,,,,,,,,,,,,,Primary,,Primary,,Secondary,Primary,,,,Primary,,,,,,Secondary,,,,,Secondary,,,,,,,,,,,Secondary,,Primary,,,"Scandinavia, Salme",,,Primary,,Primary
2026-01-27 05:55:56,4074,roslund2017,Man,,,,,,,,,,,,,,,,,Primary,,,Secondary,Secondary,Primary,,Secondary,Secondary,,Primary,,,,,Secondary,Secondary,Primary,,Primary,,,Primary,,,,,,Secondary,,,,,Primary,Primary,Primary,,,"Mälaren, Volga-Kama, Baltic",,,Primary,Primary,
2026-01-27 05:28:52,4073,schmid2017,Woman,Man,Man,Man,,,,,,,,,,,,,,,Primary,,,,,,,,,Primary,,,,,,,,,Primary,,Primary,,,,,,,Primary,,Primary,,,Secondary,,Secondary,Secondary,,Iceland,,,Secondary,Secondary,
2026-01-26 11:26:38,4071,schneidhofer2017,Woman,Man,Man,Woman,Man,Man,Man,Man,Man,Man,Man,,,,,,,,,,,,,,,,,Primary,Secondary,,,,,,Secondary,,Primary,,Secondary,,,,,,,Primary,,,Primary,,Primary,,,,,Gokstad,Additional authors include two female and four male.,,,Secondary,
2026-01-26 11:17:11,4070,sindbaek2017,Man,,,,,,,,,,,,,,,,,Primary,Primary,,,Secondary,,,Secondary,Secondary,,Primary,Secondary,,,,Secondary,Secondary,,,Primary,Primary,,Primary,,Secondary,,,,,,,,,Primary,,Primary,,,"North Atlantic, Baltic",,,Primary,,
2026-01-26 11:04:02,4069,skre2017,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,Secondary,,,Primary,,,,Secondary,,,,,Primary,Primary,,Primary,,,,,,,,,,,Secondary,Primary,Primary,,Primary,West Scandinavia,,,Primary,Secondary,Secondary
2026-01-26 08:37:26,4068,zoega2017,Woman,Man,,,,,,,,,,,,,,,,,,Secondary,Secondary,,,,,Primary,,Primary,,Primary,Secondary,,,,Primary,,Primary,,,,Primary,,,,Primary,,,,,,Primary,,Secondary,,,Iceland,,,Secondary,,
2026-01-26 08:22:20,4067,aannestad2018a,Woman,,,,,,,,,,,,,,,,,Primary,Primary,Secondary,Secondary,Secondary,Primary,,Secondary,Secondary,,,,,,Primary,,,Primary,Secondary,,,,Primary,,,,,,,,,,,Primary,Primary,Secondary,,,Scandinavia,,,Secondary,,
2026-01-26 08:06:56,4066,androshchuk2018,Man,,,,,,,,,,,,,,,,,,,Primary,Primary,Primary,,,,,Primary,Primary,,,,,,,Primary,,,,,Primary,Primary,Secondary,,Primary,Primary,,,,,,,,Secondary,,Primary,Birka,,,Secondary,,
2026-01-26 07:53:19,4065,barndon2018,Woman,Man,,,,,,,,,,,,,,,,Secondary,,,Secondary,,,,Primary,,Primary,Secondary,,Primary,,Primary,Secondary,,Primary,,,,,Primary,Secondary,,,,Secondary,Secondary,,Primary,,,Primary,Primary,,Secondary,,"Nordheim, Sogndal",,,,Primary,
2026-01-26 07:05:10,4064,beck2018,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,,,,,Primary,,,Secondary,,,,,,,,Primary,,,Primary,,,,Primary,South Scandinavia,,,,,
2026-01-26 06:51:22,4063,bitz-thorsen2018,Woman,Woman,,,,,,,,,,,,,,,,Secondary,Secondary,,,,,,,,Primary,Secondary,,,,,,,Secondary,,Secondary,,,,,Primary,,,,Primary,,Secondary,,,,,,Primary,,Denmark,,,,Secondary,
2026-01-26 06:40:46,4062,borake2018,Woman,,,,,,,,,,,,,,,,,Primary,,,,Secondary,,,Primary,Secondary,,Primary,,Secondary,,,,,,,Primary,,Secondary,,,,Primary,,,,,,,,Primary,,Secondary,,,"Tissø, West Zealand",,,Secondary,Primary,
2026-01-26 05:34:19,4058,fahlander2018,Man,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Primary,,Primary,,Secondary,Primary,,,,Primary,,,,,,,,,,,,,,,,Primary,,,,,Central East Sweden,,,,,
2026-01-26 05:21:36,4056,christensen2018a,Man,Woman,Woman,Man,Man,,,,,,,,,,,,,,,,,,,,Secondary,,,Primary,,,,,,,,,Primary,,,Secondary,,,Secondary,,,,,Secondary,Primary,,Primary,,,,,Borgring,,,,Secondary,
2026-01-26 05:13:42,4055,solli2018,Woman,,,,,,,,,,,,,,,,,Secondary,,,,,Secondary,,,,Primary,Primary,,,,,,Primary,,,,,Primary,,,,Primary,,,,,Secondary,,,Primary,Primary,Secondary,,,Norway,,,Secondary,,Secondary
2026-01-26 05:02:15,4054,croix2019a,Woman,Man,Man,,,,,,,,,,,,,,,Primary,,Secondary,Secondary,,,,Primary,,,Secondary,,,,Primary,,,,,,Primary,Primary,Primary,,Secondary,,,,,,,,Secondary,Primary,Primary,,,,Ribe,,,,Secondary,
2026-01-23 10:08:13,4053,croix2019,Woman,Man,Man,Woman,Woman,Man,Woman,,,,,,,,,,,Secondary,,,,,,,Secondary,,,Primary,,,,,,,,,Primary,Primary,Primary,,,Primary,,,,,,,Primary,,Primary,Primary,,,,Ribe,Additional authors include one female and one male. Primary methods include microcmorphological analyses.,,,Primary,
2026-01-23 09:21:16,4052,perry2019,Man,,,,,,,,,,,,,,,,,Secondary,Primary,,Secondary,,,,Secondary,,,Primary,,,,Primary,,,,,Primary,,Primary,Primary,,,,,,,,,Primary,Primary,Primary,,Secondary,,,East England,,,Secondary,Primary,
2026-01-23 09:06:00,4050,price2019a,Man,Man,Woman,,,,,,,,,,,,,,,Primary,Primary,,,,Primary,,,Primary,,Primary,,,,,,,Primary,,Primary,,,,Primary,Secondary,,,Primary,,Primary,Primary,Secondary,,Secondary,,Secondary,Primary,,"Staraya Ladoga, Mälaren",,,Secondary,,
2026-01-23 08:52:24,4049,tonning2020,Man,Woman,Man,Man,Woman,Man,Man,Man,Woman,Man,Man,Man,,,,,,,,,,,,,Secondary,,,Primary,,Secondary,,,,,Primary,,Primary,,Secondary,,,,,,,,,Primary,Primary,,Primary,,Secondary,,,Borre,Additional authors include one female and six male.,,Secondary,Secondary,
2026-01-23 08:40:59,4048,price2020,Man,Man,Woman,Woman,Man,,,,,,,,,,,,,,Primary,,Secondary,Primary,Primary,,,,,Secondary,Primary,Secondary,,,,,Primary,,Secondary,,,Primary,Primary,Secondary,,,Primary,,Primary,Primary,,,Secondary,,,,,"Salme, Mälaren",,,,Secondary,
2026-01-23 08:28:12,4047,reiter2019,Woman,Woman,,,,,,,,,,,,,,,,,Primary,Secondary,Primary,Secondary,,,Secondary,,Primary,,,Secondary,,,,,Primary,,,,,,Primary,,,Primary,,,Primary,,,,,,,,Secondary,,Generally concerns mobility patterns. Few references to Viking Age. Discard?,,,,
2026-01-23 08:11:56,4046,pilo2020,Man,Man,Man,,,,,,,,,,,,,,,Primary,Primary,,,,,,Secondary,,,Primary,,,,,Secondary,Secondary,Secondary,,Secondary,,,Primary,,Primary,Primary,,,,,Primary,,,Primary,,,,,Lendbreen,,,,,
2026-01-23 06:58:53,4045,griffiths2019,Man,,,,,,,,,,,,,,,,,Secondary,Primary,,Secondary,Secondary,Secondary,,Secondary,Secondary,,,,,,,,,Secondary,,Primary,,,,,,,,,,,,,,Primary,,Primary,,,"North Atlantic, West Europe",,Secondary,Primary,,
2026-01-23 06:46:41,4044,gardela2018,Man,,,,,,,,,,,,,,,,,,,Primary,,Primary,,,,Secondary,Primary,,,,,,,,Primary,,,,,Primary,,,Primary,,,,,,,,Primary,,Primary,,Primary,"Scandinavia, Iceland, England",,Secondary,Primary,,
2026-01-23 06:33:27,4043,gardela2018a,Man,Woman,,,,,,,,,,,,,,,,,,Primary,,,Primary,,Secondary,Primary,Secondary,Primary,Secondary,Secondary,,Secondary,,,Primary,Secondary,Secondary,Secondary,,Primary,,,Secondary,,,,,,,,Primary,Primary,Secondary,,,"Denmark, Finland, Germany, Norway, Poland, Sweden, Birka, Russia",,,Secondary,,
2026-01-23 06:13:54,4042,hadley2018,Woman,Man,,,,,,,,,,,,,,,,Secondary,Primary,,,Primary,Primary,,Secondary,,,Primary,,,,,,,Secondary,Primary,Primary,,,Primary,,,Secondary,,,Secondary,,Primary,Secondary,,Primary,,Primary,,,"England, Torksey",,,Primary,Secondary,
2026-01-23 05:56:10,4041,hayeursmith2018,Woman,Man,Woman,,,,,,,,,,,,,,,Secondary,Secondary,,,,Primary,,,,,Primary,,,,Primary,,Secondary,,,Secondary,,,,,Primary,Primary,,,Secondary,,Primary,,,Secondary,Primary,,,,"Greenland, Newfoundland",,,,,
2026-01-20 11:32:31,4040,heen-pettersen2018,Woman,Man,,,,,,,,,,,,,,,,,Secondary,,,Secondary,,,Secondary,Primary,Primary,,,Primary,,,,,Primary,,,,,Primary,,,,,,,,,Secondary,,Secondary,Primary,Primary,,,Namdalen,,,Primary,Primary,
2026-01-20 11:09:09,4038,hennius2018,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,Secondary,,,Secondary,Primary,,,,Primary,,,,Secondary,Secondary,Primary,Secondary,,,,,,,,Primary,,,Primary,,Secondary,,,East Sweden,,,Secondary,,
2026-01-20 08:55:32,4037,hennius2018a,Man,Man,Man,Man,,,,,,,,,,,,,,Primary,,,,,,,Secondary,,,,Secondary,,,Primary,Primary,Primary,Secondary,,,,,Primary,,Primary,,,,,,,,Primary,,Primary,Secondary,,,"Sweden, Scandinavia",,,Secondary,Primary,
2026-07-03 07:24:11,4036,hilberg2018,Man,,,,,,,,,,,,,,,,,Primary,Secondary,,,,,,Secondary,,,Primary,,,,Secondary,,,,,Primary,Primary,,Primary,,,Primary,,,,,,,,Primary,Secondary,,Primary,,Hedeby,German,,,Primary,
2026-01-20 08:04:56,4035,hrnjic2018,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,Primary,,,,,,,Secondary,,,,Primary,,Primary,,Primary,,,,,,,Primary,,,Primary,,,Secondary,,,Eurasia,"Region is primarily South Scandinavia and Middle East, regarding long-distance trade.",,Secondary,Secondary,
2026-01-20 07:49:07,4034,jackson2018,Man,Woman,Man,Man,Man,Man,Man,,,,,,,,,,,Primary,Primary,,,,Secondary,,Primary,Secondary,,Primary,Secondary,,,,Primary,Secondary,,,Primary,,,Secondary,Primary,,,Secondary,,Primary,Primary,,,,Primary,,,,,Greenland,Two additional male authors.,,Secondary,,
2026-01-20 07:31:34,4033,jankowiak2018,Man,,,,,,,,,,,,,,,,,Primary,Secondary,,,,,Secondary,,,,,,Secondary,,,,,,Primary,,,,Primary,,,,,,,,Primary,,,Primary,Primary,,,,Baltic Sea,,,,,
2026-01-20 07:14:28,4032,jarman2018,Woman,Man,Man,Man,,,,,,,,,,,,,,,Primary,,Secondary,Primary,,,,,,,,,,,,,Primary,,,,,,Primary,Secondary,,,,,Primary,Primary,,,Secondary,,Secondary,,,Repton,,,Secondary,,
2026-01-20 07:00:21,4031,kalmring2018,Man,Woman,,,,,,,,,,,,,,,,Secondary,,,,,,,Secondary,,,,,,,Primary,,,Secondary,,Secondary,Secondary,,Primary,,,,,,,,Primary,,,,Primary,Secondary,,,Birka,,,Secondary,Primary,
2026-01-15 11:59:59,4030,krzewinska2018,Woman,Woman,Man,Woman,Woman,Woman,Woman,Woman,Man,Woman,Woman,Woman,Man,Man,Man,,,,Primary,Secondary,Secondary,,Primary,,,,,,,,,,,,Primary,,Primary,,,,Primary,,,Primary,,,Primary,,,,,,,Primary,,Sigtuna,"An additional 10 authors, five female and five male.",,,,
2026-01-15 11:42:56,4028,ljungkvist2018,Man,,,,,,,,,,,,,,,,,,,,,Secondary,,,Primary,,,Primary,,Primary,,,,,Primary,,Primary,,,Secondary,,,,,,,,,,,Primary,Secondary,,,,"Gamle Uppsala, Valsgärde, Mälaren.",,,,,
2026-01-15 11:31:19,4027,mainland2018,Woman,Woman,,,,,,,,,,,,,,,,,,,Primary,,,,Primary,,,,,,,,,,,,Secondary,,Secondary,,,Primary,,,,Primary,Secondary,,,,,,Primary,Primary,Secondary,North Europe,,,Primary,,
2026-01-15 11:15:24,4025,majchczack2018,Woman,Man,Woman,Man,Man,Man,,,,,,,,,,,,Primary,,,,,,,,,,Primary,,,,,,,Primary,Secondary,Primary,,Primary,Primary,,,Secondary,,,,,Primary,Primary,,Primary,Secondary,,,,Föhr,A sixth additional male author.,,,Primary,
2026-07-03 07:13:21,4024,nosov2018,Man,Woman,Man,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,,,,,Primary,,,,,,,,,,,,,,Primary,,,,,Staraya Ladoga,Russian,,,Primary,
2026-01-15 11:00:44,4023,odeback2018,Woman,,,,,,,,,,,,,,,,,,,,Primary,Primary,Secondary,,,Secondary,Primary,Primary,,Primary,Primary,,,,Primary,,,,,Primary,Secondary,,,,,,,,,,Primary,Secondary,Primary,,Secondary,Scandinavia,,,,,
2026-01-15 10:45:09,4022,pilo2018a,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,,,,Primary,,,,,Primary,Primary,Secondary,,,,,Primary,,Primary,Primary,,,Primary,,Primary,,,Primary,Primary,,Primary,,Oppland,,,,,
2026-01-15 09:35:04,4021,price2018a,Man,,,,,,,,,,,,,,,,,Secondary,Secondary,Secondary,,Secondary,,Secondary,Secondary,Secondary,,,Secondary,,,,,,Secondary,,,,,,,,,,,,Secondary,,,,,,,,Primary,,Primary source of evidence is modern literature.,Primary,,,
2026-01-15 09:27:23,4020,price2018b,Man,Man,,,,,,,,,,,,,,,,Secondary,Primary,,Secondary,,Secondary,,Secondary,Primary,,Primary,,,,,,,,,Secondary,,,,,,,,,,,,,,,,,,Primary,"Oceania, Scandinavia",,,,,
2026-01-15 09:14:52,4019,price2018,Man,,,,,,,,,,,,,,,,,Primary,Primary,,,,,,Primary,Primary,,Primary,,Secondary,Secondary,,,,Secondary,,Primary,,,Secondary,Secondary,Secondary,,,,,,,,,Primary,,,,Secondary,"Oceania, Pacific Ocean, Scandinavia",,,,,Primary
2026-01-15 09:03:31,4018,price2018c,Man,Woman,Woman,Woman,Man,,,,,,,,,,,,,Primary,,,Secondary,,Primary,,Secondary,,,Primary,,,,,,,Primary,,Secondary,,,Secondary,Primary,Secondary,,,,,Primary,,,,Secondary,Secondary,,Primary,,"Mälaren, Birka",,,,,
2025-11-26 10:09:35,4016,raffield2018,Man,Man,Man,,,,,,,,,,,,,,,,,Primary,Secondary,,Secondary,Secondary,Primary,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,Primary,,,"Scandinavia, Kyivan Rus",,,Primary,,
2026-01-15 08:42:39,4014,richards2018,Man,Man,,,,,,,,,,,,,,,,,Secondary,,,,Primary,,Primary,,,Primary,,,,,,,Primary,,Secondary,,,Primary,,,Primary,,,,Secondary,,,,Primary,Secondary,Primary,Primary,Secondary,Northumbria,,,Primary,Primary,
2026-01-15 07:13:05,4011,runge2018,Man,,,,,,,,,,,,,,,,,,,,,,,,Secondary,,,Primary,,,,,,,,Primary,Primary,,,Secondary,,,Secondary,,,,,Primary,,,Primary,,,,,Odense,,,,,
2026-01-15 07:01:15,4010,runge2018a,Man,Man,,,,,,,,,,,,,,,,Primary,,,,,,,Secondary,,,Primary,,,,,,,,,Primary,Primary,Secondary,Secondary,,,,,,,,,,,Primary,,,,,South Scandinavia,,,,Secondary,
2026-01-15 06:46:44,4008,sindbaek2018,Man,,,,,,,,,,,,,,,,,Primary,,,,,,,,,,Secondary,,,,,,,,,Primary,Primary,,Primary,,,,,,,,,,,Primary,Primary,,,,Ribe,,,,Primary,
