Timestamp,ID,cite_key,Authors' Genders [Author 1],Authors' Genders [Author 2],Authors' Genders [Author 3],Authors' Genders [Author 4],Authors' Genders [Author 5],Authors' Genders [Author 6],Authors' Genders [Author 7],Authors' Genders [Author 8],Authors' Genders [Author 9],Authors' Genders [Author 10],Authors' Genders [Author 11],Authors' Genders [Author 12],Authors' Genders [Author 13],Authors' Genders [Author 14],Authors' Genders [Author 15],Authors' Genders [Author 16],Authors' Genders [Author 17],Topics [Trade],Topics [Diaspora],Topics [Gender],Topics [Identity],Topics [Violence],Topics [Ethnicity],Topics [Enslaved],Topics [Power],Topics [Worldviews],Topics [Personhood],Topics [Environment],Topics [The Viking ship],Topics [Rituals],Topics [Memory],Topics [Craft],Topics [Outfield resources],Topics [Hunting],Sources of Evidence [Graves and monuments],Sources of Evidence [Hoards],Sources of Evidence [Settlements],Sources of Evidence [Emporia],"Sources of Evidence [Other structures, sites of production or pit systems]",Sources of Evidence [Portable artefacts],Sources of Evidence [Human biological remains],Sources of Evidence [Non-anthropogenic materials],Sources of Evidence [Stray finds],Methods [aDNA],Methods [Biological analyses],Methods [Palaeoenvironment reconstruction],Methods [Stable isotope analysis],Methods [Absolute dating],Methods [Geophysical analyses],Methods [Geochemical analyses],Methods [Spatial analysis],Methods [Artefact analysis],Methods [Literary analysis and epigraphy],Methods [Quantitative or statistical methods],Methods [Discourse analysis],Region,Comments,Topics [Heritage],Sources of Evidence [Written sources],Methods [Relative dating],Sources of Evidence [Ethnographic sources]
2026-02-12 08:07:47,4187,vesteinsson2014,Man,Man,Man,Man,,,,,,,,,,,,,,Secondary,Secondary,,,,,,Secondary,,,Primary,,,,Secondary,Secondary,Secondary,,,Primary,,,,,Primary,,,,Primary,,Primary,,,Primary,,Primary,,,"Iceland, Krókdalur",,,Primary,,
2026-02-12 07:30:08,4186,williams2014,Man,,,,,,,,,,,,,,,,,Primary,Secondary,,,,Secondary,,Primary,,,Secondary,,,,Secondary,,,,Primary,Secondary,,,Primary,,,Primary,,,,,Primary,,,Secondary,Primary,Primary,,Secondary,England,,,Primary,Primary,
2026-02-12 07:19:43,4185,williams2014a,Man,,,,,,,,,,,,,,,,,,Secondary,,Primary,,,,Primary,Primary,,Primary,Secondary,Primary,Primary,,,,Primary,,Secondary,,,Secondary,,Secondary,,,,,,,,,Primary,,Secondary,,,Skamby,,,Secondary,Secondary,
2026-02-12 06:59:05,4184,zachrisson2014a,Woman,,,,,,,,,,,,,,,,,,Secondary,Secondary,,,,Secondary,Secondary,,,Primary,,Primary,,Primary,Secondary,,,,Primary,,,Primary,,Primary,,,,,,,,,Primary,,Primary,,,Sweden,,,Primary,Secondary,
2026-02-12 06:44:50,4183,zachrisson2014,Woman,,,,,,,,,,,,,,,,,Secondary,,,,,,,Secondary,Primary,,Primary,Secondary,Primary,,,,,,,Primary,,Primary,Secondary,,Secondary,,,,Secondary,,Primary,,,Primary,Secondary,,,,Middle Sweden,,,,Secondary,
2026-02-12 06:21:23,4182,ahfeldt2015,Woman,,,,,,,,,,,,,,,,,Secondary,Primary,,Primary,,,,,,,,Secondary,,,Primary,,,Primary,,,,,Secondary,,,,,,,,,,,Secondary,Primary,Primary,,,Gotland,,,Secondary,Primary,
2026-02-10 10:52:11,4181,ambrosiani2015,Man,Woman,,,,,,,,,,,,,,,,Primary,,,,,Secondary,,,,,Secondary,,Secondary,,Secondary,,,Secondary,Primary,Secondary,Secondary,,Primary,,,,,,,,Primary,,,,Primary,Secondary,,,Birka,,,Secondary,,
2026-02-10 10:44:23,4180,ashby2015,Man,,,,,,,,,,,,,,,,,Secondary,Secondary,,Secondary,Secondary,,,Primary,,,,Secondary,,,Primary,,,,Secondary,,,,Primary,,,,,,,,,,,,,,,,"England, Scandinavia","PDF-file is the same as 4179, does not match the title of 4180.",,,,Secondary
2026-02-10 10:41:13,4179,ashby2015a,Man,Woman,Man,,,,,,,,,,,,,,,Primary,Primary,,Secondary,,,,Secondary,,,,Secondary,,,Primary,Secondary,Secondary,Secondary,,Primary,Primary,Secondary,Primary,,Primary,,,,Primary,,,,Primary,Secondary,,,Primary,,"North Europe, Scandinavian Peninsula",,,,,
2026-02-10 10:31:31,4178,baug2015a,Woman,,,,,,,,,,,,,,,,,Secondary,,,Secondary,,,,,,,Secondary,,Secondary,,Primary,,,Secondary,,Secondary,,,Primary,,Secondary,,,,Secondary,,,,,Primary,Secondary,Secondary,,,Scandinavia,,,Secondary,Secondary,
2026-02-10 10:21:12,4177,carver2015,Man,,,,,,,,,,,,,,,,,Primary,,,,,,Secondary,Primary,Primary,,,,Secondary,,Secondary,,,Secondary,Secondary,Primary,Primary,Secondary,Secondary,,,,,,,,,,,Primary,,,Secondary,Primary,Europe,,,,,
2026-02-10 10:09:10,4176,croix2015,Woman,,,,,,,,,,,,,,,,,Primary,Secondary,,,,,,Secondary,,,Primary,,,,Secondary,,,,,Secondary,Primary,Secondary,Primary,,,,,,,,Primary,,,Primary,,,Secondary,,Ribe,,,,Primary,
2026-02-09 12:05:55,4175,downham2016,Woman,,,,,,,,,,,,,,,,,Primary,Primary,,Primary,,Primary,,Secondary,Secondary,,Primary,,Secondary,,Secondary,,,,,Primary,,,Secondary,,Secondary,,,,,,,,,Primary,Secondary,Secondary,,,Ireland,,,Secondary,Secondary,Primary
2026-02-09 11:52:44,4173,draganits2015,Man,Man,Man,Man,Man,Man,Man,Man,,,,,,,,,,,,,,,,,Secondary,,,Primary,Secondary,,,,,,Primary,,,,Primary,,,Primary,,,,Primary,,,Primary,,Primary,,Secondary,,,Borre,"Three additional authors of unknown gender, all author first names are abbreviated.",,Secondary,,
2026-02-09 11:37:34,4172,feveile2015,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,,,,,,,,Primary,Secondary,,,Primary,"Danmark, Norge, Sverige",Primary topic is discourse and laws regarding metal-detecting. Discard?,Primary,,,
2026-02-09 11:27:06,4171,frei2015,Woman,Woman,Man,Woman,Man,Woman,Man,Man,Man,Man,Man,Woman,Man,,,,,Primary,Primary,,,,Secondary,,Secondary,,,,Secondary,,,Secondary,,Primary,,,Primary,Secondary,,,,Primary,,,,Primary,Primary,Primary,,Primary,Primary,,Secondary,Primary,,"Greenland, Iceland",Eight additional authors include two female and six male.,,Secondary,,
2026-02-09 11:11:39,4170,gardela2015,Man,,,,,,,,,,,,,,,,,Primary,Primary,,,,Primary,,Secondary,Secondary,,Primary,,Secondary,,Primary,Secondary,,Primary,Secondary,Primary,Primary,,Primary,,Secondary,Secondary,,,,,,,,Primary,Primary,Secondary,,Secondary,Poland,,Primary,Secondary,Secondary,
2026-02-09 10:47:04,4169,glorstad2015,Woman,Woman,,,,,,,,,,,,,,,,Secondary,Secondary,Secondary,,,,,Secondary,,Secondary,,,Secondary,Primary,Primary,,,Secondary,,,,,Primary,,,,,,,,,,,Primary,Primary,Secondary,,,Scandinavia,,,Secondary,Primary,
2026-02-09 10:35:03,4168,gustavsson2015,Man,Man,Man,,,,,,,,,,,,,,,Primary,,,,,,,Secondary,,,Secondary,,,,Primary,Secondary,Secondary,Secondary,,,,,Primary,,Primary,,,,Primary,,Primary,,,,Primary,,,,Gnista,,,,Secondary,
2026-02-09 10:24:36,4167,harrison2016,Man,,,,,,,,,,,,,,,,,,Primary,Secondary,,Secondary,Primary,,Secondary,,,Primary,,Primary,,,,,Primary,,,,,Primary,,,,,Secondary,,,,,,Primary,,Secondary,Primary,Secondary,"Britain, Ireland",,,Secondary,Secondary,
2026-02-09 10:14:35,4165,hedenstierna-jonson2015,Woman,,,,,,,,,,,,,,,,,Secondary,,Secondary,Primary,,,,Primary,,Primary,,,Secondary,,,,,Primary,,,,,Primary,Primary,Secondary,,,Primary,,Primary,,,,Primary,,,Secondary,Secondary,Birka,,,,,
2026-02-09 10:04:56,4164,ijssennagger2015,Woman,,,,,,,,,,,,,,,,,Secondary,Primary,,,Secondary,Primary,,,Secondary,,Primary,,,,,,,,Secondary,Secondary,,,Secondary,,,Primary,,,,,,,,Primary,Primary,Secondary,Secondary,,Texel,,,Secondary,Primary,
2026-02-09 09:48:10,4162,iversen2015,Man,,,,,,,,,,,,,,,,,,Secondary,,,,,,Primary,,,Primary,Secondary,Secondary,,,Secondary,,,,Primary,,Secondary,,,,,,,,,Secondary,Secondary,,Primary,,Primary,,Secondary,Scandinavia,,,Primary,Secondary,
2026-02-09 09:33:42,4161,kastholm2015,Man,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,,,,Primary,,,,,Secondary,,,Primary,,,,,,,,,,,Secondary,Primary,,,,Vindinge,,,,,
2026-02-09 09:21:17,4160,kelly2015,Man,,,,,,,,,,,,,,,,,Secondary,Primary,,,Primary,Primary,,,,,Primary,Primary,Secondary,,Secondary,,,Secondary,,Primary,,,Secondary,Secondary,Secondary,Secondary,,,Secondary,,Secondary,,,Primary,,Primary,Secondary,,Ireland,,,Primary,Secondary,
2026-02-09 07:55:23,4159,kristjansdottir2015,Woman,,,,,,,,,,,,,,,,,,Primary,Secondary,,,,,Primary,Primary,,Primary,,Primary,,,,,Secondary,,Primary,,,Secondary,Secondary,,,,Secondary,,,,,,Primary,,Primary,,Primary,Iceland,,,Primary,,
2026-02-09 07:36:52,4158,leslie2015,Man,Man,Man,Man,Man,Woman,Woman,Woman,Man,Man,Man,Man,Man,Man,Man,Man,Man,,Primary,,,,Primary,,,,,Primary,,,,,,,,,,,,,Primary,,,Primary,,,,,,,,,,Primary,,Britain,"13 additional authors include two female, nine male and two organisations (other).",,,,
2026-02-09 07:22:21,4157,krzewinska2015,Woman,Woman,Man,Man,Man,Man,Woman,,,,,,,,,,,Secondary,Primary,Secondary,Secondary,Secondary,Secondary,,,Secondary,,Secondary,,Secondary,,,,,Secondary,,Secondary,,,,Primary,,Secondary,Primary,,,,,,,Primary,,,Primary,,Norway,Additonally one female and one male author.,,,,
2026-02-09 06:59:58,4156,ljungkvist2015,Man,Man,,,,,,,,,,,,,,,,Primary,Secondary,,,,,,Primary,Secondary,,Primary,,Secondary,,Secondary,,,Primary,,Primary,,Primary,Secondary,,Secondary,,,,,,Primary,,,Primary,,Primary,,Secondary,Uppsala,,,Primary,Primary,
2026-02-09 06:46:40,4155,lund2015,Woman,,,,,,,,,,,,,,,,,Secondary,,,,,Secondary,,,Primary,Primary,Primary,,Primary,,Secondary,Secondary,,Secondary,,Secondary,,,Primary,,Secondary,,,,,,,,Secondary,Primary,Primary,,,Secondary,"North Norway and Sweden, South Scandinavia",,,,Primary,
2026-02-09 06:14:18,4154,magi2016,Woman,,,,,,,,,,,,,,,,,Primary,Primary,,,Secondary,Secondary,,Primary,,,Primary,Primary,,,Secondary,,,Secondary,,Primary,Primary,,Secondary,,,,,,,,,,,Primary,,Primary,,Secondary,East Baltic,,,Primary,,
2026-02-09 06:05:45,4153,burstrom2015,Woman,,,,,,,,,,,,,,,,,,,Secondary,,,Secondary,,Primary,,Primary,Secondary,Secondary,Secondary,,Primary,,,Primary,,,,,Primary,,,,,,,,,,,,Primary,Primary,,,Scandinavia,,,Primary,,
2026-02-04 08:44:52,4152,pedersen2015,Woman,,,,,,,,,,,,,,,,,Primary,,Secondary,Primary,,,,,,,Primary,,,,Primary,Secondary,,Secondary,,,Primary,Primary,Primary,,,,,,,,,,Primary,Primary,Primary,,,,Kaupang,,,,Secondary,
2026-02-04 08:31:05,4151,osullivan2015,Woman,,,,,,,,,,,,,,,,,Secondary,Primary,Primary,Primary,,,,Secondary,,,Secondary,,Secondary,,,,,Primary,,Secondary,Secondary,,Primary,Secondary,,,,Secondary,,,,,,Secondary,Primary,,,,Viking world,,,,,
2026-02-04 08:18:19,4150,price2014a,Man,,,,,,,,,,,,,,,,,Secondary,Primary,Secondary,Secondary,Secondary,Secondary,,Secondary,Secondary,,,,Secondary,,,,,,,,,,Secondary,,,,,,,,,,,,,,,Primary,,Primary source of evidence is modern discourse.,Primary,,,
