"round","edges_removed","n_components","modularity"
270,270,5,0.061579022408592
271,271,5,0.0615827312120362
272,272,5,0.061586440462035
273,273,5,0.0615901501586691
274,274,5,0.0615938603020188
275,275,5,0.0615975708921656
276,276,5,0.0616012819291892
277,277,5,0.0616049934131707
278,278,5,0.0616087053441911
279,279,5,0.0616124177223302
280,280,5,0.0616161305476697
281,281,5,0.0616198438202905
282,282,5,0.0616235575402725
283,283,5,0.0616272717076965
284,284,5,0.0616309863226446
285,285,5,0.0616347013851962
286,286,5,0.061638416895433
287,287,5,0.0616421328534359
288,288,5,0.0616458492592852
289,289,5,0.0616495661130623
290,290,5,0.0616532834148482
291,291,5,0.0616570011647233
292,292,5,0.0616607193627695
293,293,5,0.0616644380090669
294,294,5,0.0616681571036968
295,295,6,0.0664373613054244
296,296,6,0.0664413648356948
297,297,6,0.0664453688482385
298,298,6,0.0664493733431429
299,299,6,0.0664533783204942
300,300,6,0.06645738378038
301,301,6,0.0664613897228876
302,302,6,0.0664653961481039
303,303,6,0.0664694030561165
304,304,6,0.0664734104470122
305,305,6,0.0664774183208785
306,306,6,0.0664814266778024
307,307,6,0.0664854355178714
308,308,6,0.0664894448411731
309,309,6,0.066493454647794
310,310,6,0.0664974649378226
311,311,6,0.0665014757113455
312,312,6,0.0665054869684499
313,313,6,0.0665094987092237
314,314,6,0.066513510933754
315,315,6,0.0665175236421289
316,316,6,0.0665215368344352
317,317,6,0.0665255505107603
318,318,6,0.0665295646711926
319,319,6,0.0665335793158188
320,320,6,0.0665375944447267
321,321,6,0.0665416100580037
322,322,6,0.066545626155738
323,323,6,0.0665496427380164
324,324,6,0.0665536598049274
325,325,6,0.0665576773565582
326,326,6,0.0665616953929965
327,327,6,0.0665657139143299
328,328,6,0.0665697329206466
329,329,6,0.0665737524120336
330,330,6,0.0665777723885792
331,331,6,0.0665817928503714
332,332,6,0.0665858137974973
333,333,6,0.0665898352300457
334,334,6,0.0665938571481035
335,335,6,0.0665978795517594
336,336,6,0.0666019024411004
337,337,6,0.0666059258162152
338,338,6,0.0666099496771914
339,339,6,0.0666139740241168
340,340,6,0.0666179988570797
341,341,6,0.0666220241761685
342,342,6,0.06662604998147
343,343,7,0.0830897557591418
344,344,7,0.0830947551941622
345,345,7,0.083099755230372
346,346,7,0.0831047558678794
347,347,7,0.0831097571067925
348,348,7,0.0831147589472203
349,349,8,0.0864305541261157
350,350,8,0.0864357524967513
351,351,8,0.0864409514922205
352,352,8,0.0864461511126359
353,353,8,0.0864513513581105
354,354,8,0.0864565522287559
355,355,8,0.0864617537246858
356,356,8,0.0864669558460127
357,357,8,0.0864721585928487
358,358,8,0.0864773619653071
359,359,8,0.0864825659635002
360,360,8,0.0864877705875413
361,361,8,0.0864929758375426
362,362,8,0.0864981817136175
363,363,8,0.0865033882158785
364,364,8,0.086508595344439
365,365,8,0.0865138030994109
366,366,8,0.086519011480908
367,367,8,0.0865242204890433
368,368,8,0.0865294301239292
369,369,8,0.0865346403856792
370,370,8,0.0865398512744063
371,371,8,0.0865450627902233
372,372,8,0.0865502749332435
373,373,8,0.0865554877035803
374,374,8,0.0865607011013465
375,375,8,0.0865659151266553
376,376,8,0.0865711297796199
377,377,8,0.0865763450603539
378,378,8,0.0865815609689696
379,379,8,0.0865867775055818
380,380,8,0.0865919946703026
381,381,8,0.086597212463246
382,382,8,0.0866024308845251
383,383,8,0.0866076499342531
384,384,8,0.0866128696125443
385,385,8,0.0866180899195108
386,386,8,0.0866233108552676
387,387,8,0.0866285324199267
388,388,8,0.0866337546136028
389,389,8,0.0866389774364089
390,390,8,0.0866442008884589
391,391,8,0.0866494249698658
392,392,8,0.0866546496807442
393,393,8,0.0866598750212072
394,394,8,0.0866651009913687
395,395,8,0.0866703275913421
396,396,8,0.0866755548212416
397,397,8,0.086680782681181
398,398,8,0.0866860111712736
399,399,8,0.0866912402916337
400,400,8,0.0866964700423748
401,401,8,0.0867017004236107
402,402,8,0.0867069314354563
403,403,8,0.0867121630780246
404,404,8,0.0867173953514299
405,405,8,0.0867226282557863
406,406,8,0.0867278617912076
407,407,8,0.0867330959578078
408,408,8,0.0867383307557014
409,409,8,0.0867435661850024
410,410,8,0.0867488022458247
411,411,8,0.0867540389382824
412,412,8,0.0867592762624897
413,413,9,0.0953878144833862
414,414,9,0.0953935610653849
415,415,9,0.0953993083391529
416,416,9,0.0954050563048155
417,417,9,0.0954108049624967
418,418,9,0.0954165543123228
419,419,9,0.0954223043544176
420,420,9,0.0954280550889063
421,421,9,0.0954338065159138
422,422,9,0.095439558635565
423,423,9,0.0954453114479851
424,424,9,0.0954510649532991
425,425,9,0.0954568191516317
426,426,9,0.0954625740431084
427,427,9,0.0954683296278542
428,428,9,0.0954740859059943
429,429,10,0.0997264203602089
430,430,10,0.0997324277683267
431,431,10,0.0997384358994946
432,432,10,0.0997444447538428
433,433,10,0.0997504543315017
434,434,10,0.0997564646326024
435,435,10,0.0997624756572748
436,436,10,0.0997684874056491
437,437,10,0.0997744998778567
438,438,10,0.0997805130740276
439,439,10,0.0997865269942929
440,440,10,0.0997925416387828
441,441,10,0.0997985570076281
442,442,10,0.0998045731009598
443,443,10,0.0998105899189078
444,444,10,0.099816607461604
445,445,10,0.0998226257291786
446,446,10,0.0998286447217625
447,447,10,0.0998346644394867
448,448,10,0.0998406848824819
449,449,10,0.0998467060508793
450,450,10,0.0998527279448095
451,451,10,0.0998587505644042
452,452,10,0.0998647739097935
453,453,10,0.099870797981109
454,454,10,0.0998768227784818
455,455,10,0.0998828483020427
456,456,10,0.0998888745519234
457,457,10,0.0998949015282545
458,458,10,0.0999009292311675
459,459,10,0.0999069576607937
460,460,11,0.110252359187239
461,461,11,0.110258994287806
462,462,11,0.110265630186042
463,463,12,0.113556557300231
464,464,12,0.113563386671988
465,465,12,0.113570216864169
466,466,12,0.113577047876921
467,467,12,0.113583879710393
468,468,12,0.113590712364732
469,469,12,0.113597545840085
470,470,12,0.113604380136601
471,471,12,0.113611215254427
472,472,12,0.113618051193712
473,473,12,0.113624887954602
474,474,12,0.113631725537246
475,475,12,0.113638563941793
476,476,12,0.113645403168388
477,477,12,0.113652243217183
478,478,12,0.113659084088323
479,479,12,0.113665925781957
480,480,12,0.113672768298234
481,481,12,0.113679611637301
482,482,12,0.113686455799306
483,483,12,0.113693300784399
484,484,12,0.113700146592726
485,485,12,0.113706993224438
486,486,12,0.11371384067968
487,487,12,0.113720688958604
488,488,13,0.115956611450772
489,489,13,0.115963591608734
490,490,13,0.11597057260597
491,491,13,0.115977554442629
492,492,13,0.115984537118864
493,493,13,0.115991520634825
494,494,13,0.115998504990663
495,495,13,0.116005490186531
496,496,13,0.116012476222579
497,497,13,0.116019463098958
498,498,13,0.116026450815821
499,499,13,0.116033439373318
500,500,13,0.116040428771601
501,501,13,0.116047419010822
502,502,13,0.116054410091132
503,503,13,0.116061402012683
504,504,13,0.116068394775626
505,505,13,0.116075388380113
506,506,13,0.116082382826295
507,507,13,0.116089378114325
508,508,14,0.122416276398284
509,509,14,0.122423641517975
510,510,14,0.122431007522635
511,511,14,0.122438374412424
512,512,14,0.1224457421875
513,513,14,0.122453110848024
514,514,14,0.122460480394153
515,515,14,0.122467850826049
516,516,14,0.12247522214387
517,517,14,0.122482594347777
518,518,14,0.122489967437927
519,519,14,0.122497341414481
520,520,14,0.122504716277599
521,521,14,0.122512092027439
522,522,14,0.122519468664163
523,523,14,0.122526846187929
524,524,14,0.122534224598897
525,525,14,0.122541603897227
526,526,14,0.122548984083079
527,527,14,0.122556365156614
528,528,14,0.122563747117989
529,529,14,0.122571129967366
530,530,14,0.122578513704905
531,531,14,0.122585898330765
532,532,14,0.122593283845107
533,533,14,0.12260067024809
534,534,14,0.122608057539876
535,535,14,0.122615445720624
536,536,14,0.122622834790493
537,537,14,0.122630224749645
538,538,14,0.12263761559824
539,539,14,0.122645007336439
540,540,14,0.122652399964401
541,541,14,0.122659793482286
542,542,15,0.133389421069326
543,543,15,0.133397437747296
544,544,15,0.133405455387227
545,545,15,0.133413473989295
