"round","from","to"
3794,"gardela2018","nilsson1992"
3795,"price2011","sjogren2009"
3796,"holst2010","nielsen1998"
3797,"lund2021","roslund2013"
3798,"pedersennda","pedersen2009"
3799,"gardela2018","kilger2008"
3800,"osullivan2015","sindbaek2006"
3801,"sindbaek2007","hodges1982"
3802,"holst2013","andersen1984"
3803,"feveile2017","roesdahl2014"
3804,"feveile2017","sorensen2011"
3805,"skre2011b","gabriel1988"
3806,"holst2014","nielsen2002b"
3807,"christiansen2019","feveile2014"
3808,"feveile2017","hansen2004"
3809,"dobat2013","henriksen2011"
3810,"holst2010","andersen1984"
3811,"feveile2017","wagnkilde1999"
3812,"price2012","wagnkilde1997"
3813,"naum2004","andersen1984"
3814,"naum2007","skaarup2001"
3815,"naum2007","wagnkilde1997"
3816,"sindbaek2007","sindbaek2005"
3817,"sindbaek2007","mccormick2001"
3818,"sindbaek2007","feveile2000"
3819,"sindbaek2007","ulriksen1998"
3820,"sindbaek2007","verhulst2002"
3821,"kalmring2013","sindbaek2007"
3822,"sindbaeknda","rundkvist2010"
3823,"pedersen2017","feveile2001c"
3824,"hilberg2018","callmer2003"
3825,"jessen2016","skre2015"
3826,"jessen2016","tornbjerg1997"
3827,"jessen2016","svanberg2000"
3828,"borake2018","callmer1998"
3829,"tonning2020","lundquist2003"
3830,"borake2018","carlsson1989"
3831,"borake2018","christaller1933"
3832,"sindbaek2007","feveile2006"
3833,"sindbaek2007","nasman2000"
3834,"sindbaek2017","pestell2003"
3835,"borake2018","skre2011"
3836,"feveile2011","ulriksen2006"
3837,"abrams2012","fuglesang1980"
3838,"sindbaek2007","schon1995"
3839,"sindbaek2011","latour2005"
3840,"sindbaek2011","warnke1992"
3841,"hilberg2014","hodges2000"
3842,"hilberg2014","steppuhn1998"
3843,"baug2019","callmer1998"
3844,"sindbaek2007","steuer1987"
3845,"baug2017","birkedahl1997"
3846,"baug2017","birkedahl2000"
3847,"pedersennda","skre2011"
3848,"skre2015","skre2011"
3849,"abrams2012","downham2015"
3850,"tummuscheit2014","jons1997"
3851,"naum2007","stanislawski2000"
3852,"majchczack2018","eriksen2009"
3853,"holst2013","nielsen1979"
3854,"holst2013","hvass1979"
3855,"rundkvist2010","kersten1958"
3856,"sindbaek2011","wiechmann1996"
3857,"baug2017","steuer1987"
3858,"kalmring2012","arbman1940"
3859,"naum2004","nielsen1994"
3860,"price2008a","price1989a"
3861,"hillerdal2010","androshchuk2008"
3862,"naum2004","jorgensen1988"
3863,"sindbaek2011","vonheijne2004"
3864,"hilberg2018","voncarnapbornheim2007a"
3865,"price2012","naum2008"
3866,"gustin2017","naum2008d"
3867,"price2011","pricenda"
3868,"naum2004","roslund2001"
3869,"price2012","ambrose1993"
3870,"price2014","luz1985"
3871,"price2014","leethorp2003"
3872,"price2014","luz1984"
3873,"price2014","veizer1989"
3874,"price2014","ambrose1997a"
3875,"roslund2013","dobres2000"
3876,"price2012","luz1985"
3877,"price2012","sjogren2009"
3878,"price2019","leethorp2003"
3879,"price2019","lofvendahl1990"
3880,"pricenda","price2015"
3881,"price2020","luz1984"
3882,"price2020","faure2004"
3883,"price2020","sillen1982"
3884,"frei2012","voerkelius2010"
3885,"moen2020","price2002"
3886,"moen2020","svanberg2003"
3887,"moen2020","hedeager2011"
3888,"lund2021","hillerdal2009"
3889,"price2019","ringstedt1997"
3890,"price2019","duczko1985"
3891,"gullbekk2014","jones1968"
3892,"price2019","coleman2014a"
3893,"price2019","arwidsson1986"
3894,"price2019","holmquistolausson1998"
3895,"kalmring2018","ambrosiani1991"
3896,"price2019","price2013"
3897,"price2006","arwidsson1989"
3898,"kalmring2012","arwidsson1984a"
3899,"price2019","moen2011"
3900,"moen2020","jochens1998"
3901,"price2019","price2015"
3902,"price2014","luz1985a"
3903,"price2014","hoppe2003"
3904,"price2014","bryant1996"
3905,"hilberg2014","hagg2002"
3906,"hilberg2014","magnusson2000"
3907,"odeback2018","jakobsson1992"
3908,"odeback2018","ljungkvist2006"
3909,"odeback2018","holmquist2009"
3910,"edberg2019","roesdahl1992a"
3911,"edberg2019","gardela2013"
3912,"edberg2019","graslund1980"
3913,"edberg2019","arbman1943"
3914,"edberg2019","hedenstiernajonson2017"
3915,"price2020","peets2012"
3916,"osullivan2015","mays1998"
3917,"price2020","peets2013"
3918,"bonde2016","allmae2011"
3919,"androshchuk2018","edberg2019"
3920,"price2020","price2013"
3921,"edberg2019","ringstedt1997"
3922,"gustin2017","kivikoski1973"
3923,"price2014","sillen1998"
3924,"price2011","woelfel2002"
3925,"price2020","halstadmcguire2010"
3926,"price2020","price2015"
3927,"edberg2019","kjellstrom2012"
3928,"skre2011b","ambrosiani1999"
3929,"edberg2019","ambrosiani1995"
3930,"kalmring2012","ambrosiani1988"
3931,"frei2012","sjogren2009"
3932,"frei2012","kohn1999"
3933,"gustavsson2015","konsa2008"
3934,"gustavsson2015","peets2010"
3935,"glorstad2017","pedersen2008"
3936,"glorstad2017","androshchuk2014"
3937,"lucas2007","christensen1993"
3938,"zachrisson2017","berggren2006"
3939,"lucas2007","brogger1917"
3940,"bonde2016","andersen1995"
3941,"bonde2016","sorensen2001"
3942,"bonde2016","bonde1982"
3943,"lund2016","lund2013"
3944,"lund2016","lund2005"
3945,"lund2017","skre2007"
3946,"lund2020","lund2013"
3947,"lund2013","lund2010"
3948,"lund2015","lund2013"
3949,"lund2008","lund2013"
3950,"lund2017","lund2010"
3951,"rundkvist2010","biuw1992"
3952,"rundkvist2010","brondsted1936"
3953,"lund2016","rydh1936"
3954,"lund2021","lund2013"
3955,"lund2005","lund2013"
3956,"lund2004","lund2013"
3957,"lund2017","lund2013"
3958,"gardela2018","williams2006"
3959,"rundkvist2010","helgesson2004"
3960,"rundkvist2010","petersen1991"
3961,"sindbaek2014","jorgensen2003"
3962,"sindbaek2014","graslund2001"
3963,"williams2016","barndon2018"
3964,"lund2021","barndon2018"
3965,"gardela2018","petersen1928"
3966,"myrberg2008","brink1996"
3967,"myrberg2008","carlsson1983"
3968,"myrberg2008","vikstrand2001"
3969,"myrberg2008","brink2002"
3970,"NOAUTHOR18","myrberg2008"
3971,"myrberg2008","brink1998"
3972,"andren2013","brink1992"
3973,"sanmarkndb","myrberg2008"
3974,"zachrisson2017","brink2005"
3975,"ulriksen2018","christensen2013"
3976,"lund2021","lund2019"
3977,"kalmring2017","jorgensen2008"
3978,"lund2020","lund2005"
3979,"lund2020","lund2017"
3980,"lund2021","rundkvist2015"
3981,"gardela2018","graslund1980"
3982,"kalmring2012","arbman1943"
3983,"lund2010","andren2006b"
3984,"hilberg2018","dobat2008"
3985,"bonde2016","orsnes1966"
3986,"larsson2007","price2014a"
3987,"bonde2016","myhre1992"
3988,"bonde2016","christensen1987"
3989,"lund2016","ljungkvist2005"
3990,"bonde2016","myhre1980"
3991,"price2010","herschend1997"
3992,"christiansen2019","wamers1994a"
3993,"fredriksen2014","bill2012"
3994,"pedersen2017","skre2007"
3995,"fabech2013","hultgard2008"
3996,"bill2016","brogger1945"
3997,"bill2016","melsom2003"
3998,"bill2016","kristoffersen1995"
3999,"price2010","warmind1995"
4000,"bill2016","bonde1993"
4001,"bill2016","grieg1928"
4002,"bill2012","holck2009"
4003,"bill2012","schetelig1917"
4004,"christensen2013","imer2001"
4005,"christensen2013","imer2004"
4006,"tummuscheitnd","holst2013"
4007,"rasmussen2014","dobat2013"
4008,"hilberg2018","schietzel2014"
4009,"hilberg2018","norgard1999"
4010,"hilberg2018","norgardjorgensen1999"
4011,"hilberg2018","jorgensen1999"
4012,"hilberg2018","callmer1994"
4013,"osullivan2015","jorgensen1990"
4014,"williams2014","williams1999"
4015,"hilberg2018","wickham2005"
4016,"hilberg2018","ethelberg2003"
4017,"hilberg2018","callmer1999"
4018,"rundkvist2010","christensen1983"
4019,"rundkvist2010","shetelig1912"
4020,"lund2013","lorangenda"
4021,"rundkvist2010","blindheim1999"
4022,"rundkvist2010","ramskou1976"
4023,"rundkvist2010","callmer1991"
4024,"price2010","rundkvist2003"
4025,"rundkvist2010","bakka1971"
4026,"rundkvist2010","orsnes1966"
4027,"price2014","jansson1988"
4028,"borake2018","sindbaek2005"
4029,"burstrom2015","carlsson1983"
4030,"rundkvist2010","callmer1984"
4031,"rundkvist2010","hardh1999"
4032,"price2008a","beskowsjoberg1987a"
4033,"rundkvist2010","magnus1999"
4034,"lund2021","domeijlundborg2012"
4035,"rundkvist2010","nerman1969"
4036,"pedersen2017","gjerpe2005"
4037,"gardela2018","helmbrecht2011"
4038,"kalmring2018","arwidsson1942"
4039,"sindbaek2014","brink2008"
4040,"rundkvist2010","feveile2000"
4041,"rundkvist2010","feveile2002b"
4042,"mannering2013","watt1999"
4043,"christiansen2019","henriksen2002"
4044,"christiansen2019","hoilundnielsen1991"
4045,"rundkvist2010","sjovold1974"
4046,"glorstad2015","magnus1997a"
4047,"glorstad2015","stjerna1905"
4048,"glorstad2015","gjessing1934"
4049,"domeijlundborg2012","wamers1999"
4050,"pedersen2017","brinchmadsen1984"
4051,"pedersen2017","rydh1936"
4052,"pedersen2017","madsen1984"
4053,"fischer2011","kivikoski1971"
4054,"fischer2011","waller1996"
4055,"baug2019","vinsrygg1979"
4056,"rundkvist2010","jorgensen1990"
4057,"NOAUTHOR28","sindbaek2014"
4058,"sindbaek2014","brondsted1936"
4059,"sindbaek2014","andren2006b"
4060,"sindbaek2014","petersen1909"
4061,"sindbaek2014","jansson1985"
4062,"sindbaek2014","ambrosiani1992"
4063,"hilberg2018","jorgensen1997"
4064,"hilberg2018","jorgensen1997a"
4065,"sindbaek2014","orsnes1966"
4066,"sindbaek2014","ramskou1963"
4067,"sindbaek2014","drescher1983"
4068,"hillerdal2010","ambrosiani1996"
4069,"sindbaek2014","helmbrecht2011"
4070,"lundborgnd","hedeager2003"
4071,"glorstad2015","petersen1905"
4072,"domeijlundborg2012","steuer1994"
4073,"hilberg2014","kalmring2013"
4074,"warmlander2015","sindbaek2012"
4075,"hilberg2018","jorgensen1990"
4076,"williams2014","back2010"
4077,"kalmring2012","ljungkvist2011"
4078,"kristjansdottir2015","andren2005"
4079,"gustin2017","jones1997"
4080,"lund2017","lund2015"
4081,"dobat2013","jensen2004"
4082,"dobat2013","jorgensen2003"
4083,"dobat2013","hedeager2001"
4084,"kalmring2018","kalmring2010e"
4085,"hilberg2014","eldjarn2000"
4086,"hilberg2014","crumlinpedersen1995"
4087,"price2008a","roesdahl2005"
4088,"price2014","jansson1989"
4089,"price2010","roberts2008"
4090,"hillerdal2010","brink2008b"
4091,"lucas2007","nasman2003"
4092,"osullivan2015","sode2004"
4093,"poulsen2011","hybel2007"
4094,"pedersen2017","wamers1994a"
4095,"hilberg2018","mccormick2001"
4096,"hilberg2018","hodges2012"
4097,"jessen2014","andersen2004"
4098,"dobat2013","thomas2012"
4099,"feveile2011","arents2010"
4100,"hillerdal2010","marold2001"
4101,"hilberg2014","bately2007"
4102,"hilberg2014","sindbaek2005"
4103,"hilberg2014","skre2011"
4104,"gardela2015","englert2009"
4105,"bonde2016","wamers1994a"
4106,"bonde2016","brucemitford2005"
4107,"kalmring2012","kalmring2010e"
4108,"kalmring2012","schultze2008"
4109,"baug2019","wood1983"
4110,"warmlander2015","duczko1997"
4111,"hilberg2018","hilberg2013"
4112,"williams2015","williams1999"
4113,"hilberg2014","jansson1988"
4114,"gustin2017","callmer1977"
4115,"gustin2017","cleve1978"
4116,"hilberg2014","mainman2000"
4117,"hilberg2014","resi1990"
4118,"hilberg2014","nasman2003"
4119,"hilberg2014","verhulst2002"
4120,"hilberg2018","tummuscheit2012"
4121,"kershaw2009","kleingartner2007"
4122,"hilberg2014","brink2008b"
4123,"hilberg2014","jansson1989"
4124,"baug2017","schon1995"
4125,"bonde2016","eckstein1977"
4126,"bonde2016","wamers1930"
4127,"baug2019","roesdahl2005"
4128,"hilberg2014","callmer1977"
4129,"warmlander2015","warmlander2010"
4130,"hilberg2013","roslund2015"
4131,"abrams2012","englert2009"
4132,"rasmussen2014","tummuscheit2014"
4133,"artelius2005","tummuscheitnd"
4134,"price2014a","price2005"
4135,"fabech2013","herschend2006"
4136,"roslund2015","roslund2007"
4137,"hillerdal2010","franklin1996"
4138,"sindbaek2011","skre2008"
4139,"warmlander2015","shepared2012"
4140,"warmlander2015","hagg1974"
4141,"warmlander2015","geijer1938"
4142,"price2010","montgomery2008"
4143,"warmlander2015","jansson1985"
4144,"warmlander2015","jansson1988"
4145,"kristjansdottir2015","mcnicol1997"
4146,"kristjansdottir2015","andren2007"
4147,"kristjansdottir2015","gosden2004"
4148,"lund2021","pluskowski2010"
4149,"kristjansdottir2015","andren2014"
4150,"kristjansdottir2015","nordeide2011"
4151,"lund2017","gilchrist2012"
4152,"lund2004","giddens1984"
4153,"lund2013","gilchrist2008"
4154,"lund2013","jonsson2009"
4155,"lund2013","lane2001"
4156,"raffield2014","brink2013"
4157,"gustin2017","gosden2001"
4158,"gustin2017","bhabha2004a"
4159,"lucas2007","vesteinsson2004"
4160,"lucas2007","bruck1999"
4161,"kristjansdottir2015","gullbekk2012"
4162,"kristjansdottir2015","simpson2005"
4163,"warmlander2015","hagg1983"
4164,"ambrosiani2015","arbman1940"
4165,"gardela2018","hedenstiernajonson2006"
4166,"roslund2015","holmquist2002"
4167,"sindbaek2011","noonan1985"
4168,"gustin2017","callmer2000"
4169,"gustin2017","kyhlberg1973"
4170,"kalmring2012","back2010"
4171,"ambrosiani2015","kovalev2004"
4172,"warmlander2015","noonan1989"
4173,"warmlander2015","kovalev2002"
4174,"gustin2017","arne1914"
4175,"gustin2017","aiken1986"
4176,"gustin2017","arbman1955"
4177,"ambrosiani2015","hedenstiernajonson2006"
4178,"lund2006","graslund1984"
4179,"gustin2017","jansson1987"
4180,"williams2015","gullbekk2012"
4181,"gustin2017","jansson1986"
4182,"price2014a","birkeland1954"
4183,"price2014a","brink2008b"
4184,"glorstad2017","callmer1977"
4185,"ambrosiani2015","jansson1987"
4186,"helmbrecht2012","ambrosiani2001"
4187,"glorstad2014","zachrisson1998"
4188,"heenpettersen2018","glorstad2014"
4189,"baug2019","williams2008"
4190,"aannestad2018","hines1984"
4191,"aannestad2018","wamers2011"
4192,"holst2010","hansen2004"
4193,"odeback2018","jesch2009"
4194,"gardela2018","schetelig1912"
4195,"glorstad2015","arrhenius1985"
4196,"glorstad2015","sjovold1974"
4197,"baug2019","wamers1985"
4198,"baug2019","callmer2007"
4199,"skre2011b","kilger2008"
4200,"baug2019","ljungkvist2009"
4201,"baug2019","bately2007"
4202,"baug2019","feveile2006"
4203,"sindbaek2017","nasman2000"
4204,"sindbaek2011","eldorhagen2001"
4205,"skre2011b","blindheim1995"
4206,"skre2011b","stylegar2007"
4207,"raffield2014","shetelig1940"
4208,"baug2017","skre2008"
4209,"baug2017","jensen1990"
4210,"baug2017","gustin2004"
4211,"baug2017","pilo2007"
4212,"baug2017","oye2011"
4213,"zachrisson2017","oye2002"
4214,"sindbaek2017","baug2015"
4215,"christensen2013","larsen1991"
4216,"glorstad2014","larsen2000"
4217,"kalmring2012","ambrosiani1995"
4218,"hedenstiernajonson2017","price2015"
4219,"baug2017","sindbaek2005"
4220,"skre2011b","resi1990"
4221,"skre2011b","resi1979"
4222,"skre2011b","christophersen1991"
4223,"griffiths2019","simpson2005"
4224,"skre2011b","nasman2003"
4225,"skre2011b","verhulst2002"
4226,"skre2011b","askvik2008"
4227,"skre2011b","buchwald2005"
4228,"skre2011b","feveile2000"
4229,"skre2011b","resi2008"
4230,"bonde2016","nasman1986"
4231,"bonde2016","holand2001"
4232,"bonde2016","hines1984"
4233,"bonde2016","arrhenius1985"
4234,"baug2019","downham2011"
4235,"fabech2013","thrane1987"
4236,"larsson2007","kalmring2018"
4237,"gardela2018","stolpe1912"
4238,"kershaw2009","fuglesang1991"
4239,"lund2016","sanmark2008"
4240,"price2006","grahamcampbell1980"
4241,"eriksen2013","soderberg2005"
4242,"kalmring2017","christensen2009"
4243,"raffield2014","grahamcampbell2011"
4244,"bonde2016","wamers2009"
4245,"bonde2016","shetelig1940"
4246,"christiansen2019","nerman1935"
4247,"williams2015","pedersen2016"
4248,"williams2015","samson1991a"
4249,"williams2015","staecker2009"
4250,"raffield2014","raffield2013a"
4251,"lucas2007","miller1990"
4252,"lucas2007","thomas2005"
4253,"price2014a","raffield2013a"
4254,"griffiths2019","griffiths2003"
4255,"price2014a","downham2011"
4256,"abrams2012","wamers2009"
4257,"mannering2013","christensen2010"
4258,"mannering2013","andren2004"
4259,"poulsen2011","munch2003"
4260,"gardela2018","capelle1968"
4261,"gardela2018","leahy1997a"
4262,"gardela2018","hardh1976"
4263,"lund2021","lund2008"
4264,"lund2005","p2008"
4265,"gardela2018","ulriksen2011"
4266,"lund2021","lund2006"
4267,"lund2017","skovmand1942"
4268,"lund2021","lund2005"
4269,"lund2021","lund2004"
4270,"lund2021","lund2017"
4271,"ljungkvist2015","bratt2008"
4272,"lund2016","zachrisson2011"
4273,"gardela2018","arbman1940"
4274,"williams2016","bill2012"
4275,"rosengren2010","simek1993"
4276,"gardela2018","andersson1997"
4277,"gardela2018","williams2013a"
4278,"eriksen2013","gardela2012"
4279,"eriksen2013","holmquistolausson1990"
4280,"lund2021","lund2020"
4281,"lund2016","lund2021"
4282,"rosengren2010","sanmark2004"
4283,"lund2005","sawyer1992"
4284,"moen2020","gjerpe2005"
4285,"odeback2018","gilchrist2013"
4286,"odeback2018","holmquistolausson1993"
4287,"gardela2018","pedersen2014"
4288,"gardela2018","thunmarknylen2006"
4289,"gardela2018","arbman1943"
4290,"gardela2018","gardela2013"
4291,"gardela2018","backdanielsson2012"
4292,"holst2013","stenberger1956"
4293,"jessen2014","holst2013"
4294,"lund2016","christensen2015"
4295,"hedeager2010","gansum2004"
4296,"hedeager2010","hedeager1999"
4297,"rosengren2010","christensen1983"
4298,"lund2016","lund2020"
4299,"mannering2013","iversen1991a"
4300,"aannestad2018","price2002"
4301,"lund2010","hinton1974"
4302,"lund2010","leahy2003"
4303,"kershaw2009","hagg1974"
4304,"kershaw2009","petersen1928"
4305,"kershaw2009","callmer1999"
4306,"aannestad2018","krag1994"
4307,"aannestad2018","rogers2006"
4308,"raffield2014","abrams2001"
4309,"glorstad2014","grahamcampbell1983"
4310,"skre2011b","mainman2000"
4311,"glorstad2014","capelle1968"
4312,"helmbrecht2012","wilson1995"
4313,"gustin2017","hagg1986"
4314,"gustin2017","hardh1984"
4315,"gustin2017","young1995"
4316,"bonde2016","roesdahl1994"
4317,"kershaw2009","grahamcampbell1980"
4318,"mcleod2011","richards2003"
4319,"kalmring2018","jesch2001"
4320,"raffield2014","wilson1965"
4321,"abrams2012","jesch2002"
4322,"eriksen2013","christensen2007"
4323,"gardela2018","backdanielsson2007"
4324,"gardela2018","bersu1966"
4325,"gardela2018","harrison2014"
4326,"gardela2018","gardela2016"
4327,"gardela2018","pedersen2009"
4328,"gardela2018","gardela2008"
4329,"gardela2018","hedenstiernajonson2017"
4330,"fredriksen2014","graslund2007"
4331,"ljungkvist2015","dickinson1992"
4332,"jessen2014","jorpeland2013"
4333,"price2010","davidson1972"
4334,"gardela2018","gardela2009"
4335,"burstrom2015","androshchuk2014"
4336,"gardela2018","gardela2012"
4337,"gardela2018","gron1994"
4338,"gardela2018","sayer2009"
4339,"ulriksen2018","tolley2009"
4340,"ellingsen2019","pedersen2001"
4341,"ellingsen2019","jensen2010"
4342,"price2008a","holmquistolausson1990"
4343,"price2008a","dundes1992"
4344,"aannestad2018","grinsell1961"
4345,"aannestad2018","bjorn1940"
4346,"lund2019","gardela2017"
4347,"hedeager2010","gustafson1906"
4348,"gardela2018","nylen1994"
4349,"gardela2018","dommasnes1982"
4350,"gardela2015","nadolski1954"
4351,"christensen2013","solli2002"
4352,"christensen2013","jensen2004"
4353,"odeback2018","parkerpearson1999"
4354,"moen2020","jesch1991"
4355,"runge2018","skovmand1942"
4356,"eriksen2013","reynolds2009"
4357,"christensen2013","christensen1991"
4358,"lund2015","lehtosalohilander1992"
4359,"lund2006","fuglesang1992"
4360,"odeback2018","larsson1990"
4361,"moen2020","morck1900"
4362,"moen2020","coleman2014a"
4363,"odeback2018","williams2005"
4364,"gustin2017","jansson1984"
4365,"fabech2013","voss1990"
4366,"christensen2013","brogger1917"
4367,"christensen2013","pentz2009"
4368,"christensen2013","roesdahl1977"
4369,"christensen2013","ramskou1976"
4370,"christensen2013","nielsen2001"
4371,"christensen2013","jensen1990"
4372,"glorstad2015","watt2003"
4373,"androshchuk2018","koktvedgaardzeiten1997"
4374,"moen2020","sawyer1992"
4375,"halstadmcguire2010","jesch1991"
4376,"gustin2017","ringstedt1997"
4377,"gustin2017","graslund2007"
4378,"gustin2017","duczko1989"
4379,"gustin2017","duczko1985"
4380,"gardela2018","androshchuk2014"
4381,"odeback2018","ekengren2004"
4382,"odeback2018","paterson2014"
4383,"odeback2018","backdanielsson2007"
4384,"odeback2018","pedersen2008"
4385,"odeback2018","pedersen2014"
4386,"androshchuk2018","kjellstrom2012"
4387,"odeback2018","hedenstiernajonson2006"
4388,"odeback2018","arbman1943"
4389,"odeback2018","hedenstiernajonson2017"
4390,"odeback2018","reynolds2009"
4391,"price2010","harrison2015"
4392,"odeback2018","holmquistolausson1998"
4393,"odeback2018","peets2012"
4394,"aannestad2018","williams2008"
4395,"fredriksen2014","hedeager2000"
4396,"glorstad2015","lillios1999"
4397,"glorstad2015","nylen1994"
4398,"moen2020","moen2011"
4399,"androshchuk2018","androshchuk2014"
4400,"lund2016","svanbergskane1999"
4401,"gustin2017","ekengren2009"
4402,"lund2020","sellevold1984"
4403,"kalmring2018","ljungkvist2008a"
4404,"price2014","price2013"
4405,"price2014","arcini2005a"
4406,"raffield2014","griffiths1991"
4407,"abrams2012","grahamcampbell1980"
4408,"sindbaek2011","wickham2005"
4409,"gardela2015","connerton1989"
4410,"gardela2015","norlund1948"
4411,"gardela2015","pedersen2010"
4412,"hillerdal2010","hillerdal2009"
4413,"gardela2015","assmann1995"
4414,"gardela2015","roesdahl1992a"
4415,"lund2017","pedersen2002"
4416,"gardela2015","nielsen1991"
4417,"price2014","sayer2009"
4418,"gardela2015","hillerdal2009"
4419,"gardela2015","roslund2007"
4420,"gustin2017","naum2008"
4421,"gustin2017","graslund1980"
4422,"gustin2017","holmquistolausson1993"
4423,"kalmring2017","kyhlberg1980"
4424,"gustin2017","arbman1943"
4425,"gustin2017","hedenstiernajonson2006"
4426,"gustin2017","gosden2004"
4427,"hillerdal2010","jansson1997"
4428,"gustin2017","geijer1938"
4429,"aannestad2018","hedeager2011"
4430,"gustin2017","jansson1985"
4431,"burstrom2015","tsigaridasglorstad2012"
4432,"gustin2017","helms1988"
4433,"aannestad2018","callmer2008"
4434,"aannestad2018","hodder1982"
4435,"aannestad2018","hodder1986"
4436,"price2011","roslund2001"
4437,"goodchild2017","svanbergskane1999"
4438,"mannering2013","hagg1984"
4439,"skre2011b","roslund2007"
4440,"skre2011b","jansson1988"
4441,"moen2020","bolin2004"
4442,"moen2020","hillerdal2009"
4443,"linderholm2008","kyhlberg1980"
4444,"linderholm2008","hagg1983"
4445,"linderholm2008","jansson1997"
4446,"mannering2013","christensen2009"
4447,"mannering2013","helgesson2004"
4448,"lund2020","brink2007"
4449,"kalmring2017","brunstedt1996"
4450,"eriksen2013","soderberg2006"
4451,"fahlander2016","olausson1993"
4452,"fabech2013","ambrosiani1985"
4453,"kalmring2012","wikstrom2006"
4454,"kalmring2012","graslund1980"
4455,"hillerdal2010","arbman1939"
4456,"hillerdal2010","holmquistolausson1993"
4457,"kalmring2012","ambrosiani1992"
4458,"andren2013","jeppesen1991"
4459,"dobat2013","sorensen1991"
4460,"lund2004","jorgensen1992"
4461,"sindbaek2017","hardh2003"
4462,"kalmring2018","sorensen2001"
4463,"lund2017","fabech1999"
4464,"dobat2013","jorgensen1966"
4465,"tonning2020","trinks2007"
4466,"kalmring2012","arbman1939"
4467,"kalmring2018","hallstrom1913"
4468,"kalmring2018","ambrosiani1973"
4469,"dobat2013","voncarnapbornheim2012"
4470,"kalmring2017","olausson2002"
4471,"kalmring2017","arbman1939"
4472,"kalmring2017","of2002"
4473,"sindbaek2017","ljungkvist2009"
4474,"kalmring2017","jorgensen2010"
4475,"holst2014","madsen1995"
4476,"kalmring2017","brink2002"
4477,"kalmring2017","zachrisson2011"
4478,"kalmring2017","christensen2015"
4479,"kalmring2017","soderberg2003"
4480,"kalmring2017","christensen2016"
4481,"fallgren2008","arrhenius1990"
4482,"pedersen2017","brink2007"
4483,"kalmring2018","holmquist2015"
4484,"ljungkvist2015","bican2010"
4485,"sindbaek2017","staecker2009"
4486,"runge2018","jorgensen2014"
4487,"dobat2013","baastrup2012"
4488,"sindbaek2017","wickham2005"
4489,"fabech2013","hedeager2004"
4490,"ljungkvist2015","ljungkvist2008"
4491,"eriksen2013","ramqvist1992"
4492,"lund2016","lindqvist1936"
4493,"ljungkvist2018","ljungkvist2015"
4494,"ljungkvist2015","ljungkvist2011"
4495,"fischer2011","hines1997"
4496,"fischer2011","hauck1977"
4497,"ljungkvist2015","sundqvist2002"
4498,"ljungkvist2015","nordahl2001"
4499,"poulsen2011","hansson2001"
4500,"ljungkvist2015","ljungkvist2013"
4501,"zachrisson2017","zachrisson2011"
4502,"sindbaek2011","kazanski2007"
4503,"fischer2011","ramqvist1992"
4504,"fischer2011","petre1984"
4505,"gustavsson2015","lindqvist1936"
4506,"fabech2013","andren2002"
4507,"holst2014","kopytoff1986"
4508,"christiansen2019","stromberg1961"
4509,"hedeager2010","jones1998"
4510,"hedeager2010","fowler2004"
4511,"hedeager2010","simek1993"
4512,"larsson2007","hedeager2010"
4513,"fischer2011","bennet1987"
4514,"fischer2011","holmqvist1969"
4515,"fischer2011","vikstrand2001"
4516,"fischer2011","biuw1992"
4517,"fischer2011","kristoffersen2006"
4518,"zachrisson2017","fischer2005"
4519,"christiansen2019","klindtjensen1957"
4520,"hedeager2010","haseloff1981"
4521,"hedeager2010","salin1904"
4522,"sindbaek2011","arrhenius1973"
4523,"bonde2016","nasman1984"
4524,"bonde2016","crumlinpedersen1995"
4525,"bonde2016","carver1998"
4526,"christiansen2019","ornes1966"
4527,"jessen2014","kaennel1995"
4528,"price2008a","andersen1991"
4529,"aannestad2018","bakka1971"
4530,"bill2012","lund2009"
4531,"lund2021","bill2012"
4532,"lund2021","bill2017"
4533,"bonde2016","wamers1985"
4534,"price2014","peets2013"
4535,"bonde2016","sawyer1993"
4536,"williams2014","bill2012"
4537,"kalmring2018","mullerwille1978"
4538,"sindbaek2011","bonde2009"
4539,"gullbekk2014","bill2012"
4540,"bill2012","opedal2005"
4541,"bill2012","bonde1993"
4542,"bill2012","christensen1994"
4543,"bill2012","christensen1998"
4544,"bill2012","grieg1928"
4545,"bill2017","shetelig1917"
4546,"price2014","bill2019"
4547,"price2014","roesdahl1977"
4548,"osullivan2015","soderberg2005"
4549,"osullivan2015","skre2007"
4550,"lund2016","skre2007"
4551,"lund2016","christensen2010"
4552,"lund2008","jorgensen2003"
4553,"lund2004","jorgensen1998"
4554,"holst2013","jorgensen2002e"
4555,"lund2010","jorgensen2002"
4556,"lund2008","jorgensen2002"
4557,"ellingsen2019","steinsland2005"
4558,"lund2017","jorgensen2002"
4559,"lund2020","randsborg1980"
4560,"eriksen2013","herschend1993"
4561,"ellingsen2019","nielsen1997"
4562,"eriksen2013","herschend1997"
4563,"eriksen2013","herschend2009"
4564,"ellingsen2019","glorstad2010"
4565,"fabech2013","hedeager2002"
4566,"eriksen2013","bratt2008"
4567,"williams2016","pedersen2006"
4568,"lucas2007","munch2003"
4569,"tonning2020","myhre1992"
4570,"lund2016","christensen1991"
4571,"hillerdal2010","gustin2004"
4572,"poulsen2011","callmer1992"
