"round","from","to"
204,"lund2021","ibsen2010"
205,"halewood2001","appadurai1986a"
206,"lund2021","kelly2015"
207,"lund2021","buckberry2014"
208,"lund2021","richards2018"
209,"price2019","almgren1967"
210,"raffield2019","ashby2015"
211,"lund2021","neiss2016"
212,"catlin2016","harrison2014"
213,"catlin2016","smith1995"
214,"catlin2016","ingold1993"
215,"barrett2010","dugmore2007"
216,"lund2021","eriksen2013"
217,"croix2015","ibsen2010"
218,"lund2021","majchczack2018"
219,"bill2019","schneidhofer2017"
220,"schneidhofer2017","myhre1992"
221,"tonning2020","schneidhofer2017"
222,"schneidhofer2017","draganits2015"
223,"schneidhofer2017","nicolaysennda"
224,"schneidhofer2017","courty1989"
225,"macphail2013","schneidhofer2017"
226,"moen2020","gansum1995"
227,"schneidhofer2017","sorensen2007"
228,"schneidhofer2017","goldberg2006"
229,"schneidhofer2017","trinks2010"
230,"schneidhofer2017","french2003"
231,"solli2011","wilkinson2003"
232,"trinks2014","neubauer2004"
233,"stott2019","olesen2004"
234,"stott2019","doneus2008"
235,"stott2019","jorgensen2008"
236,"stott2019","goodchild2017"
237,"stott2019","olsen1977"
238,"stott2019","naum2012"
239,"krzewinska2018","price2002"
240,"stott2019","runge2018"
241,"raffield2014","thurston2002"
242,"stott2019","krogh2007"
243,"stott2019","gammeltoft2012"
244,"kastholm2016","peter2015"
245,"beck2018","sorensen2017"
246,"christensen2018","goodchild2017"
247,"goodchild2017","henning2002"
248,"majchczack2018","segschneider2009"
249,"reiter2019","evans2006"
250,"reiter2019","evans2010"
251,"ashby2015","ling2013"
252,"raffield2019","mead1934"
253,"reiter2019","glob1969"
254,"reiter2019","muller2003"
255,"peschel2017","haak2008"
256,"price2019","krzewinska2018"
257,"price2018","krzewinska2018"
258,"gotfredsen2014","frei2013"
259,"krzewinska2018","allentoft2015"
260,"krzewinska2018","knipper2014"
261,"knudson2012","muldner2011"
262,"knudson2012","nehlich2009"
263,"trinks2014","arbman1940"
264,"star2017","pilo2018"
265,"star2017","barrett2011"
266,"price2014","gilbert2005"
267,"lund2021","baug2017"
268,"star2017","hansen2017a"
269,"sindbaek2011","vesteinsson2016"
270,"lund2021","bonde2016"
271,"sanmark2013","skre2007"
272,"perry2016","hadley2016"
273,"lund2021","vonholstein2014"
274,"solli2011","smith2009"
275,"solli2011","olsen2003"
276,"raffield2019","kelly2015"
277,"lund2021","hadley2018"
278,"lund2021","jarman2018"
279,"lund2021","kershaw2016"
280,"lund2021","kershaw2009"
281,"lund2021","warmlander2015"
282,"lund2021","roslund2015"
283,"fontaine2017","mccormick2001"
284,"kristjansdottir2015","milek2012"
285,"price2010","harris2006"
286,"arneborg2012","linderholm2008"
287,"raninen2014","roslund2017"
288,"raffield2019","skre2017"
289,"ellingsen2019","milek2012"
290,"leslie2015","price2008"
291,"chenery2014","mann2003"
292,"tainter2006","diamond2005"
293,"tainter2006","mcgovern1994"
294,"tainter2006","tainter1988"
295,"jackson2018","brewer2018"
296,"macphail2013","skre2007"
297,"macphail2013","bill2012"
298,"lund2021","macphail2016"
299,"hilberg2014","heinrich2006"
300,"lund2021","oye2014"
301,"lund2016","naumann2014"
302,"sindbaek2007","clarke1972"
303,"zoega2017","price2010"
304,"lund2021","tveiten2017"
305,"star2017","perdikaris2008"
306,"star2017","nedkvitne2014"
307,"lund2017","raffield2019"
308,"roslund2017","gustin2004"
309,"catlin2016","mcgovern2007"
310,"catlin2016","vesteinsson2012"
311,"lund2004","bourdieu1980"
312,"eriksen2013","lefebvre1991"
313,"hartman2017","vesteinsson2016"
314,"lund2021","price2012"
315,"lund2021","henriksen2017"
316,"dugmore2007","barrett2004"
317,"lund2021","kalmring2017"
318,"trinks2014","ambrosiani1981"
319,"solli2011","harris2010"
320,"price2010","harris2009"
321,"solli2011","smith2004"
322,"solli2011","harrison2010"
323,"solli2011","solli1999"
324,"raffield2019","solli2008"
325,"solli2011","smith2006"
326,"lund2019","butler1990"
327,"solli2011","webmoor2008"
328,"solli2011","wilson1998"
329,"solli2011","klindtjensen1975"
330,"solli2011","olsen2010"
331,"raffield2014","tilley2006"
332,"solli2011","solli1996"
333,"loftsgarden2019","knagenhjelm2008"
334,"burstrom2014","bender1998"
335,"burstrom2014","meskell2005"
336,"jackson2018","levistrauss1966"
337,"hartman2017","crutzen2000"
338,"roslund2017","stein2002"
339,"solli2018","farbregd2009"
340,"solli2018","astveit2007"
341,"solli2018","domanska2006"
342,"catlin2016","crutzen2000"
343,"catlin2016","steward1955"
344,"raffield2018","andren2000"
345,"sutherland2009","roesdahl1992a"
346,"naumann2014","barrett2008"
347,"buckberry2014","yorkarchaeologicaltrust1998"
348,"naumann2014","richards1996"
349,"kelly2015","walsh1992"
350,"lund2021","jessen2016"
351,"beck2018","sindbaek2014"
352,"lund2021","holst2013"
353,"amundsen2017","eriksen2013"
354,"amundsen2017","lund2019"
355,"amundsen2017","lund2015"
356,"croix2019","devos2013"
357,"devos2013","skre2007"
358,"devos2013","hillerdal2010"
359,"devos2013","milek2012"
360,"lund2021","kalmring2012"
361,"jahnsen2016","svanberg2003"
362,"jahnsen2016","skre2007"
363,"hennius2018","sindbaek2007"
364,"jackson2018","frei2015"
365,"ashby2015","croix2019"
366,"lund2021","andren2013"
367,"lund2021","hilberg2018"
368,"price2018","skre2017"
369,"zachrisson2014a","brink2008"
370,"magi2011","sawyer1982"
371,"mulk2007","gansum2004"
372,"mulk2007","hedeager1999"
373,"mulk2007","bradley2000"
374,"mulk2007","hedeager2001"
375,"lund2021","imer2014"
376,"nielsen2011","baastrup2014"
377,"jackson2018","ingold2000"
378,"lund2021","backdanielsson2016"
379,"lund2021","roslund2005"
380,"croix2019","jones1997"
381,"croix2019","svanberg2003"
382,"croix2019","sindbaek2007"
383,"svendsen2016","sindbaek2005"
384,"svendsen2016","nasman2000"
385,"croix2015","croix2019"
386,"croix2019","sindbaek2011"
387,"zoega2017","lund2013"
388,"zoega2017","andren2000"
389,"hartman2017","mcturk2004"
390,"raffield2019","simpson2001"
391,"raffield2019","barrett2008"
392,"price2010","lucas2007"
393,"hartman2017","bradley2003"
394,"keller2016","steinsland2005"
395,"lucas2007","price2002"
396,"mainland2018","hedenstiernajonson2017"
397,"croix2015","ashby2015"
398,"croix2015","barrett2008"
399,"lucas2007","svanberg2003"
400,"mainland2018","gotfredsen2014"
401,"magnell2010","mainland2018"
402,"price2006","vesteinsson2012"
403,"catlin2016","dugmore2009"
404,"catlin2016","thorarinsson1944"
405,"keller2016","thomson2006"
406,"catlin2016","amorosi1997"
407,"catlin2016","dugmore2004"
408,"roslund2017","lightfoot1998"
409,"catlin2016","vesteinsson2014"
410,"vesteinsson2012","bolender2008"
411,"hartman2017","ogilvie2010"
412,"hartman2017","ipcc2014"
